Fox	fox	Fox
Business	busi	Business
host	host	host
,	,	,
Stuart	stuart	Stuart
Varney	varney	Varney
,	,	,
had	had	had
an	an	an
interview	interview	interview
with	with	with
Nevada	nevada	Nevada
Superdelegate	superdeleg	Superdelegate
,	,	,
Erin	erin	Erin
Bilbray	bilbray	Bilbray
,	,	,
that	that	that
made	made	made
Varney	varney	Varney
get	get	get
more	more	more
than	than	than
a	a	a
little	littl	little
angry	angri	angry
.	.	.

Bilbray	bilbray	Bilbray
has	has	ha
pledged	pledg	pledged
to	to	to
vote	vote	vote
for	for	for
Bernie	berni	Bernie
Sanders	sander	Sanders
during	dure	during
the	the	the
Democratic	democrat	Democratic
National	nation	National
Convention	convent	Convention
.	.	.

Varney	varney	Varney
became	becam	became
hot	hot	hot
under	under	under
the	the	the
collar	collar	collar
because	becaus	because
Bilbray	bilbray	Bilbray
supports	support	support
higher	higher	higher
taxes	tax	tax
for	for	for
the	the	the
rich	rich	rich
.	.	.
Varney	varney	Varney
has	has	ha
a	a	a
net	net	net
worth	worth	worth
of	of	of
approximately	approxim	approximately
10	10	10
million	million	million
dollars	dollar	dollar
.	.	.

That	that	That
means	mean	mean
the	the	the
financial	financi	financial
analyst	analyst	analyst
would	would	would
probably	probabl	probably
be	be	be
paying	pay	paying
more	more	more
in	in	in
taxes	tax	tax
should	should	should
Sanders	sander	Sanders
win	win	win
the	the	the
White	white	White
House	hous	House
and	and	and
get	get	get
some	some	some
of	of	of
his	his	his
proposals	propos	proposal
passed	pass	passed
.	.	.

Varney	varney	Varney
argues	argu	argues
against	against	against
Sanders	sander	Sanders
proposals	propos	proposal
to	to	to
make	make	make
taxes	tax	tax
a	a	a
bit	bit	bit
more	more	more
progressive	progress	progressive
to	to	to
address	address	address
skyrocketing	skyrocket	skyrocketing
income	incom	income
inequality	inequ	inequality
,	,	,
saying	say	saying
You	you	You
re	re	re
going	go	going
to	to	to
take	take	take
it	it	it
off	off	off
me	me	me
and	and	and
give	give	give
it	it	it
to	to	to
somebody	somebodi	somebody
else	els	else
.	.	.

I	i	I
got	got	got
it	it	it
.	.	.

Okay	okay	Okay
.	.	.

Bilbray	bilbray	Bilbray
defends	defend	defends
her	her	her
position	posit	position
.	.	.

However	howev	However
,	,	,
Varney	varney	Varney
wasn	wasn	wasn
t	t	t
hearing	hear	hearing
it	it	it
.	.	.

Let	let	Let
s	s	s
not	not	not
beat	beat	beat
around	around	around
the	the	the
bush	bush	bush
,	,	,
Varney	varney	Varney
goes	goe	go
on	on	on
to	to	to
say	say	say
.	.	.

He	he	He
is	is	is
going	go	going
to	to	to
take	take	take
it	it	it
off	off	off
me	me	me
.	.	.

I	i	I
already	alreadi	already
pay	pay	pay
60	60	60
percent	percent	percent
of	of	of
my	my	my
income	incom	income
in	in	in
taxes	tax	tax
and	and	and
he	he	he
wants	want	want
more	more	more
.	.	.

Please	pleas	Please
,	,	,
don	don	don
t	t	t
confuse	confus	confuse
the	the	the
issue	issu	issue
,	,	,
he	he	he
is	is	is
going	go	going
to	to	to
take	take	take
it	it	it
off	off	off
me	me	me
and	and	and
give	give	give
it	it	it
to	to	to
somebody	somebodi	somebody
else	els	else
.	.	.

If	if	If
you	you	you
think	think	think
that	that	that
s	s	s
okay	okay	okay
,	,	,
that	that	that
s	s	s
fine	fine	fine
with	with	with
me	me	me
.	.	.

I	i	I
don	don	don
t	t	t
.	.	.

Let	let	Let
me	me	me
move	move	move
on	on	on
.	.	.

Varney	varney	Varney
,	,	,
seemingly	seem	seemingly
not	not	not
wanting	want	wanting
to	to	to
have	have	have
a	a	a
conversation	convers	conversation
about	about	about
facts	fact	fact
or	or	or
policy	polici	policy
,	,	,
insists	insist	insists
on	on	on
having	have	having
a	a	a
conversation	convers	conversation
about	about	about
the	the	the
morality	moral	morality
of	of	of
having	have	having
the	the	the
rich	rich	rich
pay	pay	pay
a	a	a
higher	higher	higher
share	share	share
of	of	of
taxes	tax	tax
.	.	.

Bilbray	bilbray	Bilbray
says	say	say
that	that	that
she	she	she
wasn	wasn	wasn
t	t	t
prepared	prepar	prepared
to	to	to
have	have	have
a	a	a
conversation	convers	conversation
about	about	about
morality	moral	morality
.	.	.

Though	though	Though
she	she	she
thinks	think	think
it	it	it
isn	isn	isn
t	t	t
moral	moral	moral
for	for	for
people	peopl	people
to	to	to
be	be	be
working	work	working
as	as	a
they	they	they
as	as	a
they	they	they
are	are	are
and	and	and
still	still	still
struggle	struggl	struggle
just	just	just
to	to	to
get	get	get
by	by	by
.	.	.
Varney	varney	Varney
only	onli	only
repeats	repeat	repeat
his	his	his
earlier	earlier	earlier
position	posit	position
,	,	,
while	while	while
steadily	steadili	steadily
growing	grow	growing
angrier	angrier	angrier
.	.	.
Now	now	Now
,	,	,
Sanders	sander	Sanders
himself	himself	himself
has	has	ha
called	call	called
income	incom	income
inequality	inequ	inequality
the	the	the
great	great	great
moral	moral	moral
issue	issu	issue
of	of	of
our	our	our
time	time	time
.	.	.

Sanders	sander	Sanders
has	has	ha
revealed	reveal	revealed
himself	himself	himself
to	to	to
have	have	have
a	a	a
humanist	humanist	humanist
philosophy	philosophi	philosophy
on	on	on
morality	moral	morality
.	.	.

Sanders	sander	Sanders
also	also	also
happens	happen	happens
to	to	to
have	have	have
a	a	a
lot	lot	lot
of	of	of
respected	respect	respected
economists	economist	economist
who	who	who
agree	agre	agree
with	with	with
his	his	his
tax	tax	tax
policy	polici	policy
proposals	propos	proposal
too	too	too
.	.	.

Sanders	sander	Sanders
recently	recent	recently
explained	explain	explained
his	his	his
spirituality	spiritu	spirituality
,	,	,
saying	say	saying
I	i	I
believe	believ	believe
that	that	that
,	,	,
as	as	a
a	a	a
human	human	human
being	be	being
,	,	,
the	the	the
pain	pain	pain
that	that	that
one	one	one
person	person	person
feels	feel	feel
,	,	,
if	if	if
we	we	we
have	have	have
children	children	child
who	who	who
are	are	are
hungry	hungri	hungry
in	in	in
America	america	America
,	,	,
if	if	if
we	we	we
have	have	have
elderly	elder	elderly
people	peopl	people
who	who	who
can	can	can
t	t	t
afford	afford	afford
their	their	their
prescription	prescript	prescription
drugs	drug	drug
,	,	,
you	you	you
know	know	know
what	what	what
,	,	,
that	that	that
impacts	impact	impact
you	you	you
,	,	,
that	that	that
impacts	impact	impact
me	me	me
.	.	.

And	and	And
I	i	I
worry	worri	worry
very	veri	very
much	much	much
about	about	about
a	a	a
society	societi	society
where	where	where
some	some	some
people	peopl	people
spiritually	spiritu	spiritually
say	say	say
,	,	,
It	it	It
doesn	doesn	doesn
t	t	t
matter	matter	matter
to	to	to
me	me	me
.	.	.

I	i	I
got	got	got
it	it	it
,	,	,
I	i	I
don	don	don
t	t	t
care	care	care
about	about	about
other	other	other
people	peopl	people
.	.	.

So	so	So
my	my	my
spirituality	spiritu	spirituality
is	is	is
that	that	that
we	we	we
are	are	are
all	all	all
in	in	in
this	this	this
together	togeth	together
and	and	and
that	that	that
when	when	when
children	children	child
go	go	go
hungry	hungri	hungry
,	,	,
when	when	when
veterans	veteran	veteran
sleep	sleep	sleep
out	out	out
on	on	on
the	the	the
street	street	street
,	,	,
it	it	it
impacts	impact	impact
me	me	me
.	.	.

That	that	That
s	s	s
my	my	my
very	veri	very
strong	strong	strong
spiritual	spiritu	spiritual
feelings	feel	feeling
.	.	.

It	it	It
would	would	would
be	be	be
a	a	a
pleasure	pleasur	pleasure
to	to	to
see	see	see
a	a	a
gentleman	gentleman	gentleman
like	like	like
Sanders	sander	Sanders
have	have	have
this	this	this
conversation	convers	conversation
with	with	with
Varney	varney	Varney
.	.	.
You	you	You
can	can	can
watch	watch	watch
the	the	the
interview	interview	interview
below	below	below
Featured	featur	Featured
image	imag	image
from	from	from
video	video	video
screenshot	screenshot	screenshot
.	.	.

