This	this	This
is	is	is
not	not	not
supposed	suppos	supposed
to	to	to
be	be	be
a	a	a
danger	danger	danger
to	to	to
the	the	the
general	general	general
population	popul	population
but	but	but
raises	rais	raise
lots	lot	lot
of	of	of
questions	question	question
about	about	about
security	secur	security
when	when	when
dealing	deal	dealing
with	with	with
anthrax	anthrax	anthrax
.	.	.
The	the	The
Pentagon	pentagon	Pentagon
revealed	reveal	revealed
Wednesday	wednesday	Wednesday
that	that	that
live	live	live
anthrax	anthrax	anthrax
was	was	wa
shipped	ship	shipped
,	,	,
apparently	appar	apparently
by	by	by
accident	accid	accident
,	,	,
from	from	from
a	a	a
lab	lab	lab
in	in	in
Utah	utah	Utah
to	to	to
as	as	a
many	mani	many
as	as	a
nine	nine	nine
states	state	state
.	.	.
Pentagon	pentagon	Pentagon
spokesman	spokesman	spokesman
Col	col	Col
.	.	.
Steve	steve	Steve
Warren	warren	Warren
assured	assur	assured
there	there	there
is	is	is
no	no	no
known	known	known
risk	risk	risk
to	to	to
the	the	the
general	general	general
public	public	public
and	and	and
said	said	said
an	an	an
investigation	investig	investigation
is	is	is
under	under	under
way	way	way
.	.	.
But	but	But
precautions	precaut	precaution
are	are	are
being	be	being
taken	taken	taken
for	for	for
potentially	potenti	potentially
exposed	expos	exposed
workers	worker	worker
in	in	in
labs	lab	lab
where	where	where
the	the	the
samples	sampl	sample
were	were	were
sent	sent	sent
.	.	.
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
official	offici	official
told	told	told
Fox	fox	Fox
News	news	News
that	that	that
four	four	four
people	peopl	people
in	in	in
three	three	three
companies	compani	company
are	are	are
being	be	being
treated	treat	treated
for	for	for
post	post	post
-exposure	-exposur	-exposure
and	and	and
being	be	being
prescribed	prescrib	prescribed
prophylaxis	prophylaxi	prophylaxis
.	.	.
All	all	All
samples	sampl	sample
are	are	are
in	in	in
the	the	the
process	process	process
of	of	of
being	be	being
collected	collect	collected
by	by	by
the	the	the
Centers	center	Centers
for	for	for
Disease	diseas	Disease
Control	control	Control
and	and	and
Prevention	prevent	Prevention
.	.	.
The	the	The
material	materi	material
in	in	in
question	question	question
was	was	wa
prepared	prepar	prepared
at	at	at
Dugway	dugway	Dugway
Proving	prove	Proving
Ground	ground	Ground
,	,	,
Utah	utah	Utah
,	,	,
as	as	a
part	part	part
of	of	of
what	what	what
was	was	wa
described	describ	described
as	as	a
a	a	a
routine	routin	routine
research	research	research
process	process	process
.	.	.
It	it	It
was	was	wa
then	then	then
sent	sent	sent
out	out	out
to	to	to
Defense	defens	Defense
Department	depart	Department
and	and	and
commercial	commerci	commercial
labs	lab	lab
in	in	in
nine	nine	nine
states	state	state
the	the	the
shipments	shipment	shipment
were	were	were
supposed	suppos	supposed
to	to	to
include	includ	include
only	onli	only
inactive	inact	inactive
,	,	,
or	or	or
dead	dead	dead
,	,	,
anthrax	anthrax	anthrax
when	when	when
they	they	they
were	were	were
transferred	transfer	transferred
.	.	.
These	these	These
were	were	were
supposed	suppos	supposed
to	to	to
be	be	be
dead	dead	dead
spores	spore	spore
anthrax	anthrax	anthrax
,	,	,
called	call	called
AG	ag	AG
-1	-1	-1
,	,	,
a	a	a
defense	defens	defense
official	offici	official
said	said	said
.	.	.
But	but	But
a	a	a
private	privat	private
lab	lab	lab
in	in	in
Maryland	maryland	Maryland
,	,	,
on	on	on
May	may	May
22	22	22
,	,	,
informed	inform	informed
the	the	the
CDC	cdc	CDC
that	that	that
they	they	they
thought	thought	thought
the	the	the
samples	sampl	sample
contained	contain	contained
live	live	live
anthrax	anthrax	anthrax
.	.	.
The	the	The
CDC	cdc	CDC
then	then	then
informed	inform	informed
the	the	the
Defense	defens	Defense
Department	depart	Department
.	.	.
According	accord	According
to	to	to
the	the	the
Associated	associ	Associated
Press	press	Press
,	,	,
the	the	the
government	govern	government
has	has	ha
confirmed	confirm	confirmed
the	the	the
Maryland	maryland	Maryland
lab	lab	lab
got	got	got
live	live	live
spores	spore	spore
,	,	,
and	and	and
it	it	it
is	is	is
suspected	suspect	suspected
the	the	the
others	other	others
did	did	did
as	as	a
well	well	well
,	,	,
though	though	though
not	not	not
yet	yet	yet
confirmed	confirm	confirmed
.	.	.
Fox	fox	Fox
News	news	News
also	also	also
was	was	wa
told	told	told
that	that	that
one	one	one
sample	sampl	sample
was	was	wa
sent	sent	sent
to	to	to
a	a	a
South	south	South
Korean	korean	Korean
base	base	base
.	.	.
The	the	The
Department	depart	Department
of	of	of
Defense	defens	Defense
is	is	is
collaborating	collabor	collaborating
with	with	with
the	the	the
Centers	center	Centers
for	for	for
Disease	diseas	Disease
Control	control	Control
and	and	and
Prevention	prevent	Prevention
in	in	in
their	their	their
investigation	investig	investigation
of	of	of
the	the	the
inadvertent	inadvert	inadvertent
transfer	transfer	transfer
of	of	of
samples	sampl	sample
containing	contain	containing
live	live	live
Bacillus	bacillus	Bacillus
anthracis	anthraci	anthracis
,	,	,
also	also	also
known	known	known
as	as	a
anthrax	anthrax	anthrax
,	,	,
from	from	from
a	a	a
DoD	dod	DoD
lab	lab	lab
in	in	in
Dugway	dugway	Dugway
Utah	utah	Utah
,	,	,
to	to	to
labs	lab	lab
in	in	in
nine	nine	nine
states	state	state
,	,	,
Warren	warren	Warren
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
There	there	There
is	is	is
no	no	no
known	known	known
risk	risk	risk
to	to	to
the	the	the
general	general	general
public	public	public
,	,	,
and	and	and
there	there	there
are	are	are
no	no	no
suspected	suspect	suspected
or	or	or
confirmed	confirm	confirmed
cases	case	case
of	of	of
anthrax	anthrax	anthrax
infection	infect	infection
in	in	in
potentially	potenti	potentially
exposed	expos	exposed
lab	lab	lab
workers	worker	worker
,	,	,
he	he	he
added	ad	added
.	.	.
The	the	The
DoD	dod	DoD
lab	lab	lab
was	was	wa
working	work	working
as	as	a
part	part	part
of	of	of
a	a	a
DoD	dod	DoD
effort	effort	effort
to	to	to
develop	develop	develop
a	a	a
field	field	field
-based	-base	-based
test	test	test
to	to	to
identify	identifi	identify
biological	biolog	biological
threats	threat	threat
in	in	in
the	the	the
environment	environ	environment
.	.	.
