We	we	We
don	don	don
t	t	t
recall	recal	recall
seeing	see	seeing
this	this	this
story	stori	story
in	in	in
the	the	the
mainstream	mainstream	mainstream
media	media	medium
?	?	?
Is	is	Is
is	is	is
not	not	not
news	news	news
when	when	when
three	three	three
men	men	men
go	go	go
on	on	on
a	a	a
shooting	shoot	shooting
spree	spree	spree
and	and	and
shoot	shoot	shoot
up	up	up
a	a	a
bus	bus	bus
full	full	full
of	of	of
kids	kid	kid
?	?	?
Three	three	Three
men	men	men
have	have	have
been	been	been
charged	charg	charged
with	with	with
driving	drive	driving
through	through	through
Jones	jone	Jones
County	counti	County
,	,	,
South	south	South
Carolina	carolina	Carolina
shooting	shoot	shooting
at	at	at
vehicles	vehicl	vehicle
,	,	,
one	one	one
of	of	of
those	those	those
was	was	wa
a	a	a
school	school	school
activity	activ	activity
bus	bus	bus
with	with	with
children	children	child
on	on	on
board	board	board
.	.	.
Quinton	quinton	Quinton
Mceachin	mceachin	Mceachin
of	of	of
Pollocksivlle	pollocksivll	Pollocksivlle
,	,	,
Azario	azario	Azario
Frost	frost	Frost
of	of	of
Maysville	maysvill	Maysville
,	,	,
and	and	and
Cordero	cordero	Cordero
Foy	foy	Foy
,	,	,
of	of	of
Maysville	maysvill	Maysville
,	,	,
are	are	are
facing	face	facing
numerous	numer	numerous
charges	charg	charge
after	after	after
their	their	their
arrest	arrest	arrest
on	on	on
Sunday	sunday	Sunday
.	.	.
Jones	jone	Jones
County	counti	County
deputies	deputi	deputy
say	say	say
Mceachin	mceachin	Mceachin
was	was	wa
driving	drive	driving
the	the	the
vehicle	vehicl	vehicle
that	that	that
was	was	wa
eventually	eventu	eventually
stopped	stop	stopped
after	after	after
a	a	a
chase	chase	chase
by	by	by
Maysville	maysvill	Maysville
police	polic	police
and	and	and
deputies	deputi	deputy
.	.	.
The	the	The
activity	activ	activity
bus	bus	bus
was	was	wa
from	from	from
Pamlico	pamlico	Pamlico
County	counti	County
and	and	and
was	was	wa
hit	hit	hit
by	by	by
the	the	the
gunfire	gunfir	gunfire
,	,	,
but	but	but
no	no	no
children	children	child
were	were	were
hurt	hurt	hurt
.	.	.
It	it	It
happened	happen	happened
on	on	on
U	u	U
.	.	.
S	s	S
.	.	.
17	17	17
around	around	around
5	5	5
30	30	30
p	p	p
.	.	.
m	m	m
.	.	.
Detectives	detect	Detectives
say	say	say
there	there	there
were	were	were
13	13	13
students	student	student
and	and	and
two	two	two
adults	adult	adult
on	on	on
the	the	the
bus	bus	bus
.	.	.
They	they	They
say	say	say
the	the	the
bullet	bullet	bullet
disabled	disabl	disabled
the	the	the
bus	bus	bus
when	when	when
it	it	it
struck	struck	struck
the	the	the
radiator	radiat	radiator
.	.	.
Mceachin	mceachin	Mceachin
is	is	is
facing	face	facing
charges	charg	charge
of	of	of
driving	drive	driving
while	while	while
impaired	impair	impaired
,	,	,
felony	feloni	felony
conspiracy	conspiraci	conspiracy
,	,	,
discharge	discharg	discharge
a	a	a
barreled	barrel	barreled
weapon	weapon	weapon
,	,	,
flee	flee	flee
elude	elud	elude
arrest	arrest	arrest
with	with	with
a	a	a
motor	motor	motor
vehicle	vehicl	vehicle
,	,	,
reckless	reckless	reckless
driving	drive	driving
,	,	,
felony	feloni	felony
hit	hit	hit
and	and	and
run	run	run
with	with	with
personal	person	personal
injury	injuri	injury
,	,	,
felony	feloni	felony
discharging	discharg	discharging
weapon	weapon	weapon
into	into	into
a	a	a
moving	move	moving
vehicle	vehicl	vehicle
,	,	,
and	and	and
several	sever	several
traffic	traffic	traffic
violations	violat	violation
.	.	.
His	his	His
bond	bond	bond
was	was	wa
set	set	set
at	at	at
250	250	250
,	,	,
000	000	000
.	.	.
Frost	frost	Frost
was	was	wa
charged	charg	charged
with	with	with
discharging	discharg	discharging
weapon	weapon	weapon
into	into	into
occupied	occupi	occupied
property	properti	property
,	,	,
felony	feloni	felony
conspiracy	conspiraci	conspiracy
,	,	,
discharge	discharg	discharge
a	a	a
barreled	barrel	barreled
weapon	weapon	weapon
,	,	,
felony	feloni	felony
discharge	discharg	discharge
a	a	a
weapon	weapon	weapon
into	into	into
a	a	a
moving	move	moving
vehicle	vehicl	vehicle
,	,	,
and	and	and
felony	feloni	felony
possession	possess	possession
of	of	of
a	a	a
firearm	firearm	firearm
by	by	by
felon	felon	felon
.	.	.
The	the	The
man	man	man
s	s	s
bond	bond	bond
was	was	wa
125	125	125
,	,	,
000	000	000
.	.	.
Foy	foy	Foy
is	is	is
facing	face	facing
charges	charg	charge
of	of	of
discharging	discharg	discharging
a	a	a
weapon	weapon	weapon
into	into	into
occupied	occupi	occupied
property	properti	property
,	,	,
possession	possess	possession
of	of	of
a	a	a
firearm	firearm	firearm
by	by	by
felon	felon	felon
,	,	,
discharge	discharg	discharge
a	a	a
barreled	barrel	barreled
weapon	weapon	weapon
,	,	,
assault	assault	assault
with	with	with
a	a	a
deadly	dead	deadly
weapon	weapon	weapon
and	and	and
felony	feloni	felony
discharge	discharg	discharge
of	of	of
a	a	a
weapon	weapon	weapon
into	into	into
occupied	occupi	occupied
dwelling	dwell	dwelling
moving	move	moving
vehicle	vehicl	vehicle
.	.	.
A	a	A
magistrate	magistr	magistrate
set	set	set
Foy	foy	Foy
s	s	s
bond	bond	bond
at	at	at
100	100	100
,	,	,
000	000	000
.	.	.
Via	via	Via
WITN	witn	WITN
