So	so	So
much	much	much
for	for	for
the	the	the
promise	promis	promise
of	of	of
transparency	transpar	transparency
from	from	from
Obama	obama	Obama
.	.	.

Hundreds	hundr	Hundreds
of	of	of
lawyers	lawyer	lawyer
?	?	?

The	the	The
special	special	special
project	project	project
this	this	this
team	team	team
was	was	wa
given	given	given
?	?	?

Concealing	conceal	Concealing
information	inform	information
from	from	from
Congress	congress	Congress
.	.	.
The	the	The
IRS	ir	IRS
s	s	s
director	director	director
of	of	of
privacy	privaci	privacy
,	,	,
governmental	government	governmental
liaison	liaison	liaison
,	,	,
and	and	and
disclosure	disclosur	disclosure
division	divis	division
,	,	,
Mary	mari	Mary
Howard	howard	Howard
,	,	,
testified	testifi	testified
that	that	that
soon	soon	soon
after	after	after
the	the	the
IRS	ir	IRS
targeting	target	targeting
scandal	scandal	scandal
was	was	wa
revealed	reveal	revealed
,	,	,
the	the	the
IRS	ir	IRS
amassed	amass	amassed
hundreds	hundr	hundred
of	of	of
attorneys	attorney	attorney
to	to	to
go	go	go
through	through	through
the	the	the
documents	document	document
requested	request	requested
by	by	by
Congress	congress	Congress
and	and	and
redact	redact	redact
them	them	them
.	.	.

She	she	She
told	told	told
Congress	congress	Congress
that	that	that
once	onc	once
the	the	the
special	special	special
project	project	project
team	team	team
was	was	wa
created	creat	created
and	and	and
operational	oper	operational
,	,	,
she	she	she
never	never	never
saw	saw	saw
requests	request	request
for	for	for
information	inform	information
.	.	.
Members	member	Members
of	of	of
Congress	congress	Congress
have	have	have
long	long	long
complained	complain	complained
that	that	that
many	mani	many
of	of	of
the	the	the
documents	document	document
produced	produc	produced
by	by	by
the	the	the
IRS	ir	IRS
have	have	have
been	been	been
redacted	redact	redacted
to	to	to
the	the	the
point	point	point
of	of	of
absurdity	absurd	absurdity
.	.	.

Now	now	Now
we	we	we
know	know	know
why	whi	why
.	.	.
Her	her	Her
testimony	testimoni	testimony
is	is	is
clear	clear	clear
As	as	As
soon	soon	soon
as	as	a
the	the	the
IRS	ir	IRS
targeting	target	targeting
scandal	scandal	scandal
broke	broke	broke
,	,	,
the	the	the
IRS	ir	IRS
set	set	set
up	up	up
a	a	a
special	special	special
team	team	team
of	of	of
hundreds	hundr	hundred
of	of	of
attorneys	attorney	attorney
,	,	,
including	includ	including
President	presid	President
Obama	obama	Obama
s	s	s
political	polit	political
head	head	head
of	of	of
the	the	the
Chief	chief	Chief
Counsel	counsel	Counsel
s	s	s
office	offic	office
,	,	,
to	to	to
keep	keep	keep
requests	request	request
for	for	for
publicly	public	publicly
available	avail	available
information	inform	information
away	away	away
from	from	from
the	the	the
person	person	person
who	who	who
would	would	would
normally	normal	normally
review	review	review
those	those	those
documents	document	document
and	and	and
turn	turn	turn
them	them	them
over	over	over
to	to	to
Congress	congress	Congress
and	and	and
the	the	the
public	public	public
.	.	.

That	that	That
special	special	special
team	team	team
then	then	then
overly	over	overly
redacted	redact	redacted
,	,	,
delayed	delay	delayed
,	,	,
and	and	and
determined	determin	determined
which	which	which
documents	document	document
it	it	it
wanted	want	wanted
Congress	congress	Congress
to	to	to
see	see	see
.	.	.
After	after	After
setting	set	setting
up	up	up
a	a	a
special	special	special
group	group	group
to	to	to
target	target	target
and	and	and
delay	delay	delay
applications	applic	application
by	by	by
Tea	tea	Tea
Party	parti	Party
groups	group	group
for	for	for
tax	tax	tax
-exempt	-exempt	-exempt
status	status	status
,	,	,
the	the	the
IRS	ir	IRS
set	set	set
up	up	up
a	a	a
new	new	new
special	special	special
project	project	project
team	team	team
to	to	to
delay	delay	delay
and	and	and
redact	redact	redact
information	inform	information
from	from	from
Congress	congress	Congress
about	about	about
that	that	that
targeting	target	targeting
.	.	.

Talk	talk	Talk
about	about	about
a	a	a
cover	cover	cover
-up	-up	-up
.	.	.
When	when	When
asked	ask	asked
about	about	about
these	these	these
revelations	revel	revelation
and	and	and
the	the	the
ongoing	ongo	ongoing
investigation	investig	investigation
by	by	by
Congress	congress	Congress
into	into	into
the	the	the
IRS	ir	IRS
and	and	and
former	former	former
top	top	top
IRS	ir	IRS
official	offici	official
Lois	loi	Lois
Lerner	lerner	Lerner
s	s	s
involvement	involv	involvement
,	,	,
Howard	howard	Howard
testified	testifi	testified
,	,	,
I	i	I
think	think	think
that	that	that
Lois	loi	Lois
Lerner	lerner	Lerner
was	was	wa
the	the	the
tip	tip	tip
of	of	of
the	the	the
iceberg	iceberg	iceberg
.	.	.

This	this	This
is	is	is
what	what	what
we	we	we
at	at	at
the	the	the
American	american	American
Center	center	Center
for	for	for
Law	law	Law
and	and	and
Justice	justic	Justice
ACLJ	aclj	ACLJ
have	have	have
been	been	been
arguing	argu	arguing
all	all	all
along	along	along
.	.	.

The	the	The
targeting	target	targeting
of	of	of
conservative	conserv	conservative
groups	group	group
,	,	,
the	the	the
delays	delay	delay
,	,	,
the	the	the
unconstitutionally	unconstitut	unconstitutionally
abusive	abus	abusive
questions	question	question
go	go	go
far	far	far
beyond	beyond	beyond
Lerner	lerner	Lerner
.	.	.

We	we	We
expect	expect	expect
to	to	to
learn	learn	learn
more	more	more
about	about	about
Lerner	lerner	Lerner
s	s	s
role	role	role
and	and	and
the	the	the
disappearance	disappear	disappearance
and	and	and
later	later	later
recovery	recoveri	recovery
of	of	of
many	mani	many
of	of	of
her	her	her
emails	email	email
later	later	later
this	this	this
month	month	month
as	as	a
the	the	the
Inspector	inspector	Inspector
General	general	General
for	for	for
Tax	tax	Tax
Administration	administr	Administration
is	is	is
due	due	due
to	to	to
issue	issu	issue
its	it	it
report	report	report
.	.	.
Congress	congress	Congress
s	s	s
investigation	investig	investigation
is	is	is
far	far	far
from	from	from
over	over	over
.	.	.

At	at	At
the	the	the
ACLJ	aclj	ACLJ
,	,	,
our	our	our
ongoing	ongo	ongoing
lawsuit	lawsuit	lawsuit
on	on	on
behalf	behalf	behalf
of	of	of
dozens	dozen	dozen
of	of	of
conservative	conserv	conservative
and	and	and
pro	pro	pro
-life	-life	-life
groups	group	group
targeted	target	targeted
by	by	by
the	the	the
IRS	ir	IRS
is	is	is
far	far	far
from	from	from
over	over	over
.	.	.

Our	our	Our
appeal	appeal	appeal
is	is	is
pending	pend	pending
before	befor	before
a	a	a
federal	feder	federal
appeals	appeal	appeal
court	court	court
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
Unfortunately	unfortun	Unfortunately
,	,	,
the	the	the
targeting	target	targeting
is	is	is
far	far	far
from	from	from
over	over	over
as	as	a
well	well	well
,	,	,
as	as	a
the	the	the
application	applic	application
of	of	of
one	one	one
of	of	of
our	our	our
clients	client	client
has	has	ha
been	been	been
pending	pend	pending
for	for	for
well	well	well
over	over	over
five	five	five
years	year	year
.	.	.

We	we	We
will	will	will
continue	continu	continue
fighting	fight	fighting
to	to	to
expose	expos	expose
IRS	ir	IRS
corruption	corrupt	corruption
and	and	and
pursue	pursu	pursue
justice	justic	justice
for	for	for
the	the	the
American	american	American
people	peopl	people
.	.	.
Jay	jay	Jay
Sekulow	sekulow	Sekulow
is	is	is
Chief	chief	Chief
Counsel	counsel	Counsel
of	of	of
the	the	the
American	american	American
Center	center	Center
for	for	for
Law	law	Law
and	and	and
Justice	justic	Justice
ACLJ	aclj	ACLJ
,	,	,
which	which	which
focuses	focus	focus
on	on	on
constitutional	constitut	constitutional
law	law	law
.	.	.

He	he	He
is	is	is
a	a	a
New	new	New
York	york	York
Times	time	Times
bestselling	bestsel	bestselling
author	author	author
.	.	.

Jay	jay	Jay
s	s	s
latest	latest	latest
book	book	book
is	is	is
UNDEMOCRATIC	undemocrat	UNDEMOCRATIC
How	how	How
Unelected	unelect	Unelected
,	,	,
Unaccountable	unaccount	Unaccountable
Bureaucrats	bureaucrat	Bureaucrats
Are	are	Are
Stealing	steal	Stealing
Your	your	Your
