CNN	cnn	CNN
has	has	ha
been	been	been
heavily	heavili	heavily
criticized	critic	criticized
for	for	for
its	it	it
coverage	coverag	coverage
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
rise	rise	rise
and	and	and
rightfully	right	rightfully
so	so	so
.	.	.
For	for	For
months	month	month
,	,	,
one	one	one
of	of	of
the	the	the
most	most	most
watched	watch	watched
news	news	news
networks	network	network
in	in	in
America	america	America
deferred	defer	deferred
to	to	to
the	the	the
both	both	both
sides	side	side
model	model	model
of	of	of
false	fals	false
equivalency	equival	equivalency
that	that	that
had	had	had
been	been	been
standard	standard	standard
practice	practic	practice
for	for	for
years	year	year
.	.	.
Recently	recent	Recently
,	,	,
as	as	a
Trump	trump	Trump
clinched	clinch	clinched
the	the	the
Republican	republican	Republican
nomination	nomin	nomination
and	and	and
it	it	it
became	becam	became
clear	clear	clear
that	that	that
he	he	he
has	has	ha
no	no	no
intention	intent	intention
of	of	of
being	be	being
more	more	more
presidential	presidenti	presidential
,	,	,
something	someth	something
in	in	in
the	the	the
minds	mind	mind
of	of	of
the	the	the
network	network	network
s	s	s
reporters	report	reporter
and	and	and
hosts	host	host
clicked	click	clicked
.	.	.
They	they	They
finally	final	finally
seem	seem	seem
to	to	to
get	get	get
it	it	it
.	.	.
Donald	donald	Donald
Trump	trump	Trump
is	is	is
a	a	a
despicable	despic	despicable
person	person	person
and	and	and
no	no	no
amount	amount	amount
of	of	of
he	he	he
said	said	said
,	,	,
she	she	she
said	said	said
is	is	is
going	go	going
to	to	to
blunt	blunt	blunt
that	that	that
fact	fact	fact
.	.	.
So	so	So
they	they	they
ve	ve	ve
changed	chang	changed
.	.	.
And	and	And
in	in	in
doing	do	doing
so	so	so
have	have	have
absolutely	absolut	absolutely
upped	up	upped
their	their	their
game	game	game
.	.	.
On	on	On
a	a	a
recent	recent	recent
episode	episod	episode
of	of	of
At	at	At
This	this	This
Hour	hour	Hour
,	,	,
hosts	host	host
John	john	John
Berman	berman	Berman
and	and	and
Kate	kate	Kate
Bolduan	bolduan	Bolduan
put	put	put
on	on	on
a	a	a
masterclass	masterclass	masterclass
on	on	on
how	how	how
to	to	to
press	press	press
a	a	a
Trump	trump	Trump
supporter	support	supporter
to	to	to
get	get	get
right	right	right
down	down	down
to	to	to
the	the	the
uncomfortable	uncomfort	uncomfortable
truth	truth	truth
at	at	at
the	the	the
very	veri	very
root	root	root
of	of	of
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
.	.	.
They	they	They
invited	invit	invited
on	on	on
freshman	freshman	freshman
congressman	congressman	congressman
Lee	lee	Lee
Zeldin	zeldin	Zeldin
R	r	R
-N	-n	-N
.	.	.
Y	y	Y
.	.	.
and	and	and
slowly	slowli	slowly
demolished	demolish	demolished
his	his	his
talking	talk	talking
points	point	point
.	.	.
Watching	watch	Watching
a	a	a
human	human	human
being	be	being
get	get	get
so	so	so
thoroughly	thorough	thoroughly
decimated	decim	decimated
is	is	is
never	never	never
easy	easi	easy
,	,	,
but	but	but
given	given	given
Zeldin	zeldin	Zeldin
s	s	s
baffling	baffl	baffling
support	support	support
for	for	for
Trump	trump	Trump
it	it	it
s	s	s
hard	hard	hard
to	to	to
say	say	say
he	he	he
didn	didn	didn
t	t	t
have	have	have
it	it	it
coming	come	coming
.	.	.
He	he	He
knows	know	know
Trump	trump	Trump
is	is	is
a	a	a
racist	racist	racist
just	just	just
ask	ask	ask
him	him	him
.	.	.
After	after	After
Zeldin	zeldin	Zeldin
tried	tri	tried
to	to	to
dismiss	dismiss	dismiss
Trump	trump	Trump
s	s	s
comments	comment	comment
about	about	about
his	his	his
Hispanic	hispan	Hispanic
judge	judg	judge
as	as	a
a	a	a
regrettable	regrett	regrettable
mistake	mistak	mistake
,	,	,
the	the	the
pair	pair	pair
of	of	of
hosts	host	host
didn	didn	didn
t	t	t
let	let	let
him	him	him
off	off	off
the	the	the
hook	hook	hook
.	.	.
If	if	If
Donald	donald	Donald
Trump	trump	Trump
is	is	is
engaging	engag	engaging
in	in	in
racism	racism	racism
,	,	,
are	are	are
you	you	you
still	still	still
comfortable	comfort	comfortable
supporting	support	supporting
him	him	him
?	?	?
Zeldin	zeldin	Zeldin
tried	tri	tried
to	to	to
change	chang	change
the	the	the
subject	subject	subject
,	,	,
as	as	a
he	he	he
no	no	no
doubt	doubt	doubt
was	was	wa
trained	train	trained
to	to	to
do	do	do
.	.	.
But	but	But
Bolduan	bolduan	Bolduan
and	and	and
Berman	berman	Berman
weren	weren	weren
t	t	t
buying	buy	buying
it	it	it
.	.	.
After	after	After
trying	tri	trying
to	to	to
use	use	use
the	the	the
opportunity	opportun	opportunity
to	to	to
pivot	pivot	pivot
to	to	to
bashing	bash	bashing
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
Bolduan	bolduan	Bolduan
interrupts	interrupt	interrupt
.	.	.
I	i	I
m	m	m
not	not	not
saying	say	saying
Are	are	Are
you	you	you
now	now	now
voting	vote	voting
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
?	?	?
,	,	,
but	but	but
are	are	are
you	you	you
still	still	still
endorsing	endors	endorsing
Donald	donald	Donald
Trump	trump	Trump
if	if	if
you	you	you
think	think	think
he	he	he
s	s	s
engaging	engag	engaging
in	in	in
racism	racism	racism
?	?	?
Well	well	Well
,	,	,
yes	yes	yes
,	,	,
it	it	it
s	s	s
Donald	donald	Donald
Trump	trump	Trump
vs	vs	v
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
it	it	it
s	s	s
a	a	a
no	no	no
brainer	brainer	brainer
between	between	between
the	the	the
two	two	two
of	of	of
them	them	them
Are	are	Are
you	you	you
essentially	essenti	essentially
saying	say	saying
Yes	yes	Yes
he	he	he
s	s	s
a	a	a
racist	racist	racist
,	,	,
but	but	but
he	he	he
s	s	s
our	our	our
racist	racist	racist
?	?	?
Boom	boom	Boom
!	!	!
Zeldin	zeldin	Zeldin
has	has	ha
to	to	to
