Former	former	Former
American	american	American
Idol	idol	Idol
finalist	finalist	finalist
and	and	and
Celebrity	celebr	Celebrity
Apprentice	apprentic	Apprentice
contestant	contest	contestant
Clay	clay	Clay
Aiken	aiken	Aiken
has	has	ha
never	never	never
been	been	been
a	a	a
fan	fan	fan
of	of	of
Donald	donald	Donald
Trump	trump	Trump
the	the	the
presidential	presidenti	presidential
candidate	candid	candidate
,	,	,
but	but	but
even	even	even
he	he	he
didn	didn	didn
t	t	t
think	think	think
Trump	trump	Trump
was	was	wa
a	a	a
fascist	fascist	fascist
and	and	and
a	a	a
racist	racist	racist
.	.	.

That	that	That
s	s	s
all	all	all
changed	chang	changed
now	now	now
,	,	,
though	though	though
.	.	.
After	after	After
Donald	donald	Donald
Trump	trump	Trump
,	,	,
who	who	who
is	is	is
the	the	the
supposed	suppos	supposed
moral	moral	moral
leader	leader	leader
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
refused	refus	refused
to	to	to
condemn	condemn	condemn
white	white	white
nationalists	nationalist	nationalist
and	and	and
Neo	neo	Neo
-nazis	-nazi	-nazis
in	in	in
an	an	an
insane	insan	insane
press	press	press
conference	confer	conference
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
Aiken	aiken	Aiken
had	had	had
enough	enough	enough
.	.	.
After	after	After
saying	say	saying
a	a	a
year	year	year
ago	ago	ago
,	,	,
I	i	I
don	don	don
t	t	t
think	think	think
he	he	he
s	s	s
a	a	a
fascist	fascist	fascist
.	.	.

I	i	I
don	don	don
t	t	t
think	think	think
he	he	he
s	s	s
a	a	a
racist	racist	racist
,	,	,
Aiken	aiken	Aiken
had	had	had
a	a	a
change	chang	change
of	of	of
heart	heart	heart
.	.	.
Remember	rememb	Remember
all	all	all
those	those	those
times	time	time
I	i	I
defended	defend	defended
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
and	and	and
believed	believ	believed
he	he	he
was	was	wa
not	not	not
actually	actual	actually
racist	racist	racist
?	?	?

Well	well	Well
I	i	I
am	am	am
a	a	a
f	f	f
g	g	g
dumbass	dumbass	dumbass
.	.	.

#imsorry	#imsorri	#imsorry
Clay	clay	Clay
Aiken	aiken	Aiken
@clayaiken	@clayaiken	@clayaiken
August	august	August
15	15	15
,	,	,
2017Aiken	2017aiken	2017Aiken
is	is	is
a	a	a
Democrat	democrat	Democrat
and	and	and
he	he	he
campaigned	campaign	campaigned
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.

He	he	He
knew	knew	knew
Trump	trump	Trump
would	would	would
be	be	be
a	a	a
horrible	horribl	horrible
president	presid	president
,	,	,
but	but	but
as	as	a
a	a	a
person	person	person
,	,	,
he	he	he
gave	gave	gave
him	him	him
the	the	the
benefit	benefit	benefit
of	of	of
the	the	the
doubt	doubt	doubt
.	.	.
Aiken	aiken	Aiken
,	,	,
a	a	a
Democrat	democrat	Democrat
who	who	who
unsuccessfully	unsuccess	unsuccessfully
ran	ran	ran
for	for	for
Congress	congress	Congress
in	in	in
2014	2014	2014
,	,	,
previously	previous	previously
said	said	said
he	he	he
liked	like	liked
Trump	trump	Trump
even	even	even
though	though	though
they	they	they
disagreed	disagre	disagreed
about	about	about
politics	polit	politics
.	.	.

In	in	In
2015	2015	2015
,	,	,
Aiken	aiken	Aiken
told	told	told
CNN	cnn	CNN
that	that	that
he	he	he
considered	consid	considered
Trump	trump	Trump
to	to	to
be	be	be
a	a	a
friend	friend	friend
,	,	,
but	but	but
said	said	said
he	he	he
s	s	s
like	like	like
that	that	that
uncle	uncl	uncle
,	,	,
who	who	who
embarrasses	embarrass	embarrasses
the	the	the
hell	hell	hell
out	out	out
of	of	of
you	you	you
sometimes	sometim	sometimes
and	and	and
you	you	you
still	still	still
love	love	love
them	them	them
,	,	,
but	but	but
damn	damn	damn
,	,	,
you	you	you
wish	wish	wish
they	they	they
d	d	d
shut	shut	shut
up	up	up
.	.	.

Source	sourc	Source
Huffington	huffington	Huffington
PostTBC	posttbc	PostTBC
I	i	I
ve	ve	ve
always	alway	always
thought	thought	thought
he	he	he
would	would	would
be	be	be
a	a	a
dumpster	dumpster	dumpster
fire	fire	fire
as	as	a
a	a	a
president	presid	president
,	,	,
and	and	and
I	i	I
was	was	wa
right	right	right
about	about	about
that	that	that
.	.	.

I	i	I
just	just	just
didn	didn	didn
t	t	t
think	think	think
he	he	he
was	was	wa
racist	racist	racist
.	.	.

#wrong	#wrong	#wrong
https://t.co/6ec0Qm0WxW	https://t.co/6ec0qm0wxw	https://t.co/6ec0Qm0WxW
Clay	clay	Clay
Aiken	aiken	Aiken
@clayaiken	@clayaiken	@clayaiken
August	august	August
15	15	15
,	,	,
2017Twitter	2017twitter	2017Twitter
being	be	being
Twitter	twitter	Twitter
,	,	,
those	those	those
posts	post	post
became	becam	became
divisive	divis	divisive
with	with	with
Aiken	aiken	Aiken
being	be	being
attacked	attack	attacked
from	from	from
both	both	both
the	the	the
right	right	right
and	and	and
the	the	the
left	left	left
.	.	.
pic.twitter.com/EgifVXoPMH	pic.twitter.com/egifvxopmh	pic.twitter.com/EgifVXoPMH
Sol	sol	Sol
@soledadL_22	@soledadl_22	@soledadL_22
August	august	August
16	16	16
,	,	,
2017Okay	2017okay	2017Okay
,	,	,
Aiken	aiken	Aiken
might	might	might
be	be	be
late	late	late
in	in	in
realizing	realiz	realizing
that	that	that
Trump	trump	Trump
is	is	is
racist	racist	racist
,	,	,
but	but	but
he	he	he
never	never	never
supported	support	supported
him	him	him
.	.	.

If	if	If
Aiken	aiken	Aiken
had	had	had
called	call	called
Trump	trump	Trump
racist	racist	racist
in	in	in
2016	2016	2016
,	,	,
Trump	trump	Trump
would	would	would
still	still	still
be	be	be
in	in	in
office	offic	office
.	.	.
Darling	darl	Darling
I	i	I
m	m	m
calm	calm	calm
down	down	down
,	,	,
but	but	but
we	we	we
all	all	all
knew	knew	knew
what	what	what
he	he	he
was	was	wa
and	and	and
some	some	some
people	peopl	people
still	still	still
defended	defend	defended
him	him	him
.	.	.

U	u	U
apologizing	apolog	apologizing
is	is	is
ok	ok	ok
in	in	in
my	my	my
book	book	book
,	,	,
but	but	but
changes	chang	change
nothing	noth	nothing
.	.	.

Sol	sol	Sol
@soledadL_22	@soledadl_22	@soledadL_22
August	august	August
16	16	16
,	,	,
2017Don	2017don	2017Don
t	t	t
take	take	take
it	it	it
so	so	so
hard	hard	hard
I	i	I
m	m	m
not	not	not
insulting	insult	insulting
you	you	you
,	,	,
I	i	I
m	m	m
just	just	just
saying	say	saying
unfortunately	unfortun	unfortunately
,	,	,
it	it	it
s	s	s
too	too	too
late	late	late
,	,	,
and	and	and
he	he	he
is	is	is
up	up	up
there	there	there
.	.	.

Peace	peac	Peace
Sol	sol	Sol
@soledadL_22	@soledadl_22	@soledadL_22
August	august	August
16	16	16
,	,	,
2017Clay	2017clay	2017Clay
,	,	,
you	you	you
re	re	re
being	be	being
stupid	stupid	stupid
now	now	now
.	.	.

The	the	The
real	real	real
racists	racist	racist
are	are	are
in	in	in
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
.	.	.

They	they	They
support	support	support
the	the	the
abortion	abort	abortion
of	of	of
black	black	black
babies	babi	baby
at	at	at
a	a	a
high	high	high
rate	rate	rate
Tom	tom	Tom
Snyder	snyder	Snyder
,	,	,
Ph	ph	Ph
.	.	.
D	d	D
.	.	.
@FilmDoctor	@filmdoctor	@FilmDoctor
August	august	August
16	16	16
,	,	,
2017While	2017while	2017While
I	i	I
m	m	m
infuriated	infuri	infuriated
by	by	by
ppl	ppl	ppl
like	like	like
you	you	you
,	,	,
Caitlin	caitlin	Caitlin
Jenner	jenner	Jenner
Susan	susan	Susan
Sarandon	sarandon	Sarandon
for	for	for
supporting	support	supporting
this	this	this
nut	nut	nut
,	,	,
I	i	I
appreciate	appreci	appreciate
the	the	the
admission	admiss	admission
.	.	.

Now	now	Now
help	help	help
Resist	resist	Resist
!	!	!

Gnomester210	gnomester210	Gnomester210
@noem210	@noem210	@noem210
August	august	August
16	16	16
,	,	,
2017Yes	2017ye	2017Yes
,	,	,
we	we	we
are	are	are
still	still	still
waiting	wait	waiting
for	for	for
those	those	those
apologies	apolog	apology
