Wow	wow	Wow
.	.	.
The	the	The
cruelty	cruelti	cruelty
of	of	of
Republicans	republican	Republicans
knows	know	know
no	no	no
bounds	bound	bound
.	.	.
Apparently	appar	Apparently
,	,	,
Republicans	republican	Republicans
truly	truli	truly
believe	believ	believe
that	that	that
healthcare	healthcar	healthcare
is	is	is
a	a	a
privilege	privileg	privilege
that	that	that
only	onli	only
people	peopl	people
with	with	with
money	money	money
should	should	should
be	be	be
able	abl	able
to	to	to
receive	receiv	receive
.	.	.
That	that	That
s	s	s
basically	basic	basically
what	what	what
Ohio	ohio	Ohio
GOP	gop	GOP
Rep	rep	Rep
.	.	.
Warren	warren	Warren
Davidson	davidson	Davidson
told	told	told
a	a	a
mother	mother	mother
who	who	who
expressed	express	expressed
her	her	her
concern	concern	concern
that	that	that
her	her	her
son	son	son
won	won	won
t	t	t
have	have	have
healthcare	healthcar	healthcare
coverage	coverag	coverage
if	if	if
Republicans	republican	Republicans
repeal	repeal	repeal
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
.	.	.
The	the	The
woman	woman	woman
s	s	s
son	son	son
works	work	work
in	in	in
the	the	the
service	servic	service
industry	industri	industry
,	,	,
which	which	which
usually	usual	usually
does	doe	doe
not	not	not
provide	provid	provide
health	health	health
insurance	insur	insurance
to	to	to
workers	worker	worker
.	.	.
Pay	pay	Pay
is	is	is
also	also	also
low	low	low
enough	enough	enough
that	that	that
workers	worker	worker
qualify	qualifi	qualify
for	for	for
Medicaid	medicaid	Medicaid
,	,	,
a	a	a
program	program	program
that	that	that
Republicans	republican	Republicans
fiercely	fierc	fiercely
oppose	oppos	oppose
because	becaus	because
it	it	it
benefits	benefit	benefit
low	low	low
-income	-incom	-income
Americans	american	Americans
.	.	.
Prior	prior	Prior
to	to	to
the	the	the
passage	passag	passage
of	of	of
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
,	,	,
her	her	her
son	son	son
did	did	did
not	not	not
have	have	have
health	health	health
insurance	insur	insurance
.	.	.
He	he	He
,	,	,
like	like	like
millions	million	million
of	of	of
other	other	other
Americans	american	Americans
,	,	,
could	could	could
not	not	not
afford	afford	afford
it	it	it
.	.	.
But	but	But
the	the	the
Medicaid	medicaid	Medicaid
expansion	expans	expansion
finally	final	finally
gave	gave	gave
him	him	him
the	the	the
healthcare	healthcar	healthcare
coverage	coverag	coverage
he	he	he
desperately	desper	desperately
needed	need	needed
.	.	.
Now	now	Now
that	that	that
is	is	is
being	be	being
threatened	threaten	threatened
by	by	by
Donald	donald	Donald
Trump	trump	Trump
and	and	and
the	the	the
Republican	republican	Republican
-controlled	-control	-controlled
Congress	congress	Congress
.	.	.
Can	can	Can
you	you	you
explain	explain	explain
why	whi	why
my	my	my
son	son	son
and	and	and
millions	million	million
of	of	of
others	other	others
in	in	in
his	his	his
situation	situat	situation
are	are	are
not	not	not
deserving	deserv	deserving
of	of	of
affordable	afford	affordable
,	,	,
decent	decent	decent
health	health	health
care	care	care
that	that	that
has	has	ha
essential	essenti	essential
benefits	benefit	benefit
so	so	so
that	that	that
he	he	he
can	can	can
stay	stay	stay
healthy	healthi	healthy
and	and	and
continue	continu	continue
working	work	working
?	?	?
the	the	the
mother	mother	mother
asked	ask	asked
Davidson	davidson	Davidson
at	at	at
a	a	a
town	town	town
hall	hall	hall
event	event	event
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
Davidson	davidson	Davidson
responded	respond	responded
by	by	by
giving	give	giving
a	a	a
heartless	heartless	heartless
answer	answer	answer
that	that	that
resulted	result	resulted
in	in	in
a	a	a
round	round	round
of	of	of
boos	boo	boo
and	and	and
jeers	jeer	jeer
from	from	from
the	the	the
crowd	crowd	crowd
in	in	in
attendance	attend	attendance
.	.	.
OK	ok	OK
,	,	,
I	i	I
don	don	don
t	t	t
know	know	know
anything	anyth	anything
about	about	about
your	your	your
son	son	son
,	,	,
but	but	but
as	as	a
you	you	you
described	describ	described
him	him	him
,	,	,
his	his	his
skills	skill	skill
are	are	are
focused	focus	focused
in	in	in
an	an	an
industry	industri	industry
that	that	that
doesn	doesn	doesn
t	t	t
have	have	have
the	the	the
kind	kind	kind
of	of	of
options	option	option
that	that	that
you	you	you
want	want	want
him	him	him
to	to	to
have	have	have
for	for	for
health	health	health
care	care	care
.	.	.
So	so	So
,	,	,
I	i	I
don	don	don
t	t	t
believe	believ	believe
that	that	that
these	these	these
taxpayers	taxpay	taxpayer
here	here	here
are	are	are
entitled	entitl	entitled
to	to	to
give	give	give
that	that	that
to	to	to
him	him	him
.	.	.
I	i	I
believe	believ	believe
he	he	he
s	s	s
got	got	got
the	the	the
opportunity	opportun	opportunity
to	to	to
go	go	go
earn	earn	earn
those	those	those
health	health	health
benefits	benefit	benefit
.	.	.
First	first	First
of	of	of
all	all	all
,	,	,
service	servic	service
industry	industri	industry
workers	worker	worker
pay	pay	pay
taxes	tax	tax
,	,	,
too	too	too
.	.	.
So	so	So
they	they	they
have	have	have
every	everi	every
right	right	right
to	to	to
be	be	be
covered	cover	covered
by	by	by
Medicaid	medicaid	Medicaid
.	.	.
Second	second	Second
,	,	,
healthcare	healthcar	healthcare
is	is	is
a	a	a
right	right	right
that	that	that
everyone	everyon	everyone
should	should	should
have	have	have
regardless	regardless	regardless
of	of	of
where	where	where
they	they	they
work	work	work
or	or	or
what	what	what
industry	industri	industry
they	they	they
work	work	work
in	in	in
.	.	.
Third	third	Third
,	,	,
there	there	there
are	are	are
not	not	not
enough	enough	enough
of	of	of
the	the	the
kind	kind	kind
of	of	of
jobs	job	job
Davidson	davidson	Davidson
is	is	is
talking	talk	talking
about	about	about
to	to	to
provide	provid	provide
everyone	everyon	everyone
in	in	in
this	this	this
country	countri	country
with	with	with
workplace	workplac	workplace
-provided	-provid	-provided
healthcare	healthcar	healthcare
coverage	coverag	coverage
benefits	benefit	benefit
.	.	.
And	and	And
finally	final	finally
,	,	,
if	if	if
Davidson	davidson	Davidson
and	and	and
his	his	his
Republican	republican	Republican
colleagues	colleagu	colleague
got	got	got
off	off	off
their	their	their
asses	ass	ass
and	and	and
passed	pass	passed
a	a	a
law	law	law
requiring	requir	requiring
the	the	the
multi	multi	multi
-billion	-billion	-billion
dollar	dollar	dollar
service	servic	service
industry	industri	industry
to	to	to
provide	provid	provide
healthcare	healthcar	healthcare
to	to	to
their	their	their
workers	worker	worker
or	or	or
pay	pay	pay
their	their	their
workers	worker	worker
enough	enough	enough
so	so	so
they	they	they
can	can	can
afford	afford	afford
to	to	to
buy	buy	buy
good	good	good
health	health	health
insurance	insur	insurance
plans	plan	plan
themselves	themselv	themselves
,	,	,
this	this	this
woman	woman	woman
s	s	s
son	son	son
and	and	and
millions	million	million
of	of	of
others	other	others
would	would	would
not	not	not
have	have	have
to	to	to
live	live	live
in	in	in
fear	fear	fear
of	of	of
losing	lose	losing
their	their	their
coverage	coverag	coverage
.	.	.
But	but	But
Davidson	davidson	Davidson
literally	liter	literally
told	told	told
this	this	this
woman	woman	woman
to	to	to
tell	tell	tell
her	her	her
son	son	son
to	to	to
get	get	get
a	a	a
different	differ	different
job	job	job
.	.	.
And	and	And
he	he	he
dug	dug	dug
the	the	the
hole	hole	hole
deeper	deeper	deeper
for	for	for
himself	himself	himself
by	by	by
compare	compar	compare
health	health	health
insurance	insur	insurance
to	to	to
cell	cell	cell
phones	phone	phone
.	.	.
If	if	If
he	he	he
doesn	doesn	doesn
t	t	t
want	want	want
a	a	a
catastrophic	catastroph	catastrophic
care	care	care
plan	plan	plan
,	,	,
don	don	don
t	t	t
buy	buy	buy
a	a	a
catastrophic	catastroph	catastrophic
care	care	care
plan	plan	plan
.	.	.
If	if	If
you	you	you
don	don	don
t	t	t
want	want	want
a	a	a
flip	flip	flip
-phone	-phone	-phone
,	,	,
don	don	don
t	t	t
buy	buy	buy
a	a	a
flip	flip	flip
-phone	-phone	-phone
,	,	,
Davidson	davidson	Davidson
said	said	said
.	.	.
Once	onc	Once
again	again	again
,	,	,
the	the	the
crowd	crowd	crowd
reacted	react	reacted
in	in	in
total	total	total
disgust	disgust	disgust
.	.	.
Buying	buy	Buying
a	a	a
cell	cell	cell
phone	phone	phone
is	is	is
NOT	not	NOT
the	the	the
same	same	same
as	as	a
buying	buy	buying
health	health	health
insurance	insur	insurance
,	,	,
and	and	and
it	it	it
s	s	s
time	time	time
for	for	for
Republicans	republican	Republicans
to	to	to
that	that	that
through	through	through
their	their	their
thick	thick	thick
skulls	skull	skull
.	.	.
Health	health	Health
insurance	insur	insurance
costs	cost	cost
hundreds	hundr	hundred
of	of	of
dollars	dollar	dollar
a	a	a
month	month	month
or	or	or
more	more	more
while	while	while
a	a	a
cell	cell	cell
phone	phone	phone
payment	payment	payment
plan	plan	plan
is	is	is
relatively	relat	relatively
cheap	cheap	cheap
.	.	.
In	in	In
response	respons	response
to	to	to
Davidson	davidson	Davidson
s	s	s
remark	remark	remark
,	,	,
the	the	the
woman	woman	woman
snapped	snap	snapped
back	back	back
and	and	and
then	then	then
walked	walk	walked
away	away	away
with	with	with
the	the	the
knowledge	knowledg	knowledge
that	that	that
her	her	her
own	own	own
congressman	congressman	congressman
doesn	doesn	doesn
t	t	t
give	give	give
a	a	a
damn	damn	damn
about	about	about
her	her	her
or	or	or
her	her	her
family	famili	family
.	.	.
I	i	I
m	m	m
sorry	sorri	sorry
,	,	,
health	health	health
care	care	care
is	is	is
much	much	much
different	differ	different
than	than	than
a	a	a
cell	cell	cell
phone	phone	phone
and	and	and
I	i	I
m	m	m
tired	tire	tired
of	of	of
people	peopl	people
using	use	using
cell	cell	cell
phone	phone	phone
analogies	analog	analogy
with	with	with
health	health	health
care	care	care
