During	dure	During
a	a	a
campaign	campaign	campaign
event	event	event
at	at	at
Iowa	iowa	Iowa
s	s	s
Wesleyan	wesleyan	Wesleyan
University	univers	University
,	,	,
Bernie	berni	Bernie
Sanders	sander	Sanders
spoke	spoke	spoke
to	to	to
the	the	the
audience	audienc	audience
about	about	about
how	how	how
Walmart	walmart	Walmart
and	and	and
other	other	other
large	larg	large
corporations	corpor	corporation
benefit	benefit	benefit
from	from	from
a	a	a
rigged	rig	rigged
economy	economi	economy
.	.	.

Sanders	sander	Sanders
begins	begin	begin
by	by	by
saying	say	saying
that	that	that
Walmart	walmart	Walmart
is	is	is
very	veri	very
appreciative	appreci	appreciative
of	of	of
all	all	all
the	the	the
support	support	support
they	they	they
receive	receiv	receive
from	from	from
taxpayers	taxpay	taxpayer
Just	just	Just
to	to	to
give	give	give
you	you	you
an	an	an
example	exampl	example
of	of	of
what	what	what
a	a	a
rigged	rig	rigged
economy	economi	economy
is	is	is
all	all	all
about	about	about
.	.	.

I	i	I
mentioned	mention	mentioned
the	the	the
Walton	walton	Walton
family	famili	family
the	the	the
wealthiest	wealthiest	wealthiest
family	famili	family
in	in	in
the	the	the
world	world	world
being	be	being
very	veri	very
appreciative	appreci	appreciative
that	that	that
you	you	you
are	are	are
supporting	support	supporting
them	them	them
.	.	.

They	they	They
re	re	re
very	veri	very
happy	happi	happy
about	about	about
that	that	that
.	.	.

And	and	And
they	they	they
asked	ask	asked
me	me	me
to	to	to
send	send	send
you	you	you
their	their	their
thanks	thank	thanks
.	.	.

Sanders	sander	Sanders
continues	continu	continues
,	,	,
saying	say	saying
They	they	They
re	re	re
only	onli	only
worth	worth	worth
60	60	60
of	of	of
70	70	70
billion	billion	billion
dollars	dollar	dollar
and	and	and
they	they	they
do	do	do
appreciate	appreci	appreciate
you	you	you
paying	pay	paying
taxes	tax	tax
to	to	to
help	help	help
them	them	them
subsidize	subsid	subsidize
their	their	their
workers	worker	worker
.	.	.

This	this	This
is	is	is
how	how	how
we	we	we
re	re	re
going	go	going
to	to	to
pay	pay	pay
to	to	to
put	put	put
13	13	13
million	million	million
Americans	american	Americans
back	back	back
to	to	to
work	work	work
rebuilding	rebuild	rebuilding
our	our	our
crumbling	crumbl	crumbling
infrastructure	infrastructur	infrastructure
.	.	.

There	there	There
has	has	ha
been	been	been
a	a	a
lot	lot	lot
of	of	of
criticism	critic	criticism
of	of	of
Sanders	sander	Sanders
that	that	that
says	say	say
that	that	that
he	he	he
does	doe	doe
not	not	not
have	have	have
a	a	a
plan	plan	plan
to	to	to
pay	pay	pay
for	for	for
the	the	the
programs	program	program
he	he	he
is	is	is
proposing	propos	proposing
.	.	.

That	that	That
is	is	is
absolute	absolut	absolute
nonsense	nonsens	nonsense
.	.	.

Here	here	Here
is	is	is
a	a	a
comprehensive	comprehens	comprehensive
funding	fund	funding
plan	plan	plan
for	for	for
every	everi	every
policy	polici	policy
Sanders	sander	Sanders
has	has	ha
proposed	propos	proposed
.	.	.
And	and	And
to	to	to
the	the	the
right	right	right
-wingers	-winger	-wingers
who	who	who
shout	shout	shout
the	the	the
obnoxiously	obnoxi	obnoxiously
classist	classist	classist
claim	claim	claim
that	that	that
people	peopl	people
only	onli	only
support	support	support
Sanders	sander	Sanders
because	becaus	because
he	he	he
wants	want	want
to	to	to
give	give	give
them	them	them
free	free	free
stuff	stuff	stuff
,	,	,
that	that	that
s	s	s
actually	actual	actually
the	the	the
opposite	opposit	opposite
of	of	of
what	what	what
Sanders	sander	Sanders
wants	want	want
.	.	.

What	what	What
he	he	he
wants	want	want
is	is	is
for	for	for
corporations	corpor	corporation
to	to	to
stop	stop	stop
getting	get	getting
free	free	free
stuff	stuff	stuff
from	from	from
tax	tax	tax
payers	payer	payer
