CNN	cnn	CNN
talked	talk	talked
to	to	to
the	the	the
man	man	man
who	who	who
conducted	conduct	conducted
the	the	the
study	studi	study
Donald	donald	Donald
Trump	trump	Trump
cited	cite	cited
as	as	a
proof	proof	proof
that	that	that
3	3	3
million	million	million
people	peopl	people
voted	vote	voted
illegally	illeg	illegally
in	in	in
the	the	the
2016	2016	2016
Election	elect	Election
and	and	and
Trump	trump	Trump
will	will	will
not	not	not
like	like	like
what	what	what
he	he	he
said	said	said
.	.	.
During	dure	During
an	an	an
interview	interview	interview
with	with	with
Wolf	wolf	Wolf
Blitzer	blitzer	Blitzer
,	,	,
political	polit	political
science	scienc	science
professor	professor	professor
Brian	brian	Brian
Schaffner	schaffner	Schaffner
absolutely	absolut	absolutely
shattered	shatter	shattered
Trump	trump	Trump
s	s	s
claim	claim	claim
that	that	that
he	he	he
only	onli	only
lost	lost	lost
the	the	the
popular	popular	popular
vote	vote	vote
because	becaus	because
over	over	over
3	3	3
million	million	million
people	peopl	people
voted	vote	voted
illegally	illeg	illegally
.	.	.
Trump	trump	Trump
s	s	s
claim	claim	claim
has	has	ha
been	been	been
debunked	debunk	debunked
multiple	multipl	multiple
times	time	time
and	and	and
even	even	even
many	mani	many
Republicans	republican	Republicans
are	are	are
embarrassed	embarrass	embarrassed
by	by	by
it	it	it
enough	enough	enough
that	that	that
they	they	they
are	are	are
begging	beg	begging
him	him	him
to	to	to
stop	stop	stop
repeating	repeat	repeating
such	such	such
a	a	a
blatant	blatant	blatant
lie	lie	lie
.	.	.
Blitzer	blitzer	Blitzer
asked	ask	asked
Schaffner	schaffner	Schaffner
about	about	about
the	the	the
data	data	data
his	his	his
team	team	team
collected	collect	collected
in	in	in
a	a	a
2014	2014	2014
study	studi	study
which	which	which
found	found	found
that	that	that
14	14	14
percent	percent	percent
of	of	of
non	non	non
-citizens	-citizen	-citizens
said	said	said
they	they	they
were	were	were
eligible	elig	eligible
to	to	to
vote	vote	vote
.	.	.
Schaffner	schaffner	Schaffner
has	has	ha
since	sinc	since
called	call	called
the	the	the
study	studi	study
unreliable	unreli	unreliable
because	becaus	because
his	his	his
team	team	team
went	went	went
back	back	back
to	to	to
talk	talk	talk
to	to	to
the	the	the
participants	particip	participant
and	and	and
found	found	found
that	that	that
none	none	none
of	of	of
them	them	them
actually	actual	actually
voted	vote	voted
.	.	.
As	as	As
it	it	it
turns	turn	turn
out	out	out
,	,	,
they	they	they
merely	mere	merely
clicked	click	clicked
the	the	the
wrong	wrong	wrong
button	button	button
when	when	when
answering	answer	answering
the	the	the
question	question	question
.	.	.
SCHAFFNER	schaffner	SCHAFFNER
Well	well	Well
,	,	,
what	what	what
the	the	the
authors	author	author
did	did	did
was	was	wa
essentially	essenti	essentially
use	use	use
a	a	a
question	question	question
on	on	on
our	our	our
survey	survey	survey
that	that	that
asked	ask	asked
people	peopl	people
whether	whether	whether
or	or	or
not	not	not
they	they	they
were	were	were
a	a	a
citizen	citizen	citizen
.	.	.
What	what	What
we	we	we
did	did	did
was	was	wa
actually	actual	actually
go	go	go
back	back	back
and	and	and
ask	ask	ask
those	those	those
people	peopl	people
again	again	again
whether	whether	whether
or	or	or
not	not	not
they	they	they
were	were	were
a	a	a
citizen	citizen	citizen
,	,	,
and	and	and
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
had	had	had
just	just	just
basically	basic	basically
erroneously	erron	erroneously
clicked	click	clicked
on	on	on
the	the	the
wrong	wrong	wrong
button	button	button
,	,	,
and	and	and
the	the	the
people	peopl	people
who	who	who
we	we	we
could	could	could
actually	actual	actually
confirm	confirm	confirm
were	were	were
actually	actual	actually
noncitizens	noncitizen	noncitizen
,	,	,
they	they	they
were	were	were
basically	basic	basically
no	no	no
voters	voter	voter
among	among	among
that	that	that
group	group	group
.	.	.
BLITZER	blitzer	BLITZER
Either	either	Either
so	so	so
,	,	,
what	what	what
you	you	you
re	re	re
saying	say	saying
,	,	,
that	that	that
no	no	no
non	non	non
-citizens	-citizen	-citizens
voted	vote	voted
as	as	a
far	far	far
as	as	a
your	your	your
study	studi	study
,	,	,
your	your	your
data	data	data
was	was	wa
concerned	concern	concerned
,	,	,
in	in	in
