Much	much	Much
has	has	ha
been	been	been
made	made	made
of	of	of
the	the	the
name	name	name
change	chang	change
of	of	of
the	the	the
Trump	trump	Trump
family	famili	family
long	long	long
ago	ago	ago
.	.	.

It	it	It
s	s	s
what	what	what
many	mani	many
immigrant	immigr	immigrant
families	famili	family
did	did	did
when	when	when
they	they	they
arrived	arriv	arrived
in	in	in
America	america	America
.	.	.

What	what	What
we	we	we
didn	didn	didn
t	t	t
know	know	know
is	is	is
the	the	the
very	veri	very
interesting	interest	interesting
story	stori	story
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
grandfather	grandfath	grandfather
.	.	.

This	this	This
is	is	is
a	a	a
German	german	German
article	articl	article
that	that	that
has	has	ha
a	a	a
liberal	liber	liberal
slant	slant	slant
regarding	regard	regarding
immigrants	immigr	immigrant
but	but	but
it	it	it
s	s	s
worth	worth	worth
the	the	the
read	read	read
.	.	.

Gwenda	gwenda	Gwenda
Blair	blair	Blair
has	has	ha
written	written	written
three	three	three
books	book	book
on	on	on
the	the	the
Trump	trump	Trump
family	famili	family
and	and	and
fills	fill	fill
us	us	u
in	in	in
on	on	on
Donald	donald	Donald
Trump	trump	Trump
s	s	s
immigrant	immigr	immigrant
grandfather	grandfath	grandfather
.	.	.

This	this	This
is	is	is
a	a	a
great	great	great
look	look	look
at	at	at
what	what	what
was	was	wa
the	the	the
beginning	begin	beginning
of	of	of
a	a	a
successful	success	successful
dynasty	dynasti	dynasty
.	.	.

Like	like	Like
it	it	it
or	or	or
not	not	not
,	,	,
Donald	donald	Donald
Trump	trump	Trump
is	is	is
an	an	an
American	american	American
success	success	success
story	stori	story
.	.	.
DW	dw	DW
Why	whi	Why
do	do	do
you	you	you
think	think	think
that	that	that
Donald	donald	Donald
Trump	trump	Trump
s	s	s
German	german	German
roots	root	root
are	are	are
essential	essenti	essential
to	to	to
understanding	understand	understanding
the	the	the
person	person	person
who	who	who
is	is	is
currently	current	currently
leading	lead	leading
the	the	the
Republican	republican	Republican
presidential	presidenti	presidential
field	field	field
?	?	?
Gwenda	gwenda	Gwenda
Blair	blair	Blair
His	his	His
grandfather	grandfath	grandfather
Friedrich	friedrich	Friedrich
Drumpf	drumpf	Drumpf
came	came	came
to	to	to
the	the	the
United	unit	United
States	state	States
in	in	in
1885	1885	1885
which	which	which
was	was	wa
the	the	the
height	height	height
of	of	of
German	german	German
immigration	immigr	immigration
to	to	to
the	the	the
United	unit	United
States	state	States
when	when	when
he	he	he
was	was	wa
16	16	16
.	.	.

His	his	His
family	famili	family
was	was	wa
from	from	from
Kallstadt	kallstadt	Kallstadt
,	,	,
winegrowers	winegrow	winegrowers
.	.	.

The	the	The
first	first	first
step	step	step
to	to	to
the	the	the
Donald	donald	Donald
Trump	trump	Trump
we	we	we
know	know	know
today	today	today
is	is	is
that	that	that
his	his	his
grandfather	grandfath	grandfather
did	did	did
not	not	not
want	want	want
to	to	to
be	be	be
a	a	a
vintner	vintner	vintner
,	,	,
nor	nor	nor
did	did	did
he	he	he
want	want	want
to	to	to
be	be	be
a	a	a
barber	barber	barber
which	which	which
is	is	is
what	what	what
he	he	he
was	was	wa
trained	train	trained
to	to	to
do	do	do
when	when	when
he	he	he
first	first	first
said	said	said
he	he	he
did	did	did
not	not	not
want	want	want
to	to	to
be	be	be
involved	involv	involved
in	in	in
growing	grow	growing
grapes	grape	grape
.	.	.

He	he	He
came	came	came
to	to	to
New	new	New
York	york	York
and	and	and
,	,	,
after	after	after
he	he	he
learnt	learnt	learnt
English	english	English
,	,	,
he	he	he
went	went	went
to	to	to
the	the	the
West	west	West
Coast	coast	Coast
,	,	,
ran	ran	ran
restaurants	restaur	restaurant
,	,	,
amassed	amass	amassed
a	a	a
nest	nest	nest
egg	egg	egg
,	,	,
then	then	then
went	went	went
back	back	back
to	to	to
Kallstadt	kallstadt	Kallstadt
,	,	,
married	marri	married
the	the	the
girl	girl	girl
next	next	next
door	door	door
and	and	and
brought	brought	brought
her	her	her
to	to	to
New	new	New
York	york	York
.	.	.

But	but	But
she	she	she
was	was	wa
extremely	extrem	extremely
homesick	homesick	homesick
,	,	,
so	so	so
they	they	they
went	went	went
back	back	back
to	to	to
Kallstadt	kallstadt	Kallstadt
and	and	and
he	he	he
tried	tri	tried
to	to	to
repatriate	repatri	repatriate
because	becaus	because
he	he	he
had	had	had
become	becom	become
an	an	an
American	american	American
citizen	citizen	citizen
.	.	.

But	but	But
whether	whether	whether
on	on	on
purpose	purpos	purpose
or	or	or
not	not	not
,	,	,
he	he	he
had	had	had
managed	manag	managed
to	to	to
miss	miss	miss
military	militari	military
service	servic	service
when	when	when
he	he	he
left	left	left
he	he	he
was	was	wa
too	too	too
young	young	young
and	and	and
after	after	after
he	he	he
came	came	came
back	back	back
he	he	he
was	was	wa
just	just	just
a	a	a
couple	coupl	couple
of	of	of
months	month	month
too	too	too
old	old	old
,	,	,
which	which	which
he	he	he
said	said	said
was	was	wa
absolutely	absolut	absolutely
coincidental	coincident	coincidental
.	.	.

German	german	German
authorities	author	authority
however	howev	however
thought	thought	thought
this	this	this
was	was	wa
not	not	not
coincidental	coincident	coincidental
at	at	at
all	all	all
and	and	and
refused	refus	refused
to	to	to
let	let	let
him	him	him
repatriate	repatri	repatriate
.	.	.

They	they	They
said	said	said
he	he	he
was	was	wa
a	a	a
draft	draft	draft
-dodger	-dodger	-dodger
,	,	,
expelled	expel	expelled
and	and	and
deported	deport	deported
him	him	him
to	to	to
the	the	the
place	place	place
he	he	he
came	came	came
from	from	from
the	the	the
United	unit	United
States	state	States
which	which	which
is	is	is
how	how	how
the	the	the
Trumps	trump	Trumps
ended	end	ended
up	up	up
as	as	a
Americans	american	Americans
after	after	after
all	all	all
instead	instead	instead
of	of	of
simply	simpli	simply
being	be	being
a	a	a
family	famili	family
in	in	in
Germany	germani	Germany
that	that	that
had	had	had
a	a	a
grandfather	grandfath	grandfather
who	who	who
had	had	had
spent	spent	spent
some	some	some
