Are	are	Are
you	you	you
paying	pay	paying
attention	attent	attention
America	america	America
?	?	?
Yesterday	yesterday	Yesterday
,	,	,
the	the	the
UK	uk	UK
voted	vote	voted
to	to	to
leave	leav	leave
the	the	the
European	european	European
Union	union	Union
.	.	.
On	on	On
referendum	referendum	referendum
day	day	day
,	,	,
Lord	lord	Lord
Ashcroft	ashcroft	Ashcroft
surveyed	survey	surveyed
12	12	12
,	,	,
369	369	369
people	peopl	people
after	after	after
they	they	they
had	had	had
voted	vote	voted
to	to	to
help	help	help
explain	explain	explain
the	the	the
result	result	result
who	who	who
voted	vote	voted
for	for	for
which	which	which
outcome	outcom	outcome
,	,	,
and	and	and
what	what	what
lay	lay	lay
behind	behind	behind
their	their	their
decision	decis	decision
.	.	.
Lord	lord	Lord
Ashcroft	ashcroft	Ashcroft
polls	poll	poll
70	70	70
of	of	of
Muslims	muslim	Muslims
voted	vote	voted
to	to	to
remain	remain	remain
in	in	in
the	the	the
UE	ue	UE
.	.	.
This	this	This
provides	provid	provides
additional	addit	additional
refutation	refut	refutation
of	of	of
the	the	the
claim	claim	claim
made	made	made
by	by	by
our	our	our
rulers	ruler	ruler
that	that	that
immigration	immigr	immigration
doesn	doesn	doesn
t	t	t
change	chang	change
anything	anyth	anything
.	.	.
In	in	In
the	the	the
Scottish	scottish	Scottish
referendum	referendum	referendum
,	,	,
a	a	a
majority	major	majority
of	of	of
people	peopl	people
born	born	born
in	in	in
Scotland	scotland	Scotland
voted	vote	voted
for	for	for
independence	independ	independence
;	;	;
it	it	it
was	was	wa
the	the	the
votes	vote	vote
of	of	of
first	first	first
-generation	-gener	-generation
immigrants	immigr	immigrant
that	that	that
swayed	sway	swayed
the	the	the
result	result	result
in	in	in
favour	favour	favour
of	of	of
maintaining	maintain	maintaining
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
.	.	.
Now	now	Now
,	,	,
in	in	in
this	this	this
second	second	second
referendum	referendum	referendum
,	,	,
the	the	the
British	british	British
people	peopl	people
as	as	a
a	a	a
whole	whole	whole
might	might	might
well	well	well
have	have	have
lost	lost	lost
their	their	their
independence	independ	independence
because	becaus	because
of	of	of
the	the	the
votes	vote	vote
of	of	of
African	african	African
and	and	and
Asian	asian	Asian
colonists	colonist	colonist
who	who	who
only	onli	only
arrived	arriv	arrived
in	in	in
their	their	their
country	countri	country
within	within	within
the	the	the
last	last	last
few	few	few
decades	decad	decade
.	.	.
In	in	In
the	the	the
end	end	end
,	,	,
this	this	this
was	was	wa
narrowly	narrowli	narrowly
averted	avert	averted
.	.	.
But	but	But
it	it	it
shows	show	show
the	the	the
extent	extent	extent
to	to	to
which	which	which
the	the	the
demographic	demograph	demographic
window	window	window
is	is	is
closing	close	closing
on	on	on
the	the	the
hopes	hope	hope
for	for	for
European	european	European
survival	surviv	survival
.	.	.
White	white	White
voters	voter	voter
