CNN	cnn	CNN
s	s	s
Don	don	Don
Lemon	lemon	Lemon
gave	gave	gave
an	an	an
OSCAR	oscar	OSCAR
-worthy	-worthi	-worthy
performance	perform	performance
on	on	on
air	air	air
when	when	when
he	he	he
teared	tear	teared
up	up	up
after	after	after
reading	read	reading
his	his	his
open	open	open
letter	letter	letter
to	to	to
President	presid	President
Trump	trump	Trump
in	in	in
response	respons	response
to	to	to
Trump	trump	Trump
s	s	s
tweet	tweet	tweet
attempting	attempt	attempting
to	to	to
respond	respond	respond
to	to	to
charges	charg	charge
from	from	from
the	the	the
widow	widow	widow
of	of	of
a	a	a
fallen	fallen	fallen
soldier	soldier	soldier
who	who	who
was	was	wa
killed	kill	killed
in	in	in
Niger	niger	Niger
earlier	earlier	earlier
this	this	this
month	month	month
.	.	.
Lemon	lemon	Lemon
is	is	is
further	further	further
politicizing	politic	politicizing
the	the	the
phone	phone	phone
call	call	call
from	from	from
President	presid	President
Trump	trump	Trump
to	to	to
the	the	the
widow	widow	widow
.	.	.
Shame	shame	Shame
on	on	on
him	him	him
.	.	.
Myeshia	myeshia	Myeshia
Johnson	johnson	Johnson
,	,	,
the	the	the
widow	widow	widow
of	of	of
Sgt	sgt	Sgt
.	.	.
La	la	La
David	david	David
Johnson	johnson	Johnson
,	,	,
said	said	said
on	on	on
Good	good	Good
Morning	morn	Morning
America	america	America
that	that	that
Trump	trump	Trump
s	s	s
condolence	condol	condolence
call	call	call
made	made	made
her	her	her
cry	cri	cry
even	even	even
worse	wors	worse
.	.	.
She	she	She
added	ad	added
that	that	that
Trump	trump	Trump
couldn	couldn	couldn
t	t	t
remember	rememb	remember
my	my	my
husband	husband	husband
s	s	s
name	name	name
.	.	.
President	presid	President
Trump	trump	Trump
responded	respond	responded
to	to	to
Myeshia	myeshia	Myeshia
Johnson	johnson	Johnson
s	s	s
account	account	account
on	on	on
Twitter	twitter	Twitter
,	,	,
writing	write	writing
,	,	,
I	i	I
had	had	had
a	a	a
very	veri	very
respectful	respect	respectful
conversation	convers	conversation
with	with	with
the	the	the
widow	widow	widow
of	of	of
Sgt	sgt	Sgt
.	.	.
La	la	La
David	david	David
Johnson	johnson	Johnson
,	,	,
and	and	and
spoke	spoke	spoke
his	his	his
name	name	name
from	from	from
beginning	begin	beginning
,	,	,
without	without	without
hesitation	hesit	hesitation
!	!	!
Johnson	johnson	Johnson
s	s	s
interview	interview	interview
and	and	and
Trump	trump	Trump
s	s	s
subsequent	subsequ	subsequent
tweet	tweet	tweet
led	led	led
Lemon	lemon	Lemon
to	to	to
write	write	write
Trump	trump	Trump
an	an	an
open	open	open
letter	letter	letter
,	,	,
which	which	which
read	read	read
in	in	in
part	part	part
Your	your	Your
tweet	tweet	tweet
this	this	this
morning	morn	morning
essentially	essenti	essentially
called	call	called
her	her	her
a	a	a
liar	liar	liar
.	.	.
Mr	mr	Mr
.	.	.
Trump	trump	Trump
,	,	,
please	pleas	please
stop	stop	stop
it	it	it
.	.	.
Please	pleas	Please
stop	stop	stop
!	!	!
Think	think	Think
of	of	of
what	what	what
Sgt	sgt	Sgt
.	.	.
Johnson	johnson	Johnson
would	would	would
want	want	want
.	.	.
You	you	You
are	are	are
putting	put	putting
his	his	his
widow	widow	widow
in	in	in
the	the	the
terrible	terribl	terrible
position	posit	position
of	of	of
having	have	having
to	to	to
fight	fight	fight
for	for	for
her	her	her
dignity	digniti	dignity
when	when	when
she	she	she
should	should	should
be	be	be
concentrating	concentr	concentrating
on	on	on
taking	take	taking
care	care	care
of	of	of
herself	herself	herself
,	,	,
her	her	her
health	health	health
,	,	,
her	her	her
two	two	two
children	children	child
,	,	,
and	and	and
the	the	the
one	one	one
on	on	on
the	the	the
way	way	way
.	.	.
I	i	I
know	know	know
you	you	you
have	have	have
children	children	child
and	and	and
two	two	two
daughters	daughter	daughter
.	.	.
Can	can	Can
you	you	you
imagine	imagin	imagine
Ivanka	ivanka	Ivanka
or	or	or
Tiffany	tiffani	Tiffany
in	in	in
Myeshia	myeshia	Myeshia
s	s	s
shoes	shoe	shoe
?	?	?
Having	have	Having
a	a	a
fight	fight	fight
with	with	with
the	the	the
