Trump	trump	Trump
is	is	is
going	go	going
to	to	to
win	win	win
in	in	in
a	a	a
landslide	landslid	landslide
,	,	,
but	but	but
wouldn	wouldn	wouldn
t	t	t
it	it	it
be	be	be
a	a	a
delicious	delici	delicious
irony	ironi	irony
to	to	to
see	see	see
a	a	a
male	male	male
Bernie	berni	Bernie
supporter	support	supporter
have	have	have
the	the	the
power	power	power
to	to	to
keep	keep	keep
her	her	her
from	from	from
assuming	assum	assuming
a	a	a
role	role	role
she	she	she
stole	stole	stole
from	from	from
his	his	his
guy	guy	guy
several	sever	several
months	month	month
ago	ago	ago
It	it	It
s	s	s
the	the	the
Electoral	elector	Electoral
College	colleg	College
that	that	that
determines	determin	determines
the	the	the
President	presid	President
,	,	,
not	not	not
the	the	the
popular	popular	popular
vote	vote	vote
.	.	.

And	and	And
the	the	the
Electoral	elector	Electoral
College	colleg	College
is	is	is
made	made	made
up	up	up
of	of	of
Electors	elector	Electors
.	.	.
Usually	usual	Usually
,	,	,
the	the	the
Electoral	elector	Electoral
College	colleg	College
is	is	is
a	a	a
formality	formal	formality
.	.	.

Electors	elector	Electors
vote	vote	vote
for	for	for
whomever	whomev	whomever
won	won	won
their	their	their
state	state	state
.	.	.
This	this	This
year	year	year
,	,	,
there	there	there
s	s	s
a	a	a
hiccup	hiccup	hiccup
.	.	.

A	a	A
Democrat	democrat	Democrat
Elector	elector	Elector
in	in	in
Washington	washington	Washington
state	state	state
says	say	say
he	he	he
won	won	won
t	t	t
vote	vote	vote
for	for	for
Hillary	hillari	Hillary
.	.	.
Washington	washington	Washington
state	state	state
is	is	is
almost	almost	almost
certainly	certain	certainly
going	go	going
for	for	for
Hillary	hillari	Hillary
.	.	.
If	if	If
this	this	this
man	man	man
won	won	won
t	t	t
vote	vote	vote
for	for	for
Hillary	hillari	Hillary
,	,	,
he	he	he
could	could	could
keep	keep	keep
her	her	her
from	from	from
getting	get	getting
the	the	the
270	270	270
electoral	elector	electoral
votes	vote	vote
needed	need	needed
to	to	to
win	win	win
the	the	the
Presidency	presid	Presidency
.	.	.
Here	here	Here
s	s	s
what	what	what
he	he	he
said	said	said
Robert	robert	Robert
Satiacum	satiacum	Satiacum
is	is	is
a	a	a
Bernie	berni	Bernie
fan	fan	fan
.	.	.

He	he	He
thinks	think	think
the	the	the
Democrat	democrat	Democrat
primary	primari	primary
was	was	wa
rigged	rig	rigged
.	.	.

He	he	He
thinks	think	think
Hillary	hillari	Hillary
cheated	cheat	cheated
.	.	.

So	so	So
he	he	he
won	won	won
t	t	t
vote	vote	vote
for	for	for
her	her	her
.	.	.
Watch	watch	Watch
Satiacum	satiacum	Satiacum
letting	let	letting
everyone	everyon	everyone
know	know	know
he	he	he
s	s	s
not	not	not
joking	joke	joking
around	around	around
The	the	The
Seattle	seattl	Seattle
Times	time	Times
reported	report	reported
No	no	No
,	,	,
no	no	no
,	,	,
no	no	no
on	on	on
Hillary	hillari	Hillary
.	.	.

Absolutely	absolut	Absolutely
not	not	not
.	.	.

No	no	No
way	way	way
,	,	,
said	said	said
Robert	robert	Robert
Satiacum	satiacum	Satiacum
,	,	,
a	a	a
member	member	member
of	of	of
Washington	washington	Washington
s	s	s
Puyallup	puyallup	Puyallup
Tribe	tribe	Tribe
who	who	who
had	had	had
supported	support	supported
Vermont	vermont	Vermont
Sen	sen	Sen
.	.	.

Bernie	berni	Bernie
Sanders	sander	Sanders
as	as	a
the	the	the
Democratic	democrat	Democratic
presidential	presidenti	presidential
nominee	nomine	nominee
.	.	.

He	he	He
had	had	had
earlier	earlier	earlier
told	told	told
various	various	various
media	media	medium
outlets	outlet	outlet
he	he	he
was	was	wa
wrestling	wrestl	wrestling
with	with	with
whether	whether	whether
his	his	his
conscience	conscienc	conscience
would	would	would
allow	allow	allow
him	him	him
to	to	to
support	support	support
Clinton	clinton	Clinton
and	and	and
was	was	wa
considering	consid	considering
stepping	step	stepping
aside	asid	aside
for	for	for
an	an	an
alternate	altern	alternate
elector	elector	elector
.	.	.

But	but	But
on	on	on
Friday	friday	Friday
,	,	,
he	he	he
sounded	sound	sounded
firm	firm	firm
,	,	,
even	even	even
if	if	if
the	the	the
election	elect	election
is	is	is
close	close	close
.	.	.

I	i	I
hope	hope	hope
it	it	it
comes	come	come
down	down	down
to	to	to
a	a	a
swing	swing	swing
vote	vote	vote
and	and	and
it	it	it
s	s	s
me	me	me
,	,	,
he	he	he
said	said	said
.	.	.

Good	good	Good
.	.	.

She	she	She
ain	ain	ain
t	t	t
getting	get	getting
it	it	it
.	.	.

Maybe	mayb	Maybe
it	it	it
ll	ll	ll
wake	wake	wake
this	this	this
country	countri	country
up	up	up
.	.	.

And	and	And
the	the	the
Seattle	seattl	Seattle
Times	time	Times
says	say	say
there	there	there
s	s	s
another	anoth	another
Elector	elector	Elector
in	in	in
Washington	washington	Washington
state	state	state
who	who	who
might	might	might
do	do	do
the	the	the
same	same	same
thing	thing	thing
Bret	bret	Bret
Chiafalo	chiafalo	Chiafalo
,	,	,
a	a	a
Democratic	democrat	Democratic
elector	elector	elector
from	from	from
Everett	everett	Everett
who	who	who
is	is	is
also	also	also
a	a	a
Sanders	sander	Sanders
supporter	support	supporter
,	,	,
said	said	said
he	he	he
is	is	is
considering	consid	considering
exercising	exercis	exercising
his	his	his
right	right	right
to	to	to
be	be	be
a	a	a
conscientious	conscienti	conscientious
elector	elector	elector
and	and	and
vote	vote	vote
for	for	for
the	the	the
person	person	person
he	he	he
believes	believ	belief
would	would	would
be	be	be
the	the	the
best	best	best
president	presid	president
.	.	.

I	i	I
have	have	have
no	no	no
specific	specif	specific
plans	plan	plan
,	,	,
but	but	but
I	i	I
have	have	have
not	not	not
ruled	rule	ruled
out	out	out
that	that	that
possibility	possibl	possibility
,	,	,
he	he	he
said	said	said
.	.	.

Via	via	Via
American	american	American
Lookout	lookout	Lookout

