Wow	wow	Wow
!	!	!
Did	did	Did
Hannity	hanniti	Hannity
go	go	go
too	too	too
far	far	far
with	with	with
Cruz	cruz	Cruz
or	or	or
did	did	did
he	he	he
not	not	not
go	go	go
far	far	far
enough	enough	enough
?	?	?
GOP	gop	GOP
presidential	presidenti	presidential
candidate	candid	candidate
Texas	texa	Texas
Senator	senat	Senator
Sen	sen	Sen
.	.	.
Ted	ted	Ted
Cruz	cruz	Cruz
R	r	R
-TX	-tx	-TX
and	and	and
talk	talk	talk
radio	radio	radio
and	and	and
Fox	fox	Fox
News	news	News
Channel	channel	Channel
host	host	host
Sean	sean	Sean
Hannity	hanniti	Hannity
engaged	engag	engaged
in	in	in
a	a	a
testy	testi	testy
exchange	exchang	exchange
over	over	over
the	the	the
delegate	deleg	delegate
process	process	process
on	on	on
Hannity	hanniti	Hannity
s	s	s
radio	radio	radio
show	show	show
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
Hannity	hanniti	Hannity
began	began	began
the	the	the
interview	interview	interview
by	by	by
asking	ask	asking
,	,	,
I	i	I
think	think	think
the	the	the
number	number	number
one	one	one
question	question	question
on	on	on
the	the	the
minds	mind	mind
of	of	of
Republicans	republican	Republicans
right	right	right
now	now	now
is	is	is
what	what	what
is	is	is
going	go	going
on	on	on
with	with	with
the	the	the
delegates	deleg	delegate
.	.	.
For	for	For
example	exampl	example
,	,	,
if	if	if
you	you	you
can	can	can
explain	explain	explain
to	to	to
people	peopl	people
that	that	that
your	your	your
campaign	campaign	campaign
,	,	,
that	that	that
you	you	you
have	have	have
every	everi	every
right	right	right
,	,	,
within	within	within
the	the	the
rules	rule	rule
,	,	,
to	to	to
talk	talk	talk
to	to	to
candidates	candid	candidate
,	,	,
that	that	that
are	are	are
pledged	pledg	pledged
on	on	on
a	a	a
first	first	first
ballot	ballot	ballot
,	,	,
to	to	to
candidate	candid	candidate
A	a	A
or	or	or
candidate	candid	candidate
C	c	C
,	,	,
you	you	you
being	be	being
candidate	candid	candidate
B	b	B
.	.	.
And	and	And
that	that	that
tell	tell	tell
us	us	u
what	what	what
that	that	that
process	process	process
is	is	is
.	.	.
Cruz	cruz	Cruz
answered	answer	answered
that	that	that
isn	isn	isn
t	t	t
what	what	what
people	peopl	people
are	are	are
concerned	concern	concerned
