Usually	usual	Usually
,	,	,
once	onc	once
the	the	the
peaceful	peac	peaceful
transfer	transfer	transfer
of	of	of
power	power	power
is	is	is
complete	complet	complete
,	,	,
the	the	the
outgoing	outgo	outgoing
administration	administr	administration
lays	lay	lay
low	low	low
so	so	so
as	as	a
not	not	not
to	to	to
disrupt	disrupt	disrupt
what	what	what
the	the	the
new	new	new
administration	administr	administration
is	is	is
doing	do	doing
.	.	.

However	howev	However
,	,	,
since	sinc	since
the	the	the
GOP	gop	GOP
has	has	ha
control	control	control
of	of	of
the	the	the
entire	entir	entire
federal	feder	federal
government	govern	government
and	and	and
most	most	most
of	of	of
the	the	the
state	state	state
level	level	level
governments	govern	government
with	with	with
the	the	the
corrupt	corrupt	corrupt
,	,	,
incompetent	incompet	incompetent
Donald	donald	Donald
Trump	trump	Trump
at	at	at
the	the	the
helm	helm	helm
,	,	,
it	it	it
is	is	is
literally	liter	literally
impossible	imposs	impossible
for	for	for
former	former	former
officials	offici	official
of	of	of
the	the	the
Obama	obama	Obama
White	white	White
House	hous	House
to	to	to
keep	keep	keep
from	from	from
weighing	weigh	weighing
in	in	in
.	.	.

This	this	This
is	is	is
especially	especi	especially
true	true	true
since	sinc	since
the	the	the
GOP	gop	GOP
Senators	senat	Senators
have	have	have
rolled	roll	rolled
out	out	out
a	a	a
healthcare	healthcar	healthcare
bill	bill	bill
that	that	that
is	is	is
literally	liter	literally
nothing	noth	nothing
more	more	more
than	than	than
a	a	a
massive	massiv	massive
tax	tax	tax
cut	cut	cut
for	for	for
rich	rich	rich
people	peopl	people
.	.	.

The	the	The
most	most	most
vulnerable	vulner	vulnerable
among	among	among
us	us	u
will	will	will
literally	liter	literally
die	die	die
if	if	if
this	this	this
monstrosity	monstros	monstrosity
of	of	of
a	a	a
bill	bill	bill
becomes	becom	becomes
law	law	law
.	.	.

Therefore	therefor	Therefore
it	it	it
should	should	should
come	come	come
as	as	a
no	no	no
surprise	surpris	surprise
that	that	that
former	former	former
Vice	vice	Vice
President	presid	President
Joe	joe	Joe
Biden	biden	Biden
is	is	is
weighing	weigh	weighing
in	in	in
.	.	.
Taking	take	Taking
to	to	to
Twitter	twitter	Twitter
,	,	,
Uncle	uncl	Uncle
Joe	joe	Joe
minced	minc	minced
no	no	no
words	word	word
about	about	about
what	what	what
the	the	the
GOP	gop	GOP
is	is	is
about	about	about
to	to	to
unleash	unleash	unleash
upon	upon	upon
the	the	the
nation	nation	nation
The	the	The
Senate	senat	Senate
health	health	health
bill	bill	bill
isn't	isn't	isn't
about	about	about
health	health	health
care	care	care
at	at	at
all	all	all
it's	it	it's
a	a	a
wealth	wealth	wealth
transfer	transfer	transfer
slashes	slash	slash
care	care	care
to	to	to
fund	fund	fund
tax	tax	tax
cuts	cut	cut
for	for	for
the	the	the
wealthy	wealthi	wealthy
corporations	corpor	corporation
.	.	.

Joe	joe	Joe
Biden	biden	Biden
@JoeBiden	@joebiden	@JoeBiden
June	june	June
23	23	23
,	,	,
2017Slashing	2017slash	2017Slashing
Medicaid	medicaid	Medicaid
hurts	hurt	hurt
kids	kid	kid
,	,	,
the	the	the
elderly	elder	elderly
,	,	,
people	peopl	people
with	with	with
disabilities	disabl	disability
and	and	and
those	those	those
struggling	struggl	struggling
with	with	with
addiction	addict	addiction
.	.	.

All	all	All
for	for	for
tax	tax	tax
breaks	break	break
for	for	for
the	the	the
wealthy	wealthi	wealthy
.	.	.

Joe	joe	Joe
Biden	biden	Biden
@JoeBiden	@joebiden	@JoeBiden
June	june	June
23	23	23
,	,	,
2017Especially	2017especi	2017Especially
now	now	now
,	,	,
when	when	when
so	so	so
many	mani	many
communities	communiti	community
are	are	are
struggling	struggl	struggling
with	with	with
opioid	opioid	opioid
addiction	addict	addiction
,	,	,
the	the	the
bill's	bill	bill's
drastic	drastic	drastic
cuts	cut	cut
to	to	to
Medicaid	medicaid	Medicaid
are	are	are
cruel	cruel	cruel
.	.	.

Joe	joe	Joe
Biden	biden	Biden
@JoeBiden	@joebiden	@JoeBiden
June	june	June
23	23	23
,	,	,
2017Let's	2017let	2017Let's
see	see	see
a	a	a
bill	bill	bill
that	that	that
actually	actual	actually
tries	tri	try
to	to	to
improve	improv	improve
folks'	folk	folks'
health	health	health
care	care	care
,	,	,
and	and	and
then	then	then
we	we	we
can	can	can
have	have	have
a	a	a
reasonable	reason	reasonable
debate	debat	debate
about	about	about
how	how	how
to	to	to
best	best	best
do	do	do
that	that	that
.	.	.

Joe	joe	Joe
Biden	biden	Biden
@JoeBiden	@joebiden	@JoeBiden
June	june	June
23	23	23
,	,	,
2017It	2017it	2017It
would	would	would
be	be	be
great	great	great
if	if	if
Paul	paul	Paul
Ryan	ryan	Ryan
,	,	,
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
,	,	,
and	and	and
all	all	all
the	the	the
rest	rest	rest
of	of	of
the	the	the
GOP	gop	GOP
wanted	want	wanted
to	to	to
actually	actual	actually
help	help	help
people	peopl	people
.	.	.

Make	make	Make
no	no	no
mistake	mistak	mistake
though	though	though
they	they	they
don	don	don
t	t	t
.	.	.

They	they	They
don	don	don
t	t	t
care	care	care
about	about	about
people	peopl	people
,	,	,
they	they	they
care	care	care
about	about	about
themselves	themselv	themselves
,	,	,
keeping	keep	keeping
power	power	power
,	,	,
and	and	and
making	make	making
sure	sure	sure
they	they	they
and	and	and
their	their	their
rich	rich	rich
friends	friend	friend
get	get	get
richer	richer	richer
even	even	even
if	if	if
it	it	it
means	mean	mean
that	that	that
every	everi	every
day	day	day
Americans	american	Americans
literally	liter	literally
die	die	die
.	.	.
In	in	In
fact	fact	fact
,	,	,
it	it	it
is	is	is
perfectly	perfect	perfectly
plausible	plausibl	plausible
that	that	that
Paul	paul	Paul
Ryan	ryan	Ryan
thinks	think	think
that	that	that
the	the	the
most	most	most
vulnerable	vulner	vulnerable
among	among	among
us	us	u
deserve	deserv	deserve
to	to	to
die	die	die
.	.	.

After	after	After
all	all	all
,	,	,
this	this	this
is	is	is
the	the	the
man	man	man
who	who	who
openly	open	openly
admitted	admit	admitted
to	to	to
dreaming	dream	dreaming
about	about	about
bringing	bring	bringing
about	about	about
the	the	the
end	end	end
of	of	of
the	the	the
life	life	life
-saving	-save	-saving
