Alleged	alleg	Alleged
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
created	creat	created
worldwide	worldwid	worldwide
chaos	chao	chaos
with	with	with
his	his	his
latest	latest	latest
executive	execut	executive
order	order	order
banning	ban	banning
Muslims	muslim	Muslims
from	from	from
entering	enter	entering
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Yes	yes	Yes
,	,	,
it	it	it
is	is	is
a	a	a
Muslim	muslim	Muslim
ban	ban	ban
.	.	.

I	i	I
ll	ll	ll
tell	tell	tell
you	you	you
the	the	the
whole	whole	whole
history	histori	history
of	of	of
it	it	it
,	,	,
Giuliani	giuliani	Giuliani
said	said	said
in	in	in
an	an	an
interview	interview	interview
with	with	with
Fox	fox	Fox
News	news	News
Jeanine	jeanin	Jeanine
Pirro	pirro	Pirro
.	.	.

When	when	When
he	he	he
first	first	first
announced	announc	announced
it	it	it
,	,	,
he	he	he
said	said	said
Muslim	muslim	Muslim
ban	ban	ban
.	.	.

He	he	He
called	call	called
me	me	me
up	up	up
.	.	.

He	he	He
said	said	said
,	,	,
Put	put	Put
a	a	a
commission	commiss	commission
together	togeth	together
.	.	.

Show	show	Show
me	me	me
the	the	the
right	right	right
way	way	way
to	to	to
do	do	do
it	it	it
legally	legal	legally
.	.	.

Of	of	Of
course	cours	course
,	,	,
the	the	the
ban	ban	ban
isn	isn	isn
t	t	t
implemented	implement	implemented
in	in	in
Muslim	muslim	Muslim
countries	countri	country
Trump	trump	Trump
does	doe	doe
business	busi	business
with	with	with
.	.	.

Protests	protest	Protests
have	have	have
erupted	erupt	erupted
across	across	across
the	the	the
country	countri	country
for	for	for
two	two	two
days	day	day
straight	straight	straight
over	over	over
Trump	trump	Trump
s	s	s
highly	high	highly
controversial	controversi	controversial
move	move	move
.	.	.

Travelers	travel	Travelers
,	,	,
including	includ	including
a	a	a
77	77	77
-year-old	-year-old	-year-old
woman	woman	woman
and	and	and
a	a	a
5	5	5
-year-old	-year-old	-year-old
boy	boy	boy
were	were	were
detained	detain	detained
.	.	.
So	so	So
,	,	,
what	what	what
do	do	do
you	you	you
do	do	do
when	when	when
you	you	you
re	re	re
a	a	a
newly	newli	newly
minted	mint	minted
president	presid	president
and	and	and
you	you	you
just	just	just
created	creat	created
worldwide	worldwid	worldwide
chaos	chao	chaos
?	?	?

You	you	You
watch	watch	watch
Finding	find	Finding
Dory	dori	Dory
while	while	while
protesters	protest	protester
are	are	are
outside	outsid	outside
of	of	of
the	the	the
White	white	White
House	hous	House
,	,	,
angry	angri	angry
over	over	over
his	his	his
reckless	reckless	reckless
decision	decis	decision
.	.	.
Trump	trump	Trump
,	,	,
along	along	along
with	with	with
family	famili	family
members	member	member
and	and	and
White	white	White
House	hous	House
staff	staff	staff
,	,	,
screened	screen	screened
the	the	the
Disney	disney	Disney
Pixar	pixar	Pixar
film	film	film
in	in	in
the	the	the
afternoon	afternoon	afternoon
after	after	after
prohibiting	prohibit	prohibiting
foreign	foreign	foreign
nationals	nation	national
from	from	from
seven	seven	seven
Muslim	muslim	Muslim
-majority	-major	-majority
countries	countri	country
from	from	from
entering	enter	entering
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Finding	find	Finding
Dory	dori	Dory
is	is	is
an	an	an
animated	anim	animated
story	stori	story
of	of	of
a	a	a
character	charact	character
s	s	s
attempt	attempt	attempt
to	to	to
reunite	reunit	reunite
with	with	with
her	her	her
parents	parent	parent
despite	despit	despite
outside	outsid	outside
forces	forc	force
working	work	working
against	against	against
her	her	her
.	.	.
The	the	The
Internet	internet	Internet
was	was	wa
not	not	not
amused	amus	amused
.	.	.
The	the	The
nation	nation	nation
is	is	is
in	in	in
turmoil	turmoil	turmoil
over	over	over
the	the	the
Executive	execut	Executive
Order	order	Order
,	,	,
and	and	and
@POTUS	@potus	@POTUS
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
will	will	will
be	be	be
watching	watch	watching
@findingdory	@findingdori	@findingdory
.	.	.

https://t.co/snpcZJuU2k	https://t.co/snpczjuu2k	https://t.co/snpcZJuU2k
Derry	derri	Derry
London	london	London
@Derry_London	@derry_london	@Derry_London
January	januari	January
29	29	29
,	,	,
2017Meanwhile	2017meanwhil	2017Meanwhile
in	in	in
the	the	the
White	white	White
House	hous	House
,	,	,
