Mike	mike	Mike
Hagan	hagan	Hagan
has	has	ha
a	a	a
used	use	used
car	car	car
dealership	dealership	dealership
and	and	and
repair	repair	repair
shop	shop	shop
in	in	in
Rochester	rochest	Rochester
,	,	,
New	new	New
Hampshire	hampshir	Hampshire
and	and	and
is	is	is
running	run	running
a	a	a
very	veri	very
odd	odd	odd
and	and	and
frankly	frank	frankly
irresponsible	irrespons	irresponsible
promotion	promot	promotion
.	.	.

He	he	He
s	s	s
offering	offer	offering
a	a	a
free	free	free
AR	ar	AR
-15	-15	-15
to	to	to
people	peopl	people
who	who	who
come	come	come
buy	buy	buy
a	a	a
car	car	car
from	from	from
him	him	him
,	,	,
because	becaus	because
Murika	murika	Murika
.	.	.
Hagan	hagan	Hagan
is	is	is
a	a	a
combat	combat	combat
veteran	veteran	veteran
who	who	who
served	serv	served
in	in	in
Afghanistan	afghanistan	Afghanistan
.	.	.

He	he	He
knows	know	know
what	what	what
these	these	these
kinds	kind	kind
of	of	of
guns	gun	gun
can	can	can
do	do	do
,	,	,
and	and	and
yet	yet	yet
,	,	,
according	accord	according
to	to	to
WFTV	wftv	WFTV
9	9	9
,	,	,
he	he	he
s	s	s
not	not	not
worried	worri	worried
about	about	about
whether	whether	whether
any	ani	any
of	of	of
these	these	these
guns	gun	gun
might	might	might
be	be	be
used	use	used
to	to	to
murder	murder	murder
people	peopl	people
later	later	later
on	on	on
.	.	.

Thus	thus	Thus
far	far	far
,	,	,
he	he	he
s	s	s
given	given	given
away	away	away
four	four	four
of	of	of
the	the	the
weapons	weapon	weapon
,	,	,
along	along	along
with	with	with
a	a	a
9mm	9mm	9mm
Beretta	beretta	Beretta
,	,	,
which	which	which
is	is	is
an	an	an
alternative	altern	alternative
for	for	for
people	peopl	people
who	who	who
don	don	don
t	t	t
want	want	want
an	an	an
AR	ar	AR
-15	-15	-15
,	,	,
and	and	and
he	he	he
thinks	think	think
his	his	his
promotion	promot	promotion
is	is	is
a	a	a
wild	wild	wild
success	success	success
.	.	.
This	this	This
kind	kind	kind
of	of	of
promotion	promot	promotion
is	is	is
bad	bad	bad
enough	enough	enough
,	,	,
and	and	and
to	to	to
refuse	refus	refuse
to	to	to
end	end	end
it	it	it
following	follow	following
a	a	a
horrific	horrif	horrific
tragedy	tragedi	tragedy
like	like	like
Orlando	orlando	Orlando
is	is	is
just	just	just
plain	plain	plain
insensitive	insensit	insensitive
and	and	and
cruel	cruel	cruel
.	.	.

The	the	The
gun	gun	gun
nuts	nut	nut
apparently	appar	apparently
don	don	don
t	t	t
see	see	see
it	it	it
that	that	that
way	way	way
,	,	,
though	though	though
.	.	.

They	they	They
ve	ve	ve
taken	taken	taken
to	to	to
Facebook	facebook	Facebook
to	to	to
celebrate	celebr	celebrate
Hagan	hagan	Hagan
s	s	s
promotion	promot	promotion
,	,	,
lest	lest	lest
the	the	the
evil	evil	evil
libruls	librul	libruls
finally	final	finally
come	come	come
