Former	former	Former
Democrat	democrat	Democrat
Congressman	congressman	Congressman
Ben	ben	Ben
Jones	jone	Jones
1989	1989	1989
to	to	to
1993	1993	1993
who	who	who
played	play	played
the	the	the
character	charact	character
Cooter	cooter	Cooter
on	on	on
the	the	the
1970s	1970s	1970s
TV	tv	TV
series	seri	series
The	the	The
Dukes	duke	Dukes
of	of	of
Hazzard	hazzard	Hazzard
posted	post	posted
a	a	a
message	messag	message
on	on	on
Facebook	facebook	Facebook
defending	defend	defending
the	the	the
Confederate	confeder	Confederate
flag	flag	flag
.	.	.
Jones	jone	Jones
now	now	now
operates	oper	operates
a	a	a
museum	museum	museum
and	and	and
sells	sell	sell
merchandise	merchandis	merchandise
connected	connect	connected
with	with	with
the	the	the
show	show	show
,	,	,
including	includ	including
Confederate	confeder	Confederate
related	relat	related
items	item	item
.	.	.
To	to	To
all	all	all
our	our	our
friends	friend	friend
and	and	and
fans	fan	fan
from	from	from
Ben	ben	Ben
Jones	jone	Jones
,	,	,
AKA	aka	AKA
Cooter	cooter	Cooter
I	i	I
think	think	think
all	all	all
of	of	of
Hazzard	hazzard	Hazzard
Nation	nation	Nation
understands	understand	understands
that	that	that
the	the	the
Confederate	confeder	Confederate
battle	battl	battle
flag	flag	flag
is	is	is
the	the	the
symbol	symbol	symbol
that	that	that
represents	repres	represents
the	the	the
indomitable	indomit	indomitable
spirit	spirit	spirit
of	of	of
independence	independ	independence
which	which	which
keeps	keep	keep
us	us	u
makin	makin	makin
our	our	our
way	way	way
we	we	we
know	know	know
how	how	how
.	.	.
The	the	The
flag	flag	flag
on	on	on
top	top	top
of	of	of
the	the	the
General	general	General
Lee	lee	Lee
made	made	made
a	a	a
statement	statement	statement
that	that	that
the	the	the
values	valu	value
of	of	of
the	the	the
rural	rural	rural
south	south	south
were	were	were
the	the	the
values	valu	value
of	of	of
courage	courag	courage
and	and	and
family	famili	family
and	and	and
good	good	good
times	time	time
.	.	.
Our	our	Our
beloved	belov	beloved
symbol	symbol	symbol
is	is	is
now	now	now
being	be	being
attacked	attack	attacked
in	in	in
a	a	a
wave	wave	wave
of	of	of
political	polit	political
correctness	correct	correctness
that	that	that
is	is	is
unprecedented	unpreced	unprecedented
in	in	in
our	our	our
nation	nation	nation
of	of	of
free	free	free
speech	speech	speech
and	and	and
free	free	free
expression	express	expression
.	.	.
Activists	activist	Activists
and	and	and
politicians	politician	politician
are	are	are
vilifying	vilifi	vilifying
Southern	southern	Southern
culture	cultur	culture
and	and	and
our	our	our
heritage	heritag	heritage
as	as	a
being	be	being
bigoted	bigot	bigoted
and	and	and
racist	racist	racist
.	.	.
We	we	We
know	know	know
that	that	that
this	this	this
is	is	is
not	not	not
the	the	the
case	case	case
,	,	,
and	and	and
we	we	we
know	know	know
that	that	that
in	in	in
Hazzard	hazzard	Hazzard
County	counti	County
there	there	there
was	was	wa
never	never	never
any	ani	any
racism	racism	racism
.	.	.
Thought	thought	Thought
the	the	the
flag	flag	flag
has	has	ha
been	been	been
removed	remov	removed
from	from	from
such	such	such
places	place	place
as	as	a
Walmart	walmart	Walmart
,	,	,
Target	target	Target
and	and	and
Amazon	amazon	Amazon
,	,	,
it	it	it
will	will	will
never	never	never
be	be	be
removed	remov	removed
form	form	form
any	ani	any
of	of	of
our	our	our
Cooter	cooter	Cooter
s	s	s
stores	store	store
and	and	and
museums	museum	museum
.	.	.
We	we	We
are	are	are
all	all	all
the	the	the
same	same	same
good	good	good
people	peopl	people
today	today	today
that	that	that
we	we	we
were	were	were
last	last	last
week	week	week
and	and	and
last	last	last
year	year	year
and	and	and
we	we	we
are	are	are
not	not	not
going	go	going
to	to	to
be	be	be
shamed	shame	shamed
into	into	into
turning	turn	turning
our	our	our
backs	back	back
on	on	on
our	our	our
heritage	heritag	heritage
and	and	and
our	our	our
convictions	convict	conviction
.	.	.
We	we	We
are	are	are
not	not	not
racists	racist	racist
.	.	.
We	we	We
despise	despis	despise
racism	racism	racism
and	and	and
bigotry	bigotri	bigotry
.	.	.
And	and	And
we	we	we
think	think	think
the	the	the
people	peopl	people
who	who	who
are	are	are
creating	creat	creating
this	this	this
cultural	cultur	cultural
cleansing	cleans	cleansing
are	are	are
the	the	the
real	real	real
bigots	bigot	bigot
in	in	in
this	this	this
story	stori	story
.	.	.
When	when	When
we	we	we
say	say	say
our	our	our
flag	flag	flag
stands	stand	stand
for	for	for
heritage	heritag	heritage
,	,	,
not	not	not
hate	hate	hate
and	and	and
pride	pride	pride
,	,	,
not	not	not
prejudice	prejudic	prejudice
,	,	,
we	we	we
mean	mean	mean
it	it	it
.	.	.
And	and	And
we	we	we
believe	believ	believe
that	that	that
old	old	old
saying	say	saying
,	,	,
You	you	You
can	can	can
t	t	t
know	know	know
where	where	where
you	you	you
are	are	are
going	go	going
if	if	if
you	you	you
forget	forget	forget
where	where	where
you	you	you
came	came	came
from	from	from
.	.	.
Cooter	cooter	Cooter
s	s	s
is	is	is
going	go	going
to	to	to
continue	continu	continue
to	to	to
sell	sell	sell
our	our	our
southern	southern	southern
symbols	symbol	symbol
as	as	a
long	long	long
as	as	a
there	there	there
is	is	is
a	a	a
Cooter	cooter	Cooter
s	s	s
.	.	.
I	i	I
will	will	will
fight	fight	fight
these	these	these
people	peopl	people
until	until	until
hell	hell	hell
freezes	freez	freeze
over	over	over
,	,	,
and	and	and
then	then	then
I	i	I
will	will	will
fight	fight	fight
them	them	them
on	on	on
the	the	the
ice	ice	ice
.	.	.
