Sen	sen	Sen
.	.	.

Jeff	jeff	Jeff
Sessions	session	Sessions
R	r	R
-AL	-al	-AL
is	is	is
Trump	trump	Trump
s	s	s
pick	pick	pick
for	for	for
attorney	attorney	attorney
general	general	general
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
attorney	attorney	attorney
general	general	general
is	is	is
generally	general	generally
someone	someon	someone
who	who	who
not	not	not
only	onli	only
knows	know	know
what	what	what
s	s	s
legal	legal	legal
and	and	and
illegal	illeg	illegal
but	but	but
also	also	also
knows	know	know
what	what	what
s	s	s
right	right	right
and	and	and
what	what	what
s	s	s
wrong	wrong	wrong
.	.	.

Sessions	session	Sessions
doesn	doesn	doesn
t	t	t
know	know	know
right	right	right
from	from	from
wrong	wrong	wrong
,	,	,
at	at	at
least	least	least
insofar	insofar	insofar
as	as	a
civil	civil	civil
rights	right	right
goes	goe	go
.	.	.

He	he	He
s	s	s
desperate	desper	desperate
to	to	to
change	chang	change
his	his	his
image	imag	image
as	as	a
a	a	a
racist	racist	racist
prick	prick	prick
,	,	,
but	but	but
real	real	real
civil	civil	civil
rights	right	right
lawyers	lawyer	lawyer
aren	aren	aren
t	t	t
having	have	having
any	ani	any
of	of	of
it	it	it
.	.	.
He	he	He
s	s	s
even	even	even
cited	cite	cited
civil	civil	civil
rights	right	right
cases	case	case
that	that	that
he	he	he
supposedly	suppos	supposedly
worked	work	worked
on	on	on
,	,	,
but	but	but
it	it	it
turns	turn	turn
out	out	out
,	,	,
all	all	all
of	of	of
that	that	that
is	is	is
a	a	a
bald	bald	bald
-faced	-face	-faced
lie	lie	lie
.	.	.

Several	sever	Several
attorneys	attorney	attorney
who	who	who
have	have	have
fought	fought	fought
long	long	long
and	and	and
hard	hard	hard
for	for	for
true	true	true
civil	civil	civil
rights	right	right
penned	pen	penned
an	an	an
op	op	op
-ed	-ed	-ed
,	,	,
which	which	which
appeared	appear	appeared
in	in	in
the	the	the
Washington	washington	Washington
Post	post	Post
,	,	,
denouncing	denounc	denouncing
Sessions	session	Sessions
for	for	for
pretending	pretend	pretending
to	to	to
be	be	be
a	a	a
civil	civil	civil
rights	right	right
champion	champion	champion
.	.	.
Actually	actual	Actually
,	,	,
they	they	they
didn	didn	didn
t	t	t
just	just	just
denounce	denounc	denounce
him	him	him
,	,	,
they	they	they
annihilated	annihil	annihilated
him	him	him
for	for	for
it	it	it
.	.	.

Right	right	Right
off	off	off
the	the	the
bat	bat	bat
,	,	,
they	they	they
said	said	said
Attorney	attorney	Attorney
general	general	general
nominee	nomine	nominee
Jeff	jeff	Jeff
Sessions	session	Sessions
is	is	is
trying	tri	trying
to	to	to
mislead	mislead	mislead
his	his	his
Senate	senat	Senate
colleagues	colleagu	colleague
,	,	,
and	and	and
the	the	the
country	countri	country
,	,	,
into	into	into
believing	believ	believing
he	he	he
is	is	is
a	a	a
champion	champion	champion
for	for	for
civil	civil	civil
rights	right	right
.	.	.

We	we	We
are	are	are
former	former	former
Justice	justic	Justice
Department	depart	Department
civil	civil	civil
rights	right	right
lawyers	lawyer	lawyer
who	who	who
worked	work	worked
on	on	on
the	the	the
civil	civil	civil
rights	right	right
cases	case	case
