Not	not	Not
only	onli	only
is	is	is
Donald	donald	Donald
Trump	trump	Trump
an	an	an
admitted	admit	admitted
serial	serial	serial
groper	groper	groper
and	and	and
adulterer	adulter	adulterer
,	,	,
he	he	he
s	s	s
a	a	a
bonafide	bonafid	bonafide
pervert	pervert	pervert
who	who	who
likes	like	like
looking	look	looking
at	at	at
nude	nude	nude
underage	underag	underage
teen	teen	teen
girls	girl	girl
.	.	.
In	in	In
2005	2005	2005
,	,	,
Trump	trump	Trump
bragged	brag	bragged
to	to	to
Billy	billi	Billy
Bush	bush	Bush
about	about	about
how	how	how
he	he	he
is	is	is
able	abl	able
to	to	to
walk	walk	walk
up	up	up
to	to	to
women	women	woman
and	and	and
grab	grab	grab
them	them	them
by	by	by
the	the	the
p	p	p
ssy	ssi	ssy
because	becaus	because
he	he	he
is	is	is
a	a	a
star	star	star
.	.	.
Well	well	Well
,	,	,
that	that	that
remark	remark	remark
just	just	just
got	got	got
even	even	even
creepier	creepier	creepier
because	becaus	because
he	he	he
bragged	brag	bragged
to	to	to
Howard	howard	Howard
Stern	stern	Stern
in	in	in
the	the	the
same	same	same
year	year	year
that	that	that
he	he	he
gets	get	get
away	away	away
with	with	with
walking	walk	walking
into	into	into
dressing	dress	dressing
rooms	room	room
to	to	to
look	look	look
at	at	at
naked	nake	naked
Miss	miss	Miss
Teen	teen	Teen
USA	usa	USA
contestants	contest	contestant
because	becaus	because
he	he	he
owns	own	owns
the	the	the
pageant	pageant	pageant
.	.	.
I	i	I
ll	ll	ll
go	go	go
backstage	backstag	backstage
and	and	and
everyone	everyon	everyone
s	s	s
getting	get	getting
dressed	dress	dressed
,	,	,
and	and	and
everything	everyth	everything
else	els	else
,	,	,
and	and	and
you	you	you
know	know	know
,	,	,
no	no	no
men	men	men
are	are	are
anywhere	anywher	anywhere
,	,	,
and	and	and
I	i	I
m	m	m
allowed	allow	allowed
to	to	to
go	go	go
in	in	in
because	becaus	because
I	i	I
m	m	m
the	the	the
owner	owner	owner
of	of	of
the	the	the
pageant	pageant	pageant
and	and	and
therefore	therefor	therefore
I	i	I
m	m	m
inspecting	inspect	inspecting
it	it	it
Is	is	Is
everyone	everyon	everyone
OK	ok	OK
?	?	?
You	you	You
know	know	know
,	,	,
they	they	they
re	re	re
standing	stand	standing
there	there	there
with	with	with
no	no	no
clothes	cloth	clothes
.	.	.
Is	is	Is
everybody	everybodi	everybody
OK	ok	OK
?	?	?
And	and	And
you	you	you
see	see	see
these	these	these
incredible	incred	incredible
looking	look	looking
women	women	woman
,	,	,
and	and	and
so	so	so
,	,	,
I	i	I
sort	sort	sort
of	of	of
get	get	get
away	away	away
with	with	with
things	thing	thing
like	like	like
that	that	that
.	.	.
Indeed	inde	Indeed
,	,	,
so	so	so
it	it	it
sounds	sound	sound
like	like	like
Donald	donald	Donald
Trump	trump	Trump
only	onli	only
purchased	purchas	purchased
Miss	miss	Miss
USA	usa	USA
,	,	,
Miss	miss	Miss
Universe	univers	Universe
,	,	,
and	and	and
Miss	miss	Miss
Teen	teen	Teen
USA	usa	USA
so	so	so
that	that	that
he	he	he
could	could	could
have	have	have
easy	easi	easy
access	access	access
to	to	to
women	women	woman
and	and	and
girls	girl	girl
and	and	and
he	he	he
abused	abus	abused
his	his	his
power	power	power
in	in	in
order	order	order
to	to	to
violate	violat	violate
their	their	their
privacy	privaci	privacy
.	.	.
And	and	And
that	that	that
s	s	s
exactly	exact	exactly
what	what	what
Trump	trump	Trump
did	did	did
according	accord	according
to	to	to
several	sever	several
women	women	woman
who	who	who
have	have	have
come	come	come
forward	forward	forward
to	to	to
reveal	reveal	reveal
that	that	that
Trump	trump	Trump
walked	walk	walked
in	in	in
on	on	on
them	them	them
,	,	,
some	some	some
of	of	of
whom	whom	whom
were	were	were
only	onli	only
15	15	15
years	year	year
old	old	old
,	,	,
changing	chang	changing
in	in	in
their	their	their
dressing	dress	dressing
room	room	room
.	.	.
I	i	I
remember	rememb	remember
putting	put	putting
on	on	on
my	my	my
dress	dress	dress
really	realli	really
quick	quick	quick
because	becaus	because
I	i	I
was	was	wa
like	like	like
,	,	,
Oh	oh	Oh
my	my	my
god	god	god
,	,	,
there	there	there
s	s	s
a	a	a
man	man	man
in	in	in
here	here	here
,	,	,
former	former	former
Miss	miss	Miss
Vermont	vermont	Vermont
Teen	teen	Teen
USA	usa	USA
Mariah	mariah	Mariah
Billado	billado	Billado
told	told	told
Buzzfeed	buzzfe	Buzzfeed
.	.	.
Billado	billado	Billado
even	even	even
remembers	rememb	remembers
Trump	trump	Trump
remarking	remark	remarking
,	,	,
Don	don	Don
t	t	t
worry	worri	worry
,	,	,
ladies	ladi	lady
,	,	,
I	i	I
ve	ve	ve
seen	seen	seen
it	it	it
all	all	all
before	befor	before
.	.	.
But	but	But
there	there	there
s	s	s
more	more	more
.	.	.
According	accord	According
to	to	to
