Remember	rememb	Remember
when	when	when
Donald	donald	Donald
Trump	trump	Trump
said	said	said
he	he	he
would	would	would
debate	debat	debate
Bernie	berni	Bernie
Sanders	sander	Sanders
and	and	and
then	then	then
refused	refus	refused
to	to	to
do	do	do
so	so	so
when	when	when
Sanders	sander	Sanders
accepted	accept	accepted
?	?	?
Well	well	Well
,	,	,
now	now	now
we	we	we
know	know	know
how	how	how
it	it	it
would	would	would
have	have	have
gone	gone	gone
.	.	.
During	dure	During
Trump	trump	Trump
s	s	s
coronation	coron	coronation
at	at	at
the	the	the
RNC	rnc	RNC
Convention	convent	Convention
,	,	,
the	the	the
Vermont	vermont	Vermont
Senator	senat	Senator
sat	sat	sat
back	back	back
at	at	at
home	home	home
and	and	and
responded	respond	responded
to	to	to
Trump	trump	Trump
s	s	s
acceptance	accept	acceptance
speech	speech	speech
on	on	on
Twitter	twitter	Twitter
and	and	and
the	the	the
result	result	result
clearly	clear	clearly
shows	show	show
that	that	that
Sanders	sander	Sanders
can	can	can
wipe	wipe	wipe
the	the	the
floor	floor	floor
with	with	with
Trump	trump	Trump
on	on	on
social	social	social
media	media	medium
or	or	or
in	in	in
person	person	person
.	.	.
Of	of	Of
course	cours	course
,	,	,
Sanders	sander	Sanders
targeted	target	targeted
Trump	trump	Trump
s	s	s
economic	econom	economic
proposals	propos	proposal
in	in	in
particular	particular	particular
,	,	,
but	but	but
he	he	he
also	also	also
counter	counter	counter
-punched	-punch	-punched
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
on	on	on
his	his	his
Middle	middl	Middle
East	east	East
policy	polici	policy
,	,	,
students	student	student
loans	loan	loan
,	,	,
the	the	the
Supreme	suprem	Supreme
Court	court	Court
,	,	,
and	and	and
Citizens	citizen	Citizens
United	unit	United
all	all	all
while	while	while
lampooning	lampoon	lampooning
Trump	trump	Trump
for	for	for
using	use	using
other	other	other
nations	nation	nation
to	to	to
manufacture	manufactur	manufacture
his	his	his
products	product	product
.	.	.
#RNCwithBernie	#rncwithberni	#RNCwithBernie
pic.twitter.com/x5nuSI6AuN	pic.twitter.com/x5nusi6aun	pic.twitter.com/x5nuSI6AuN
Bernie	berni	Bernie
Sanders	sander	Sanders
@BernieSanders	@berniesand	@BernieSanders
July	juli	July
22	22	22
,	,	,
2016	2016	2016
Will	will	Will
Trump	trump	Trump
mention	mention	mention
climate	climat	climate
change	chang	change
,	,	,
the	the	the
great	great	great
environmental	environment	environmental
crisis	crisi	crisis
of	of	of
our	our	our
time	time	time
?	?	?
Been	been	Been
waiting	wait	waiting
for	for	for
a	a	a
year	year	year
now	now	now
.	.	.
#RNCwithBernie	#rncwithberni	#RNCwithBernie
Bernie	berni	Bernie
Sanders	sander	Sanders
@BernieSanders	@berniesand	@BernieSanders
July	juli	July
22	22	22
,	,	,
2016Those	2016those	2016Those
who	who	who
voted	vote	voted
for	for	for
me	me	me
will	will	will
not	not	not
support	support	support
Trump	trump	Trump
who	who	who
has	has	ha
made	made	made
bigotry	bigotri	bigotry
and	and	and
divisiveness	divis	divisiveness
the	the	the
cornerstone	cornerston	cornerstone
of	of	of
his	his	his
campaign	campaign	campaign
.	.	.
#RNCwithBernie	#rncwithberni	#RNCwithBernie
Bernie	berni	Bernie
Sanders	sander	Sanders
@BernieSanders	@berniesand	@BernieSanders
July	juli	July
22	22	22
,	,	,
2016	2016	2016
We	we	We
believe	believ	believe
in	in	in
bringing	bring	bringing
people	peopl	people
together	togeth	together
,	,	,
not	not	not
dividing	divid	dividing
them	them	them
up	up	up
.	.	.
Bernie	berni	Bernie
Sanders	sander	Sanders
@BernieSanders	@berniesand	@BernieSanders
July	juli	July
22	22	22
,	,	,
2016Trump	2016trump	2016Trump
is	is	is
wrong	wrong	wrong
.	.	.
The	the	The
real	real	real
cause	caus	cause
of	of	of
instability	instabl	instability
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
was	was	wa
the	the	the
Bush	bush	Bush
-Cheney	-cheney	-Cheney
invasion	invas	invasion
of	of	of
Iraq	iraq	Iraq
.	.	.
By	by	By
the	the	the
way	way	way
,	,	,
where	where	where
is	is	is
President	presid	President
Bush	bush	Bush
?	?	?
Bernie	berni	Bernie
Sanders	sander	Sanders
@BernieSanders	@berniesand	@BernieSanders
July	juli	July
22	22	22
,	,	,
2016	2016	2016
Trump	trump	Trump
s	s	s
big	big	big
economic	econom	economic
plans	plan	plan
Give	give	Give
trillions	trillion	trillion
in	in	in
tax	tax	tax
breaks	break	break
to	to	to
millionaires	millionair	millionaire
,	,	,
refuse	refus	refuse
to	to	to
raise	rais	raise
the	the	the
federal	feder	federal
minimum	minimum	minimum
wage	wage	wage
.	.	.
#RNCwithBernie	#rncwithberni	#RNCwithBernie
Bernie	berni	Bernie
Sanders	sander	Sanders
@BernieSanders	@berniesand	@BernieSanders
July	juli	July
22	22	22
,	,	,
