Rep	rep	Rep
.	.	.
Jason	jason	Jason
Chaffetz	chaffetz	Chaffetz
R	r	R
-Utah	-utah	-Utah
has	has	ha
been	been	been
a	a	a
thorn	thorn	thorn
in	in	in
the	the	the
side	side	side
of	of	of
Democrats	democrat	Democrats
ever	ever	ever
since	sinc	since
Hillary	hillari	Hillary
Clinton	clinton	Clinton
was	was	wa
Secretary	secretari	Secretary
of	of	of
State	state	State
.	.	.
He	he	He
blamed	blame	blamed
her	her	her
for	for	for
many	mani	many
things	thing	thing
that	that	that
clearly	clear	clearly
were	were	were
beyond	beyond	beyond
her	her	her
control	control	control
,	,	,
most	most	most
notably	notabl	notably
the	the	the
attacks	attack	attack
on	on	on
the	the	the
compound	compound	compound
in	in	in
Benghazi	benghazi	Benghazi
,	,	,
Libya	libya	Libya
,	,	,
that	that	that
wound	wound	wound
up	up	up
taking	take	taking
the	the	the
lives	live	life
of	of	of
multiple	multipl	multiple
America	america	America
diplomats	diplomat	diplomat
.	.	.
After	after	After
that	that	that
attack	attack	attack
,	,	,
Chaffetz	chaffetz	Chaffetz
,	,	,
who	who	who
chairs	chair	chair
the	the	the
House	hous	House
Oversight	oversight	Oversight
Committee	committe	Committee
,	,	,
spent	spent	spent
more	more	more
than	than	than
two	two	two
years	year	year
and	and	and
millions	million	million
in	in	in
taxpayer	taxpay	taxpayer
money	money	money
to	to	to
keep	keep	keep
investigating	investig	investigating
Hillary	hillari	Hillary
each	each	each
time	time	time
coming	come	coming
up	up	up
empty	empti	empty
because	becaus	because
she	she	she
did	did	did
nothing	noth	nothing
wrong	wrong	wrong
.	.	.
He	he	He
even	even	even
said	said	said
he	he	he
had	had	had
investigations	investig	investigation
lined	line	lined
up	up	up
in	in	in
the	the	the
event	event	event
that	that	that
Hillary	hillari	Hillary
took	took	took
the	the	the
White	white	White
House	hous	House
.	.	.
Well	well	Well
,	,	,
now	now	now
that	that	that
Trump	trump	Trump
is	is	is
president	presid	president
and	and	and
there	there	there
are	are	are
no	no	no
more	more	more
Clinton	clinton	Clinton
investigations	investig	investigation
to	to	to
keep	keep	keep
his	his	his
base	base	base
salivating	saliv	salivating
,	,	,
Chaffetz	chaffetz	Chaffetz
has	has	ha
announced	announc	announced
that	that	that
there	there	there
will	will	will
be	be	be
no	no	no
2018	2018	2018
Congressional	congression	Congressional
race	race	race
for	for	for
him	him	him
.	.	.
Chaffetz	chaffetz	Chaffetz
took	took	took
to	to	to
Facebook	facebook	Facebook
Wednesday	wednesday	Wednesday
morning	morn	morning
to	to	to
announce	announc	announce
his	his	his
decision	decis	decision
,	,	,
and	and	and
,	,	,
of	of	of
course	cours	course
,	,	,
he	he	he
insists	insist	insists
that	that	that
it	it	it
was	was	wa
not	not	not
a	a	a
politically	polit	politically
motivated	motiv	motivated
move	move	move
After	after	After
long	long	long
consultation	consult	consultation
with	with	with
my	my	my
family	famili	family
and	and	and
prayerful	prayer	prayerful
consideration	consider	consideration
,	,	,
I	i	I
have	have	have
decided	decid	decided
I	i	I
will	will	will
not	not	not
be	be	be
a	a	a
candidate	candid	candidate
for	for	for
any	ani	any
office	offic	office
in	in	in
2018	2018	2018
.	.	.
For	for	For
those	those	those
that	that	that
would	would	would
speculate	specul	speculate
otherwise	otherwis	otherwise
,	,	,
let	let	let
me	me	me
be	be	be
clear	clear	clear
that	that	that
I	i	I
have	have	have
no	no	no
ulterior	ulterior	ulterior
motives	motiv	motif
.	.	.
I	i	I
am	am	am
healthy	healthi	healthy
.	.	.
I	i	I
am	am	am
confident	confid	confident
I	i	I
would	would	would
continue	continu	continue
to	to	to
be	be	be
re	re	re
-elected	-elect	-elected
by	by	by
large	larg	large
margins	margin	margin
.	.	.
I	i	I
have	have	have
the	the	the
full	full	full
support	support	support
of	of	of
Speaker	speaker	Speaker
Ryan	ryan	Ryan
to	to	to
continue	continu	continue
as	as	a
Chairman	chairman	Chairman
of	of	of
the	the	the
Oversight	oversight	Oversight
and	and	and
Government	govern	Government
Reform	reform	Reform
Committee	committe	Committee
.	.	.
That	that	That
said	said	said
,	,	,
I	i	I
have	have	have
made	made	made
a	a	a
personal	person	personal
decision	decis	decision
to	to	to
return	return	return
to	to	to
the	the	the
private	privat	private
sector	sector	sector
.	.	.
Here	here	Here
is	is	is
the	the	the
embed	emb	embed
of	of	of
the	the	the
full	full	full
Facebook	facebook	Facebook
post	post	post
Despite	despit	Despite
what	what	what
Chaffetz	chaffetz	Chaffetz
is	is	is
saying	say	saying
regarding	regard	regarding
his	his	his
reasons	reason	reason
for	for	for
not	not	not
running	run	running
again	again	again
,	,	,
it	it	it
s	s	s
likely	like	likely
a	a	a
pack	pack	pack
of	of	of
lies	lie	lie
.	.	.
After	after	After
all	all	all
,	,	,
he	he	he
made	made	made
it	it	it
his	his	his
mission	mission	mission
to	to	to
destroy	destroy	destroy
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
and	and	and
made	made	made
it	it	it
clear	clear	clear
that	that	that
he	he	he
would	would	would
continue	continu	continue
to	to	to
try	tri	try
and	and	and
get	get	get
her	her	her
on	on	on
something	someth	something
,	,	,
anything	anyth	anything
were	were	were
she	she	she
to	to	to
be	be	be
elected	elect	elected
president	presid	president
.	.	.
However	howev	However
,	,	,
now	now	now
that	that	that
we	we	we
have	have	have
Trump	trump	Trump
as	as	a
president	presid	president
instead	instead	instead
of	of	of
Hillary	hillari	Hillary
,	,	,
Chaffetz	chaffetz	Chaffetz
is	is	is
choosing	choos	choosing
to	to	to
turn	turn	turn
a	a	a
blind	blind	blind
eye	eye	eye
to	to	to
all	all	all
of	of	of
Trump	trump	Trump
s	s	s
scandals	scandal	scandal
.	.	.
He	he	He
refuses	refus	refuse
to	to	to
look	look	look
into	into	into
Trump	trump	Trump
s	s	s
conflicts	conflict	conflict
of	of	of
interest	interest	interest
,	,	,
is	is	is
mum	mum	mum
on	on	on
the	the	the
Russia	russia	Russia
investigation	investig	investigation
for	for	for
the	the	the
most	most	most
part	part	part
,	,	,
and	and	and
has	has	ha
nothing	noth	nothing
to	to	to
say	say	say
on	on	on
Trump	trump	Trump
s	s	s
lies	lie	lie
and	and	and
obvious	obvious	obvious
character	charact	character
flaws	flaw	flaw
and	and	and
deficiencies	defici	deficiency
.	.	.
In	in	In
short	short	short
as	as	a
long	long	long
as	as	a
the	the	the
president	presid	president
is	is	is
a	a	a
Republican	republican	Republican
,	,	,
he	he	he
can	can	can
trample	trampl	trample
the	the	the
law	law	law
into	into	into
pieces	piec	piece
all	all	all
he	he	he
wants	want	want
.	.	.
