Just	just	Just
like	like	like
Hillary	hillari	Hillary
Stephanopoulos	stephanopoulo	Stephanopoulos
claims	claim	claim
it	it	it
was	was	wa
an	an	an
honest	honest	honest
mistake	mistak	mistake
not	not	not
to	to	to
disclose	disclos	disclose
his	his	his
donations	donat	donation
to	to	to
the	the	the
corrupt	corrupt	corrupt
Clinton	clinton	Clinton
slush	slush	slush
fund	fund	fund
ABC	abc	ABC
News	news	News
chief	chief	chief
anchor	anchor	anchor
George	georg	George
Stephanopoulos	stephanopoulo	Stephanopoulos
has	has	ha
given	given	given
50	50	50
,	,	,
000	000	000
to	to	to
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
in	in	in
recent	recent	recent
years	year	year
,	,	,
charitable	charit	charitable
contributions	contribut	contribution
that	that	that
he	he	he
did	did	did
not	not	not
publicly	public	publicly
disclose	disclos	disclose
while	while	while
reporting	report	reporting
on	on	on
the	the	the
Clintons	clinton	Clintons
or	or	or
their	their	their
non	non	non
-profit	-profit	-profit
organization	organ	organization
,	,	,
the	the	the
On	on	On
Media	media	Media
blog	blog	blog
has	has	ha
learned	learn	learned
.	.	.
In	in	In
both	both	both
2013	2013	2013
and	and	and
2014	2014	2014
,	,	,
Stephanopoulos	stephanopoulo	Stephanopoulos
made	made	made
a	a	a
25	25	25
,	,	,
000	000	000
donation	donat	donation
to	to	to
the	the	the
501	501	501
nonprofit	nonprofit	nonprofit
founded	found	founded
by	by	by
former	former	former
president	presid	president
Bill	bill	Bill
Clinton	clinton	Clinton
,	,	,
the	the	the
Foundation	foundat	Foundation
s	s	s
records	record	record
show	show	show
.	.	.

Stephanopoulos	stephanopoulo	Stephanopoulos
never	never	never
disclosed	disclos	disclosed
this	this	this
information	inform	information
to	to	to
viewers	viewer	viewer
,	,	,
even	even	even
when	when	when
interviewing	interview	interviewing
author	author	author
Peter	peter	Peter
Schweizer	schweizer	Schweizer
last	last	last
month	month	month
about	about	about
his	his	his
book	book	book
Clinton	clinton	Clinton
Cash	cash	Cash
,	,	,
which	which	which
alleges	alleg	alleges
that	that	that
donations	donat	donation
to	to	to
the	the	the
Foundation	foundat	Foundation
may	may	may
have	have	have
influenced	influenc	influenced
some	some	some
of	of	of
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
actions	action	action
as	as	a
Secretary	secretari	Secretary
of	of	of
State	state	State
.	.	.
In	in	In
a	a	a
statement	statement	statement
to	to	to
the	the	the
On	on	On
Media	media	Media
blog	blog	blog
on	on	on
Thursday	thursday	Thursday
,	,	,
Stephanopoulos	stephanopoulo	Stephanopoulos
apologized	apolog	apologized
and	and	and
said	said	said
that	that	that
he	he	he
should	should	should
have	have	have
disclosed	disclos	disclosed
the	the	the
donations	donat	donation
to	to	to
ABC	abc	ABC
News	news	News
and	and	and
its	it	it
viewers	viewer	viewer
.	.	.
Watch	watch	Watch
George	georg	George
discuss	discuss	discus
the	the	the
problem	problem	problem
with	with	with
donations	donat	donation
to	to	to
the	the	the
Clinton	clinton	Clinton
