Who	who	Who
needs	need	need
experts	expert	expert
,	,	,
really	realli	really
,	,	,
when	when	when
one	one	one
can	can	can
rely	reli	rely
on	on	on
his	his	his
or	or	or
her	her	her
own	own	own
intuition	intuit	intuition
?	?	?
I	i	I
mean	mean	mean
,	,	,
Donald	donald	Donald
Trump	trump	Trump
clearly	clear	clearly
knows	know	know
better	better	better
than	than	than
any	ani	any
expert	expert	expert
in	in	in
regards	regard	regard
to	to	to
foreign	foreign	foreign
policy	polici	policy
.	.	.
Or	or	Or
maybe	mayb	maybe
,	,	,
he	he	he
s	s	s
full	full	full
of	of	of
absolute	absolut	absolute
horseshit	horseshit	horseshit
.	.	.
While	while	While
campaigning	campaign	campaigning
in	in	in
La	la	La
Crosse	cross	Crosse
,	,	,
Wisconsin	wisconsin	Wisconsin
,	,	,
Trump	trump	Trump
told	told	told
a	a	a
crowd	crowd	crowd
of	of	of
supporters	support	supporter
that	that	that
he	he	he
s	s	s
probably	probabl	probably
not	not	not
going	go	going
to	to	to
rely	reli	rely
on	on	on
any	ani	any
experts	expert	expert
.	.	.
Sure	sure	Sure
,	,	,
he	he	he
has	has	ha
advisers	advis	adviser
,	,	,
but	but	but
according	accord	according
to	to	to
Trump	trump	Trump
,	,	,
the	the	the
experts	expert	expert
are	are	are
terrible	terribl	terrible
.	.	.
He	he	He
said	said	said
You	you	You
look	look	look
at	at	at
what	what	what
China	china	China
s	s	s
doing	do	doing
in	in	in
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
,	,	,
and	and	and
they	they	they
say	say	say
,	,	,
Oh	oh	Oh
,	,	,
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
have	have	have
experts	expert	expert
.	.	.
Let	let	Let
me	me	me
tell	tell	tell
you	you	you
,	,	,
I	i	I
do	do	do
have	have	have
experts	expert	expert
but	but	but
I	i	I
know	know	know
what	what	what
s	s	s
happening	happen	happening
.	.	.
And	and	And
look	look	look
at	at	at
the	the	the
experts	expert	expert
we	we	we
ve	ve	ve
had	had	had
,	,	,
OK	ok	OK
?	?	?
Look	look	Look
at	at	at
the	the	the
experts	expert	expert
.	.	.
All	all	All
of	of	of
these	these	these
people	peopl	people
have	have	have
had	had	had
experts	expert	expert
.	.	.
You	you	You
know	know	know
,	,	,
I	i	I
ve	ve	ve
always	alway	always
wanted	want	wanted
to	to	to
say	say	say
this	this	this
I	i	I
ve	ve	ve
never	never	never
said	said	said
this	this	this
before	befor	before
with	with	with
all	all	all
the	the	the
talking	talk	talking
we	we	we
all	all	all
do	do	do
all	all	all
of	of	of
these	these	these
experts	expert	expert
,	,	,
Oh	oh	Oh
we	we	we
need	need	need
an	an	an
expert	expert	expert
The	the	The
experts	expert	expert
are	are	are
terrible	terribl	terrible
.	.	.
Look	look	Look
at	at	at
the	the	the
mess	mess	mess
we	we	we
re	re	re
in	in	in
with	with	with
all	all	all
these	these	these
experts	expert	expert
that	that	that
we	we	we
have	have	have
.	.	.
Look	look	Look
at	at	at
the	the	the
mess	mess	mess
.	.	.
Look	look	Look
at	at	at
the	the	the
Middle	middl	Middle
East	east	East
.	.	.
If	if	If
our	our	our
presidents	presid	president
and	and	and
our	our	our
politicians	politician	politician
went	went	went
on	on	on
vacation	vacat	vacation
for	for	for
365	365	365
days	day	day
a	a	a
year	year	year
and	and	and
went	went	went
to	to	to
the	the	the
beach	beach	beach
,	,	,
we	we	we
d	d	d
be	be	be
in	in	in
much	much	much
better	better	better
shape	shape	shape
right	right	right
now	now	now
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
.	.	.
Yep	yep	Yep
,	,	,
he	he	he
really	realli	really
said	said	said
that	that	that
,	,	,
folks	folk	folk
.	.	.
He	he	He
apparently	appar	apparently
thinks	think	think
we	we	we
d	d	d
be	be	be
better	better	better
off	off	off
if	if	if
we	we	we
just	just	just
let	let	let
ISIS	isi	ISIS
take	take	take
control	control	control
and	and	and
take	take	take
part	part	part
in	in	in
no	no	no
intervention	intervent	intervention
whatsoever	whatsoev	whatsoever
.	.	.
At	at	At
least	least	least
that	that	that
s	s	s
what	what	what
he	he	he
just	just	just
implied	impli	implied
.	.	.
He	he	He
clearly	clear	clearly
thinks	think	think
we	we	we
haven	haven	haven
t	t	t
,	,	,
over	over	over
the	the	the
course	cours	course
of	of	of
decades	decad	decade
,	,	,
set	set	set
up	up	up
very	veri	very
valuable	valuabl	valuable
relationships	relationship	relationship
,	,	,
many	mani	many
that	that	that
are	are	are
even	even	even
unheard	unheard	unheard
of	of	of
,	,	,
because	becaus	because
he	he	he
thinks	think	think
he	he	he
knows	know	know
better	better	better
.	.	.
He	he	He
seems	seem	seems
to	to	to
think	think	think
not	not	not
knowing	know	knowing
anything	anyth	anything
is	is	is
better	better	better
than	than	than
knowing	know	knowing
what	what	what
you	you	you
need	need	need
