Talk	talk	Talk
about	about	about
throwing	throw	throwing
your	your	your
own	own	own
party	parti	party
under	under	under
a	a	a
bus	bus	bus
.	.	.
This	this	This
Trump	trump	Trump
supporter	support	supporter
literally	liter	literally
said	said	said
the	the	the
GOP	gop	GOP
has	has	ha
rigged	rig	rigged
elections	elect	election
and	and	and
that	that	that
is	is	is
supposed	suppos	supposed
to	to	to
prove	prove	prove
that	that	that
Hillary	hillari	Hillary
Clinton	clinton	Clinton
has	has	ha
rigged	rig	rigged
the	the	the
2016	2016	2016
Election	elect	Election
.	.	.
Roger	roger	Roger
Stone	stone	Stone
is	is	is
one	one	one
of	of	of
Trump	trump	Trump
s	s	s
biggest	biggest	biggest
supporters	support	supporter
and	and	and
in	in	in
defense	defens	defense
of	of	of
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
s	s	s
assertion	assert	assertion
that	that	that
the	the	the
2016	2016	2016
Election	elect	Election
is	is	is
rigged	rig	rigged
in	in	in
favor	favor	favor
of	of	of
Hillary	hillari	Hillary
he	he	he
wrote	wrote	wrote
a	a	a
column	column	column
for	for	for
The	the	The
Hill	hill	Hill
in	in	in
an	an	an
attempt	attempt	attempt
to	to	to
demonstrate	demonstr	demonstrate
that	that	that
Trump	trump	Trump
is	is	is
right	right	right
to	to	to
be	be	be
concerned	concern	concerned
.	.	.
Not	not	Not
only	onli	only
did	did	did
it	it	it
go	go	go
badly	bad	badly
,	,	,
but	but	but
the	the	the
Republican	republican	Republican
Party	parti	Party
must	must	must
be	be	be
totally	total	totally
pissed	piss	pissed
off	off	off
about	about	about
it	it	it
.	.	.
That	that	That
s	s	s
because	becaus	because
Stone	stone	Stone
claimed	claim	claimed
that	that	that
Wisconsin	wisconsin	Wisconsin
Republicans	republican	Republicans
,	,	,
under	under	under
Reince	reinc	Reince
Priebus	priebus	Priebus
s	s	s
leadership	leadership	leadership
,	,	,
were	were	were
successful	success	successful
at	at	at
rigging	rig	rigging
five	five	five
elections	elect	election
in	in	in
the	the	the
state	state	state
to	to	to
make	make	make
sure	sure	sure
things	thing	thing
went	went	went
their	their	their
way	way	way
.	.	.
As	as	As
someone	someon	someone
with	with	with
great	great	great
sentimental	sentiment	sentimental
attachment	attach	attachment
to	to	to
the	the	the
Republican	republican	Republican
Party	parti	Party
,	,	,
as	as	a
I	i	I
joined	join	joined
as	as	a
the	the	the
party	parti	party
of	of	of
Goldwater	goldwat	Goldwater
,	,	,
both	both	both
parties	parti	party
have	have	have
engaged	engag	engaged
in	in	in
voting	vote	voting
machine	machin	machine
manipulation	manipul	manipulation
,	,	,
Stone	stone	Stone
claimed	claim	claimed
before	befor	before
naming	name	naming
names	name	name
.	.	.
Nowhere	nowher	Nowhere
in	in	in
the	the	the
country	countri	country
has	has	ha
this	this	this
been	been	been
more	more	more
true	true	true
