Here	here	Here
s	s	s
CNN	cnn	CNN
s	s	s
tweet	tweet	tweet
with	with	with
pictures	pictur	picture
comparing	compar	comparing
Obama	obama	Obama
s	s	s
Super	super	Super
Bowl	bowl	Bowl
event	event	event
to	to	to
President	presid	President
Trump	trump	Trump
s	s	s
Photos	photo	Photos
on	on	on
social	social	social
media	media	medium
appear	appear	appear
to	to	to
show	show	show
a	a	a
difference	differ	difference
in	in	in
the	the	the
New	new	New
England	england	England
Patriots'	patriot	Patriots'
turnout	turnout	turnout
at	at	at
the	the	the
White	white	White
House	hous	House
vs	vs	v
.	.	.
2015	2015	2015
https://t.co/cZgEjSCV6J	https://t.co/czgejscv6j	https://t.co/cZgEjSCV6J
pic.twitter.com/WW5mcd2MWJ	pic.twitter.com/ww5mcd2mwj	pic.twitter.com/WW5mcd2MWJ
CNN	cnn	CNN
@CNN	@cnn	@CNN
April	april	April
20	20	20
,	,	,
2017Once	2017onc	2017Once
again	again	again
,	,	,
CNN	cnn	CNN
was	was	wa
busted	bust	busted
pushing	push	pushing
fake	fake	fake
news	news	news
about	about	about
the	the	the
number	number	number
of	of	of
Patriots	patriot	Patriots
who	who	who
came	came	came
to	to	to
the	the	the
White	white	White
House	hous	House
to	to	to
be	be	be
honored	honor	honored
by	by	by
Trump	trump	Trump
.	.	.
The	the	The
Patriots	patriot	Patriots
actually	actual	actually
busted	bust	busted
them	them	them
with	with	with
this	this	this
tweet	tweet	tweet
responding	respond	responding
to	to	to
CNN	cnn	CNN
from	from	from
the	the	the
New	new	New
England	england	England
Patriots	patriot	Patriots
Twitter	twitter	Twitter
account	account	account
,	,	,
which	which	which
stated	state	stated
These	these	These
photos	photo	photo
lack	lack	lack
context	context	context
.	.	.
Facts	fact	Facts
In	in	In
2015	2015	2015
,	,	,
over	over	over
40	40	40
football	footbal	football
staff	staff	staff
were	were	were
on	on	on
the	the	the
stairs	stair	stair
.	.	.
In	in	In
2017	2017	2017
,	,	,
they	they	they
were	were	were
seated	seat	seated
on	on	on
the	the	the
South	south	South
Lawn	lawn	Lawn
.	.	.
These	these	These
photos	photo	photo
lack	lack	lack
context	context	context
.	.	.
Facts	fact	Facts
In	in	In
2015	2015	2015
,	,	,
over	over	over
40	40	40
football	footbal	football
staff	staff	staff
were	were	were
on	on	on
the	the	the
stairs	stair	stair
.	.	.
In	in	In
2017	2017	2017
,	,	,
they	they	they
were	were	were
seated	seat	seated
on	on	on
the	the	the
South	south	South
Lawn	lawn	Lawn
.	.	.
https://t.co/iIYtV0hR6Y	https://t.co/iiytv0hr6i	https://t.co/iIYtV0hR6Y
New	new	New
England	england	England
Patriots	patriot	Patriots
@Patriots	@patriot	@Patriots
April	april	April
20	20	20
,	,	,
2017The	2017the	2017The
New	new	New
England	england	England
Patriots	patriot	Patriots
followed	follow	followed
it	it	it
up	up	up
with	with	with
another	anoth	another
that	that	that
clarified	clarifi	clarified
the	the	the
crowd	crowd	crowd
size	size	size
with	with	with
President	presid	President
Trump	trump	Trump
at	at	at
the	the	the
White	white	White
house	hous	house
today	today	today
vs	vs	v
.	.	.
previous	previous	previous
Super	super	Super
Bowl	bowl	Bowl
celebrations	celebr	celebration
with	with	with
the	the	the
Patriots	patriot	Patriots
at	at	at
the	the	the
White	white	White
House	hous	House
.	.	.
The	the	The
picture	pictur	picture
they	they	they
used	use	used
this	this	this
time	time	time
was	was	wa
one	one	one
of	of	of
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
with	with	with
the	the	the
Patriots	patriot	Patriots
.	.	.
Comparable	compar	Comparable
photos	photo	photo
The	the	The
last	last	last
time	time	time
the	the	the
#Patriots	#patriot	#Patriots
won	won	won
two	two	two
Super	super	Super
Bowls	bowl	Bowls
in	in	in
three	three	three
years	year	year
,	,	,
36	36	36
players	player	player
visited	visit	visited
the	the	the
White	white	White
House	hous	House
.	.	.
Today	today	Today
,	,	,
we	we	we
had	had	had
34	34	34
.	.	.
pic.twitter.com/Aslvf1RaXU	pic.twitter.com/aslvf1raxu	pic.twitter.com/Aslvf1RaXU
New	new	New
England	england	England
Patriots	patriot	Patriots
@Patriots	@patriot	@Patriots
April	april	April
20	20	20
,	,	,
2017Twitter	2017twitter	2017Twitter
user	user	user
Tennessee	tennesse	Tennessee
GOP	gop	GOP
showed	show	showed
CNN	cnn	CNN
another	anoth	another
picture	pictur	picture
of	of	of
the	the	the
New	new	New
England	england	England
Patriots	patriot	Patriots
that	that	that
was	was	wa
taken	taken	taken
with	with	with
the	the	the
entire	entir	entire
group	group	group
who	who	who
traveled	travel	traveled
to	to	to
the	the	the
White	white	White
House	hous	House
to	to	to
be	be	be
honored	honor	honored
by	by	by
President	presid	President
Trump	trump	Trump
.	.	.
Tennessee	tennesse	Tennessee
GOP	gop	GOP
then	then	then
told	told	told
CNN	cnn	CNN
to	to	to
delete	delet	delete
your	your	your
account	account	account
labeling	label	labeling
CNN	cnn	CNN
s	s	s
latest	latest	latest
scam	scam	scam
#PhotoGatehttps://twitter.com/TEN_GOP/status/854865906165587968CNN	#photogatehttps://twitter.com/ten_gop/status/854865906165587968cnn	#PhotoGatehttps://twitter.com/TEN_GOP/status/854865906165587968CNN
for	for	for
future	futur	future
reference	refer	reference
,	,	,
when	when	when
the	the	the
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
is	is	is
one	one	one
of	of	of
the	the	the
closest	closest	closest
friends	friend	friend
of	of	of
the	the	the
New	new	New
England	england	England
Patriots	patriot	Patriots
owner	owner	owner
,	,	,
it	it	it
s	s	s
probably	probabl	probably
not	not	not
a	a	a
good	good	good
idea	idea	idea
to	to	to
try	tri	try
to	to	to
embarrass	embarrass	embarrass
him	him	him
by	by	by
suggesting	suggest	suggesting
the	the	the
Patriots	patriot	Patriots
didn	didn	didn
t	t	t
want	want	want
to	to	to
be	be	be
there	there	there
.	.	.
