Despite	despit	Despite
the	the	the
fact	fact	fact
that	that	that
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
admitted	admit	admitted
in	in	in
the	the	the
past	past	past
that	that	that
he	he	he
has	has	ha
acted	act	acted
as	as	a
his	his	his
own	own	own
publicist	publicist	publicist
,	,	,
he	he	he
and	and	and
his	his	his
campaign	campaign	campaign
continue	continu	continue
to	to	to
deny	deni	deny
that	that	that
it	it	it
was	was	wa
his	his	his
voice	voic	voice
on	on	on
the	the	the
recordings	record	recording
.	.	.
Jake	jake	Jake
Tapper	tapper	Tapper
confronted	confront	confronted
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
manager	manag	manager
on	on	on
the	the	the
issue	issu	issue
and	and	and
his	his	his
defense	defens	defense
of	of	of
Trump	trump	Trump
was	was	wa
sloppy	sloppi	sloppy
and	and	and
full	full	full
of	of	of
nonsense	nonsens	nonsense
.	.	.
On	on	On
Sunday	sunday	Sunday
morning	morn	morning
s	s	s
State	state	State
of	of	of
the	the	the
Union	union	Union
,	,	,
Tapper	tapper	Tapper
played	play	played
the	the	the
now	now	now
infamous	infam	infamous
tape	tape	tape
of	of	of
Trump	trump	Trump
impersonating	imperson	impersonating
his	his	his
own	own	own
PR	pr	PR
guy	guy	guy
,	,	,
and	and	and
then	then	then
asked	ask	asked
campaign	campaign	campaign
manager	manag	manager
Paul	paul	Paul
Manafort	manafort	Manafort
if	if	if
the	the	the
campaign	campaign	campaign
is	is	is
seriously	serious	seriously
claiming	claim	claiming
that	that	that
wasn	wasn	wasn
t	t	t
Mr	mr	Mr
.	.	.
Trump	trump	Trump
?	?	?
Manafort	manafort	Manafort
stuck	stuck	stuck
to	to	to
his	his	his
story	stori	story
but	but	but
Tapper	tapper	Tapper
pressed	press	pressed
on	on	on
and	and	and
put	put	put
Manafort	manafort	Manafort
on	on	on
the	the	the
spot	spot	spot
.	.	.
Tapper	tapper	Tapper
said	said	said
In	in	In
1990	1990	1990
under	under	under
oath	oath	oath
he	he	he
testified	testifi	testified
he	he	he
did	did	did
use	use	use
the	the	the
name	name	name
John	john	John
Barron	barron	Barron
,	,	,
and	and	and
in	in	in
1991	1991	1991
he	he	he
told	told	told
People	peopl	People
magazine	magazin	magazine
he	he	he
did	did	did
use	use	use
the	the	the
name	name	name
John	john	John
Miller	miller	Miller
so	so	so
this	this	this
has	has	ha
already	alreadi	already
been	been	been
admitted	admit	admitted
previously	previous	previously
.	.	.
I	i	I
don	don	don
t	t	t
understand	understand	understand
why	whi	why
now	now	now
.	.	.
Manafort	manafort	Manafort
then	then	then
said	said	said
,	,	,
I	i	I
don	don	don
t	t	t
know	know	know
those	those	those
facts	fact	fact
to	to	to
be	be	be
true	true	true
or	or	or
not	not	not
.	.	.
I	i	I
just	just	just
know	know	know
that	that	that
he	he	he
said	said	said
it	it	it
s	s	s
not	not	not
him	him	him
.	.	.
I	i	I
believe	believ	believe
him	him	him
.	.	.
He	he	He
then	then	then
went	went	went
on	on	on
in	in	in
an	an	an
attempt	attempt	attempt
to	to	to
change	chang	change
the	the	the
subject	subject	subject
,	,	,
citing	cite	citing
what	what	what
he	he	he
said	said	said
was	was	wa
the	the	the
lack	lack	lack
of	of	of
importance	import	importance
of	of	of
the	the	the
issue	issu	issue
I	i	I
don	don	don
t	t	t
even	even	even
know	know	know
the	the	the
relevance	relev	relevance
of	of	of
this	this	this
frankly	frank	frankly
.	.	.
It	it	It
s	s	s
25	25	25
years	year	year
old	old	old
and	and	and
they	they	they
re	re	re
not	not	not
dealing	deal	dealing
with	with	with
the	the	the
issues	issu	issue
that	that	that
Trump	trump	Trump
is	is	is
trying	tri	trying
to	to	to
focus	focus	focus
on	on	on
today	today	today
.	.	.
Jobs	job	Jobs
,	,	,
terrorism	terror	terrorism
,	,	,
immigration	immigr	immigration
problems	problem	problem
.	.	.
These	these	These
are	are	are
the	the	the
issues	issu	issue
we	we	we
should	should	should
be	be	be
talking	talk	talking
about	about	about
.	.	.
Why	whi	Why
the	the	the
media	media	medium
is	is	is
spending	spend	spending
so	so	so
much	much	much
time	time	time
going	go	going
by	by	by
25	25	25
years	year	year
,	,	,
talking	talk	talking
about	about	about
People	peopl	People
magazine	magazin	magazine
on	on	on
a	a	a
tape	tape	tape
that	that	that
may	may	may
or	or	or
may	may	may
not	not	not
be	be	be
Trump	trump	Trump
.	.	.
But	but	But
Tapper	tapper	Tapper
wasn	wasn	wasn
t	t	t
having	have	having
it	it	it
,	,	,
and	and	and
he	he	he
explained	explain	explained
the	the	the
relevance	relev	relevance
of	of	of
the	the	the
story	stori	story
to	to	to
Manafort	manafort	Manafort
.	.	.
Here	here	Here
s	s	s
what	what	what
he	he	he
said	said	said
This	this	This
issue	issu	issue
is	is	is
here	here	here
you	you	you
have	have	have
a	a	a
man	man	man
who	who	who
in	in	in
his	his	his
40	40	40
s	s	s
allegedly	alleg	allegedly
is	is	is
his	his	his
own	own	own
public	public	public
relations	relat	relation
agent	agent	agent
,	,	,
bragging	brag	bragging
about	about	about
his	his	his
exploits	exploit	exploit
with	with	with
women	women	woman
while	while	while
married	marri	married
to	to	to
Ivana	ivana	Ivana
Trump	trump	Trump
,	,	,
the	the	the
mother	mother	mother
of	of	of
his	his	his
three	three	three
children	children	child
and	and	and
speaks	speak	speaks
to	to	to
a	a	a
certain	certain	certain
kind	kind	kind
of	of	of
character	charact	character
issue	issu	issue
don	don	don
t	t	t
you	you	you
think	think	think
?	?	?
Indeed	inde	Indeed
,	,	,
the	the	the
character	charact	character
flaws	flaw	flaw
here	here	here
are	are	are
tremendous	tremend	tremendous
.	.	.
The	the	The
lies	lie	lie
along	along	along
with	with	with
the	the	the
alleged	alleg	alleged
betrayal	betray	betrayal
of	of	of
his	his	his
wife	wife	wife
and	and	and
his	his	his
disgusting	disgust	disgusting
talk	talk	talk
about	about	about
women	women	woman
should	should	should
all	all	all
be	be	be
taken	taken	taken
as	as	a
important	import	important
issues	issu	issue
,	,	,
especially	especi	especially
since	sinc	since
Trump	trump	Trump
is	is	is
trying	tri	trying
to	to	to
become	becom	become
president	presid	president
.	.	.
Let	let	Let
s	s	s
hope	hope	hope
it	it	it
never	never	never
comes	come	come
to	to	to
that	that	that
scenario	scenario	scenario
.	.	.
Watch	watch	Watch
video	video	video
here	here	here
on	on	on
mediaite	mediait	mediaite
.	.	.
comFeatured	comfeatur	comFeatured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
