Donald	donald	Donald
Trump	trump	Trump
is	is	is
in	in	in
deep	deep	deep
sh	sh	sh
t	t	t
because	becaus	because
he	he	he
refuses	refus	refuse
to	to	to
apologize	apolog	apologize
for	for	for
sexist	sexist	sexist
remarks	remark	remark
he	he	he
made	made	made
about	about	about
a	a	a
Miss	miss	Miss
Universe	univers	Universe
contestant	contest	contestant
.	.	.
During	dure	During
the	the	the
presidential	presidenti	presidential
debate	debat	debate
on	on	on
Monday	monday	Monday
night	night	night
,	,	,
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
took	took	took
serious	serious	serious
flack	flack	flack
for	for	for
fat	fat	fat
-shaming	-shame	-shaming
Miss	miss	Miss
Universe	univers	Universe
contestant	contest	contestant
Alicia	alicia	Alicia
Machado	machado	Machado
just	just	just
because	becaus	because
she	she	she
didn	didn	didn
t	t	t
conform	conform	conform
to	to	to
Trump	trump	Trump
s	s	s
beauty	beauti	beauty
standards	standard	standard
for	for	for
women	women	woman
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
took	took	took
Trump	trump	Trump
to	to	to
task	task	task
,	,	,
informing	inform	informing
him	him	him
that	that	that
Machado	machado	Machado
has	has	ha
a	a	a
name	name	name
and	and	and
is	is	is
going	go	going
to	to	to
vote	vote	vote
in	in	in
this	this	this
election	elect	election
as	as	a
are	are	are
millions	million	million
of	of	of
other	other	other
women	women	woman
across	across	across
the	the	the
country	countri	country
who	who	who
also	also	also
don	don	don
t	t	t
appreciate	appreci	appreciate
how	how	how
he	he	he
has	has	ha
treated	treat	treated
women	women	woman
.	.	.
On	on	On
Tuesday	tuesday	Tuesday
,	,	,
after	after	after
Trump	trump	Trump
continued	continu	continued
to	to	to
insult	insult	insult
Machado	machado	Machado
on	on	on
Fox	fox	Fox
Friends	friend	Friends
,	,	,
the	the	the
ladies	ladi	lady
of	of	of
The	the	The
View	view	View
discussed	discuss	discussed
his	his	his
remarks	remark	remark
and	and	and
refusal	refus	refusal
to	to	to
apologize	apolog	apologize
,	,	,
and	and	and
even	even	even
conservative	conserv	conservative
panelist	panelist	panelist
Jedediah	jedediah	Jedediah
Bila	bila	Bila
was	was	wa
disgusted	disgust	disgusted
by	by	by
his	his	his
behavior	behavior	behavior
.	.	.
Now	now	Now
this	this	this
guy	guy	guy
doesn	doesn	doesn
t	t	t
know	know	know
how	how	how
to	to	to
apologize	apolog	apologize
it	it	it
seems	seem	seems
,	,	,
because	becaus	because
this	this	this
happened	happen	happened
a	a	a
long	long	long
time	time	time
ago	ago	ago
and	and	and
everybody	everybodi	everybody
has	has	ha
a	a	a
past	past	past
and	and	and
all	all	all
of	of	of
us	us	u
have	have	have
said	said	said
things	thing	thing
that	that	that
maybe	mayb	maybe
we	we	we
sit	sit	sit
and	and	and
say	say	say
I	i	I
regret	regret	regret
it	it	it
,	,	,
the	the	the
Fox	fox	Fox
host	host	host
began	began	began
.	.	.
It	it	It
s	s	s
seems	seem	seems
though	though	though
he	he	he
doesn	doesn	doesn
t	t	t
regret	regret	regret
it	it	it
,	,	,
because	becaus	because
the	the	the
comment	comment	comment
here	here	here
,	,	,
the	the	the
only	onli	only
acceptable	accept	acceptable
remark	remark	remark
is	is	is
,	,	,
You	you	You
know	know	know
what	what	what
?	?	?
That	that	That
was	was	wa
a	a	a
long	long	long
time	time	time
ago	ago	ago
when	when	when
I	i	I
was	was	wa
a	a	a
different	differ	different
man	man	man
and	and	and
I	i	I
m	m	m
sorry	sorri	sorry
.	.	.
I	i	I
