Anyone	anyon	Anyone
watching	watch	watching
Monday	monday	Monday
night	night	night
s	s	s
highly	high	highly
charged	charg	charged
presidential	presidenti	presidential
debate	debat	debate
between	between	between
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
Donald	donald	Donald
Trump	trump	Trump
knows	know	know
that	that	that
Hillary	hillari	Hillary
cleaned	clean	cleaned
Trump	trump	Trump
s	s	s
clock	clock	clock
.	.	.

Of	of	Of
course	cours	course
,	,	,
Trump	trump	Trump
s	s	s
ego	ego	ego
will	will	will
never	never	never
let	let	let
him	him	him
admit	admit	admit
that	that	that
he	he	he
lost	lost	lost
to	to	to
Hillary	hillari	Hillary
,	,	,
so	so	so
his	his	his
surrogates	surrog	surrogate
are	are	are
already	alreadi	already
being	be	being
deployed	deploy	deployed
all	all	all
over	over	over
the	the	the
place	place	place
to	to	to
spin	spin	spin
his	his	his
embarrassingly	embarrass	embarrassingly
terrible	terribl	terrible
debate	debat	debate
performance	perform	performance
into	into	into
something	someth	something
positive	posit	positive
.	.	.

The	the	The
verbal	verbal	verbal
gymnastics	gymnast	gymnastics
there	there	there
are	are	are
astounding	astound	astounding
,	,	,
but	but	but
of	of	of
course	cours	course
these	these	these
people	peopl	people
are	are	are
Donald	donald	Donald
Trump	trump	Trump
surrogates	surrog	surrogate
,	,	,
so	so	so
they	they	they
are	are	are
used	use	used
to	to	to
spinning	spin	spinning
faster	faster	faster
than	than	than
the	the	the
head	head	head
of	of	of
the	the	the
girl	girl	girl
in	in	in
The	the	The
Exorcist	exorcist	Exorcist
.	.	.

One	one	One
Trump	trump	Trump
surrogate	surrog	surrogate
,	,	,
former	former	former
New	new	New
York	york	York
City	citi	City
mayor	mayor	mayor
Rudy	rudi	Rudy
Giuliani	giuliani	Giuliani
,	,	,
is	is	is
taking	take	taking
things	thing	thing
a	a	a
step	step	step
further	further	further
,	,	,
though	though	though
,	,	,
and	and	and
trying	tri	trying
to	to	to
float	float	float
the	the	the
idea	idea	idea
that	that	that
Trump	trump	Trump
should	should	should
