On	on	On
January	januari	January
17	17	17
,	,	,
Dallas	dalla	Dallas
News	news	News
published	publish	published
a	a	a
copy	copi	copy
of	of	of
Ted	ted	Ted
Cruz	cruz	Cruz
s	s	s
birth	birth	birth
certificate	certif	certificate
.	.	.
The	the	The
fact	fact	fact
that	that	that
the	the	the
Republican	republican	Republican
presidential	presidenti	presidential
hopeful	hope	hopeful
was	was	wa
born	born	born
in	in	in
Canada	canada	Canada
is	is	is
really	realli	really
no	no	no
big	big	big
surprise	surpris	surprise
to	to	to
anyone	anyon	anyone
who	who	who
has	has	ha
been	been	been
following	follow	following
the	the	the
Trump	trump	Trump
Cruz	cruz	Cruz
birther	birther	birther
frenzy	frenzi	frenzy
.	.	.
While	while	While
Cruz	cruz	Cruz
s	s	s
Canadian	canadian	Canadian
birth	birth	birth
is	is	is
not	not	not
a	a	a
surprise	surpris	surprise
,	,	,
the	the	the
fact	fact	fact
that	that	that
his	his	his
mother	mother	mother
is	is	is
identified	identifi	identified
as	as	a
Eleanor	eleanor	Eleanor
Wilson	wilson	Wilson
on	on	on
the	the	the
candidate	candid	candidate
s	s	s
birth	birth	birth
certificate	certif	certificate
,	,	,
rather	rather	rather
than	than	than
Eleanor	eleanor	Eleanor
Cruz	cruz	Cruz
,	,	,
is	is	is
.	.	.
According	accord	According
to	to	to
Dallas	dalla	Dallas
News	news	News
,	,	,
Wilson	wilson	Wilson
was	was	wa
the	the	the
name	name	name
of	of	of
Cruz	cruz	Cruz
s	s	s
mother	mother	mother
s	s	s
first	first	first
husband	husband	husband
.	.	.
The	the	The
couple	coupl	couple
had	had	had
been	been	been
divorced	divorc	divorced
for	for	for
about	about	about
seven	seven	seven
years	year	year
at	at	at
the	the	the
time	time	time
Cruz	cruz	Cruz
was	was	wa
born	born	born
.	.	.
It	it	It
gets	get	get
even	even	even
more	more	more
interesting	interest	interesting
when	when	when
you	you	you
learn	learn	learn
that	that	that
the	the	the
former	former	former
Ms	ms	Ms
.	.	.
Wilson	wilson	Wilson
gave	gave	gave
birth	birth	birth
to	to	to
another	anoth	another
child	child	child
,	,	,
Michael	michael	Michael
,	,	,
approximately	approxim	approximately
three	three	three
years	year	year
after	after	after
her	her	her
