Most	most	Most
of	of	of
us	us	u
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
are	are	are
well	well	well
aware	awar	aware
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
extreme	extrem	extreme
obsession	obsess	obsession
with	with	with
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
,	,	,
but	but	but
now	now	now
we	we	we
know	know	know
that	that	that
foreign	foreign	foreign
diplomats	diplomat	diplomat
are	are	are
privy	privi	privy
to	to	to
that	that	that
,	,	,
too	too	too
.	.	.
Top	top	Top
-ranking	-rank	-ranking
European	european	European
officials	offici	official
,	,	,
speaking	speak	speaking
on	on	on
the	the	the
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
,	,	,
told	told	told
BuzzFeed	buzzfe	BuzzFeed
News	news	News
what	what	what
they	they	they
think	think	think
of	of	of
Trump	trump	Trump
and	and	and
what	what	what
their	their	their
chief	chief	chief
concerns	concern	concern
were	were	were
.	.	.
Trump	trump	Trump
s	s	s
erratic	errat	erratic
and	and	and
unpredictable	unpredict	unpredictable
Twitter	twitter	Twitter
use	use	use
was	was	wa
brought	brought	brought
up	up	up
as	as	a
well	well	well
.	.	.
Also	also	Also
discussed	discuss	discussed
was	was	wa
Trump	trump	Trump
s	s	s
lack	lack	lack
of	of	of
a	a	a
strong	strong	strong
,	,	,
experienced	experienc	experienced
team	team	team
around	around	around
him	him	him
.	.	.
In	in	In
total	total	total
,	,	,
six	six	six
top	top	top
European	european	European
government	govern	government
officials	offici	official
who	who	who
ve	ve	ve
had	had	had
firsthand	firsthand	firsthand
dealings	deal	dealing
on	on	on
the	the	the
international	intern	international
stage	stage	stage
with	with	with
Trump	trump	Trump
and	and	and
his	his	his
administration	administr	administration
were	were	were
interviewed	interview	interviewed
by	by	by
BuzzFeed	buzzfe	BuzzFeed
and	and	and
their	their	their
views	view	view
are	are	are
consistent	consist	consistent
.	.	.
At	at	At
international	intern	international
gatherings	gather	gathering
,	,	,
Trump	trump	Trump
is	is	is
described	describ	described
as	as	a
something	someth	something
of	of	of
a	a	a
laughing	laugh	laughing
stock	stock	stock
.	.	.
Trump	trump	Trump
could	could	could
send	send	send
a	a	a
tweet	tweet	tweet
in	in	in
the	the	the
middle	middl	middle
of	of	of
the	the	the
night	night	night
pissing	piss	pissing
off	off	off
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
.	.	.
And	and	And
the	the	the
next	next	next
morning	morn	morning
we	we	we
wake	wake	wake
up	up	up
to	to	to
a	a	a
world	world	world
on	on	on
the	the	the
brink	brink	brink
of	of	of
war	war	war
,	,	,
one	one	one
diplomat	diplomat	diplomat
said	said	said
.	.	.
That	that	That
observation	observ	observation
was	was	wa
made	made	made
before	befor	before
Trump	trump	Trump
tried	tri	tried
to	to	to
start	start	start
a	a	a
nuclear	nuclear	nuclear
war	war	war
on	on	on
Twitter	twitter	Twitter
so	so	so
we	we	we
can	can	can
only	onli	only
