Holy	holi	Holy
smokes	smoke	smoke
!	!	!
That	that	That
s	s	s
billion	billion	billion
with	with	with
a	a	a
B	b	B
!	!	!
Where	where	Where
did	did	did
all	all	all
the	the	the
money	money	money
go	go	go
?	?	?
!	!	!
Hummmm	hummmm	Hummmm
The	the	The
city	citi	city
of	of	of
Baltimore	baltimor	Baltimore
received	receiv	received
over	over	over
1	1	1
.	.	.
8	8	8
billion	billion	billion
from	from	from
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
s	s	s
stimulus	stimulus	stimulus
law	law	law
,	,	,
including	includ	including
467	467	467
.	.	.
1	1	1
million	million	million
to	to	to
invest	invest	invest
in	in	in
education	educ	education
and	and	and
26	26	26
.	.	.
5	5	5
million	million	million
for	for	for
crime	crime	crime
prevention	prevent	prevention
.	.	.
President	presid	President
Obama	obama	Obama
claimed	claim	claimed
last	last	last
Tuesday	tuesday	Tuesday
that	that	that
if	if	if
the	the	the
Republican	republican	Republican
-controlled	-control	-controlled
Congress	congress	Congress
would	would	would
implement	implement	implement
his	his	his
policies	polici	policy
to	to	to
make	make	make
massive	massiv	massive
investments	invest	investment
in	in	in
urban	urban	urban
communities	communiti	community
,	,	,
they	they	they
could	could	could
make	make	make
a	a	a
difference	differ	difference
right	right	right
now	now	now
in	in	in
the	the	the
city	citi	city
,	,	,
currently	current	currently
in	in	in
upheaval	upheav	upheaval
following	follow	following
the	the	the
death	death	death
of	of	of
Freddie	freddi	Freddie
Gray	gray	Gray
.	.	.
However	howev	However
,	,	,
a	a	a
Washington	washington	Washington
Free	free	Free
Beacon	beacon	Beacon
analysis	analysi	analysis
found	found	found
that	that	that
the	the	the
Obama	obama	Obama
administration	administr	administration
and	and	and
Democratically	democrat	Democratically
-controlled	-control	-controlled
Congress	congress	Congress
did	did	did
make	make	make
a	a	a
massive	massiv	massive
investment	invest	investment
into	into	into
Baltimore	baltimor	Baltimore
,	,	,
appropriating	appropri	appropriating
1	1	1
,	,	,
831	831	831
,	,	,
768	768	768
,	,	,
487	487	487
though	though	though
the	the	the
American	american	American
Recovery	recoveri	Recovery
and	and	and
Reinvestment	reinvest	Reinvestment
Act	act	Act
ARRA	arra	ARRA
,	,	,
commonly	common	commonly
known	known	known
as	as	a
the	the	the
stimulus	stimulus	stimulus
.	.	.
According	accord	According
to	to	to
Recovery	recoveri	Recovery
.	.	.
gov	gov	gov
,	,	,
one	one	one
of	of	of
Baltimore	baltimor	Baltimore
s	s	s
central	central	central
ZIP	zip	ZIP
codes	code	code
,	,	,
21201	21201	21201
,	,	,
received	receiv	received
the	the	the
most	most	most
stimulus	stimulus	stimulus
funding	fund	funding
in	in	in
the	the	the
city	citi	city
,	,	,
a	a	a
total	total	total
of	of	of
837	837	837
,	,	,
955	955	955
,	,	,
866	866	866
.	.	.
The	the	The
amount	amount	amount
included	includ	included
funding	fund	funding
for	for	for
276	276	276
awards	award	award
,	,	,
and	and	and
the	the	the
website	websit	website
reports	report	report
that	that	that
the	the	the
spending	spend	spending
had	had	had
created	creat	created
290	290	290
jobs	job	job
in	in	in
the	the	the
fourth	fourth	fourth
quarter	quarter	quarter
in	in	in
2013	2013	2013
.	.	.
Of	of	Of
this	this	this
amount	amount	amount
,	,	,
467	467	467
.	.	.
1	1	1
million	million	million
went	went	went
to	to	to
education	educ	education
;	;	;
206	206	206
.	.	.
1	1	1
million	million	million
to	to	to
the	the	the
environment	environ	environment
;	;	;
24	24	24
million	million	million
to	to	to
family	famili	family
;	;	;
16	16	16
.	.	.
1	1	1
million	million	million
to	to	to
infrastructure	infrastructur	infrastructure
;	;	;
15	15	15
.	.	.
2	2	2
million	million	million
to	to	to
transportation	transport	transportation
;	;	;
11	11	11
.	.	.
9	9	9
million	million	million
to	to	to
housing	hous	housing
;	;	;
and	and	and
3	3	3
.	.	.
1	1	1
million	million	million
to	to	to
job	job	job
training	train	training
.	.	.
ZIP	zip	ZIP
code	code	code
21202	21202	21202
received	receiv	received
425	425	425
,	,	,
170	170	170
,	,	,
937	937	937
,	,	,
including	includ	including
a	a	a
136	136	136
million	million	million
grant	grant	grant
to	to	to
improve	improv	improve
teaching	teach	teaching
and	and	and
learning	learn	learning
for	for	for
students	student	student
most	most	most
at	at	at
risk	risk	risk
of	of	of
failing	fail	failing
to	to	to
meet	meet	meet
State	state	State
academic	academ	academic
achievement	achiev	achievement
standards	standard	standard
.	.	.
Twenty	twenti	Twenty
-nine	-nine	-nine
other	other	other
ZIP	zip	ZIP
codes	code	code
listed	list	listed
in	in	in
Baltimore	baltimor	Baltimore
city	citi	city
received	receiv	received
a	a	a
total	total	total
of	of	of
568	568	568
,	,	,
641	641	641
,	,	,
684	684	684
.	.	.
The	the	The
Free	free	Free
Beacon	beacon	Beacon
calculated	calcul	calculated
the	the	the
total	total	total
amount	amount	amount
of	of	of
stimulus	stimulus	stimulus
funds	fund	fund
disbursed	disburs	disbursed
to	to	to
all	all	all
ZIP	zip	ZIP
codes	code	code
in	in	in
Baltimore	baltimor	Baltimore
City	citi	City
,	,	,
as	as	a
reported	report	reported
on	on	on
the	the	the
stimulus	stimulus	stimulus
website	websit	website
Recovery	recoveri	Recovery
.	.	.
gov	gov	gov
.	.	.
The	the	The
analysis	analysi	analysis
includes	includ	includes
the	the	the
totals	total	total
of	of	of
awards	award	award
to	to	to
prime	prime	prime
recipients	recipi	recipient
in	in	in
Baltimore	baltimor	Baltimore
,	,	,
plus	plus	plus
sub	sub	sub
-recipient	-recipi	-recipient
awards	award	award
to	to	to
Baltimore	baltimor	Baltimore
organizations	organ	organization
and	and	and
companies	compani	company
that	that	that
conducted	conduct	conducted
stimulus	stimulus	stimulus
projects	project	project
located	locat	located
outside	outsid	outside
the	the	the
city	citi	city
.	.	.
The	the	The
projects	project	project
included	includ	included
26	26	26
.	.	.
5	5	5
million	million	million
from	from	from
the	the	the
Justice	justic	Justice
Department	depart	Department
DOJ	doj	DOJ
to	to	to
combat	combat	combat
gang	gang	gang
activity	activ	activity
and	and	and
provide	provid	provide
community	communiti	community
support	support	support
for	for	for
at	at	at
-risk	-risk	-risk
juveniles	juvenil	juvenile
.	.	.
The	the	The
State	state	State
of	of	of
MD	md	MD
Governor	governor	Governor
s	s	s
Office	offic	Office
of	of	of
Crime	crime	Crime
Control	control	Control
Prevention	prevent	Prevention
GOCCP	goccp	GOCCP
goals	goal	goal
and	and	and
objectives	object	objective
of	of	of
this	this	this
project	project	project
are	are	are
to	to	to
create	creat	create
and	and	and
retain	retain	retain
jobs	job	job
to	to	to
bolster	bolster	bolster
Maryland	maryland	Maryland
s	s	s
faltering	falter	faltering
economy	economi	economy
,	,	,
and	and	and
make	make	make
resources	resourc	resource
available	avail	available
to	to	to
law	law	law
enforcement	enforc	enforcement
and	and	and
other	other	other
public	public	public
safety	safeti	safety
agencies	agenc	agency
to	to	to
help	help	help
protect	protect	protect
Maryland	maryland	Maryland
citizens	citizen	citizen
,	,	,
the	the	the
project	project	project
s	s	s
description	descript	description
states	state	state
.	.	.
Read	read	Read
more	more	more
WFB	wfb	WFB
