What	what	What
the	the	the
heck	heck	heck
!	!	!

Senator	senat	Senator
John	john	John
McCain	mccain	McCain
just	just	just
admitted	admit	admitted
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
answer	answer	answer
to	to	to
President	presid	President
Trump	trump	Trump
!	!	!

Can	can	Can
you	you	you
imagine	imagin	imagine
if	if	if
a	a	a
Senator	senat	Senator
had	had	had
done	done	done
this	this	this
to	to	to
Obama	obama	Obama
?	?	?

McCain	mccain	McCain
s	s	s
OpEd	ope	OpEd
in	in	in
The	the	The
Washington	washington	Washington
Post	post	Post
is	is	is
a	a	a
horrible	horribl	horrible
hit	hit	hit
on	on	on
Trump	trump	Trump
.	.	.

Shame	shame	Shame
on	on	on
him	him	him
!	!	!
It	it	It
starts	start	start
out	out	out
with	with	with
a	a	a
statement	statement	statement
about	about	about
how	how	how
horrible	horribl	horrible
the	the	the
white	white	white
supremacists	supremacist	supremacist
are	are	are
and	and	and
then	then	then
goes	goe	go
on	on	on
to	to	to
discuss	discuss	discus
Congress	congress	Congress
getting	get	getting
back	back	back
to	to	to
order	order	order
.	.	.

It	it	It
s	s	s
a	a	a
snoozer	snoozer	snoozer
of	of	of
an	an	an
OpEd	ope	OpEd
until	until	until
you	you	you
get	get	get
to	to	to
the	the	the
last	last	last
part	part	part
In	in	In
a	a	a
shocking	shock	shocking
slam	slam	slam
on	on	on
President	presid	President
Trump	trump	Trump
s	s	s
character	charact	character
and	and	and
knowledge	knowledg	knowledge
of	of	of
government	govern	government
,	,	,
McCain	mccain	McCain
shows	show	show
his	his	his
bitterness	bitter	bitterness
towards	toward	towards
Trump	trump	Trump
.	.	.

He	he	He
claims	claim	claim
that	that	that
,	,	,
We	we	We
don	don	don
t	t	t
answer	answer	answer
to	to	to
him	him	him
but	but	but
also	also	also
say	say	say
that	that	that
,	,	,
We	we	We
must	must	must
respect	respect	respect
his	his	his
authority	author	authority
WTH	wth	WTH
!	!	!
MCCAIN	mccain	MCCAIN
IT	it	IT
S	s	S
TIME	time	TIME
CONGRESS	congress	CONGRESS
RETURNS	return	RETURNS
TO	to	TO
REGULAR	regular	REGULAR
ORDER	order	ORDER
We	we	We
can	can	can
fight	fight	fight
like	like	like
hell	hell	hell
for	for	for
our	our	our
ideas	idea	idea
to	to	to
prevail	prevail	prevail
.	.	.

But	but	But
we	we	we
have	have	have
to	to	to
respect	respect	respect
each	each	each
other	other	other
or	or	or
at	at	at
least	least	least
respect	respect	respect
the	the	the
fact	fact	fact
that	that	that
we	we	we
need	need	need
each	each	each
other	other	other
.	.	.
That	that	That
has	has	ha
never	never	never
been	been	been
truer	truer	truer
than	than	than
today	today	today
,	,	,
when	when	when
Congress	congress	Congress
must	must	must
govern	govern	govern
with	with	with
a	a	a
president	presid	president
who	who	who
has	has	ha
no	no	no
experience	experi	experience
of	of	of
public	public	public
office	offic	office
,	,	,
is	is	is
often	often	often
poorly	poor	poorly
informed	inform	informed
and	and	and
can	can	can
be	be	be
impulsive	impuls	impulsive
in	in	in
his	his	his
speech	speech	speech
and	and	and
conduct	conduct	conduct
.	.	.
We	we	We
must	must	must
respect	respect	respect
his	his	his
authority	author	authority
and	and	and
constitutional	constitut	constitutional
responsibilities	respons	responsibility
.	.	.

We	we	We
must	must	must
,	,	,
where	where	where
we	we	we
can	can	can
,	,	,
cooperate	cooper	cooperate
with	with	with
him	him	him
.	.	.

But	but	But
we	we	we
are	are	are
not	not	not
his	his	his
subordinates	subordin	subordinate
.	.	.

We	we	We
don	don	don
t	t	t
answer	answer	answer
to	to	to
him	him	him
.	.	.

We	we	We
answer	answer	answer
to	to	to
the	the	the
American	american	American
people	peopl	people
.	.	.

We	we	We
