It	it	It
can	can	can
easily	easili	easily
be	be	be
said	said	said
that	that	that
Donald	donald	Donald
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
have	have	have
a	a	a
clue	clue	clue
what	what	what
he	he	he
is	is	is
doing	do	doing
.	.	.
He	he	He
hears	hear	hears
things	thing	thing
in	in	in
clips	clip	clip
and	and	and
talking	talk	talking
points	point	point
,	,	,
and	and	and
then	then	then
spews	spew	spews
them	them	them
out	out	out
to	to	to
the	the	the
world	world	world
,	,	,
usually	usual	usually
via	via	via
Twitter	twitter	Twitter
,	,	,
without	without	without
thinking	think	thinking
about	about	about
the	the	the
weight	weight	weight
of	of	of
his	his	his
actions	action	action
.	.	.
One	one	One
of	of	of
the	the	the
things	thing	thing
Trump	trump	Trump
has	has	ha
been	been	been
hung	hung	hung
up	up	up
on	on	on
lately	late	lately
is	is	is
Canada	canada	Canada
taking	take	taking
control	control	control
of	of	of
their	their	their
dairy	dairi	dairy
.	.	.
According	accord	According
to	to	to
Business	busi	Business
Insider	insid	Insider
Last	last	Last
year	year	year
,	,	,
Canada	canada	Canada
implemented	implement	implemented
a	a	a
policy	polici	policy
that	that	that
created	creat	created
a	a	a
new	new	new
class	class	class
of	of	of
milk	milk	milk
prices	price	price
for	for	for
ultra	ultra	ultra
-filtered	-filter	-filtered
milk	milk	milk
,	,	,
a	a	a
liquid	liquid	liquid
,	,	,
high	high	high
-protein	-protein	-protein
concentrate	concentr	concentrate
sometimes	sometim	sometimes
used	use	used
to	to	to
make	make	make
products	product	product
such	such	such
as	as	a
cheese	chees	cheese
and	and	and
yogurt	yogurt	yogurt
.	.	.
Canada	canada	Canada
lowered	lower	lowered
the	the	the
prices	price	price
for	for	for
this	this	this
milk	milk	milk
class	class	class
,	,	,
so	so	so
as	as	a
to	to	to
incentivize	incentiv	incentivize
domestic	domest	domestic
ultra	ultra	ultra
-filtered	-filter	-filtered
milk	milk	milk
and	and	and
better	better	better
compete	compet	compete
with	with	with
the	the	the
US	us	US
-produced	-produc	-produced
imports	import	import
.	.	.
How	how	How
dare	dare	dare
they	they	they
,	,	,
right	right	right
?	?	?
The	the	The
United	unit	United
States	state	States
should	should	should
not	not	not
only	onli	only
legislate	legisl	legislate
in	in	in
their	their	their
own	own	own
country	countri	country
regarding	regard	regarding
the	the	the
market	market	market
but	but	but
also	also	also
around	around	around
the	the	the
world	world	world
.	.	.
At	at	At
least	least	least
that	that	that
s	s	s
what	what	what
Trump	trump	Trump
seems	seem	seems
to	to	to
think	think	think
.	.	.
So	so	So
Trump	trump	Trump
,	,	,
trying	tri	trying
to	to	to
puff	puff	puff
his	his	his
chest	chest	chest
and	and	and
seem	seem	seem
like	like	like
he	he	he
s	s	s
a	a	a
tough	tough	tough
guy	guy	guy
,	,	,
tweets	tweet	tweet
out	out	out
Canada	canada	Canada
has	has	ha
made	made	made
business	busi	business
for	for	for
our	our	our
dairy	dairi	dairy
farmers	farmer	farmer
in	in	in
Wisconsin	wisconsin	Wisconsin
and	and	and
other	other	other
border	border	border
states	state	state
very	veri	very
difficult	difficult	difficult
.	.	.
We	we	We
will	will	will
not	not	not
stand	stand	stand
for	for	for
this	this	this
.	.	.
Watch	watch	Watch
!	!	!
Canada	canada	Canada
has	has	ha
made	made	made
business	busi	business
for	for	for
our	our	our
dairy	dairi	dairy
farmers	farmer	farmer
in	in	in
Wisconsin	wisconsin	Wisconsin
and	and	and
other	other	other
border	border	border
states	state	state
very	veri	very
difficult	difficult	difficult
.	.	.
We	we	We
will	will	will
not	not	not
stand	stand	stand
for	for	for
this	this	this
.	.	.
Watch	watch	Watch
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
April	april	April
25	25	25
,	,	,
2017Here	2017here	2017Here
s	s	s
the	the	the
thing	thing	thing
about	about	about
that	that	that
statement	statement	statement
,	,	,
besides	besid	besides
being	be	being
inflammatory	inflammatori	inflammatory
and	and	and
going	go	going
after	after	after
one	one	one
of	of	of
our	our	our
nearest	nearest	nearest
and	and	and
dearest	dearest	dearest
allies	alli	ally
,	,	,
Wisconsin	wisconsin	Wisconsin
doesn	doesn	doesn
t	t	t
fall	fall	fall
on	on	on
the	the	the
Canadian	canadian	Canadian
border	border	border
with	with	with
the	the	the
United	unit	United
States	state	States
.	.	.
Here	here	Here
s	s	s
a	a	a
map	map	map
of	of	of
Wisconsin	wisconsin	Wisconsin
,	,	,
the	the	the
surrounding	surround	surrounding
states	state	state
,	,	,
and	and	and
the	the	the
Canadian	canadian	Canadian
border	border	border
.	.	.
As	as	As
you	you	you
see	see	see
,	,	,
Wisconsin	wisconsin	Wisconsin
isn	isn	isn
t	t	t
a	a	a
border	border	border
state	state	state
via	via	via
Google	googl	Google
MapsNot	mapsnot	MapsNot
only	onli	only
is	is	is
Trump	trump	Trump
going	go	going
after	after	after
Canada	canada	Canada
for	for	for
a	a	a
reason	reason	reason
he	he	he
really	realli	really
shouldn	shouldn	shouldn
t	t	t
be	be	be
,	,	,
but	but	but
he	he	he
also	also	also
apparently	appar	apparently
needs	need	need
a	a	a
map	map	map
.	.	.
Will	will	Will
someone	someon	someone
please	pleas	please
get	get	get
on	on	on
that	that	that
?	?	?
!	!	!
Featured	featur	Featured
image	imag	image
via	via	via
Getty	getti	Getty
Images	imag	Images
