Ahead	ahead	Ahead
of	of	of
tomorrow	tomorrow	tomorrow
night	night	night
s	s	s
debates	debat	debate
,	,	,
where	where	where
Hillary	hillari	Hillary
will	will	will
have	have	have
an	an	an
abundance	abund	abundance
of	of	of
facts	fact	fact
,	,	,
figures	figur	figure
,	,	,
experience	experi	experience
and	and	and
knowledge	knowledg	knowledge
at	at	at
her	her	her
disposal	dispos	disposal
while	while	while
Trump	trump	Trump
will	will	will
only	onli	only
have	have	have
misogynistic	misogynist	misogynistic
insults	insult	insult
and	and	and
outright	outright	outright
lies	lie	lie
at	at	at
his	his	his
,	,	,
a	a	a
Fox	fox	Fox
host	host	host
is	is	is
complaining	complain	complaining
that	that	that
television	televis	television
is	is	is
home	home	home
to	to	to
reverse	revers	reverse
sexism	sexism	sexism
.	.	.

Why	whi	Why
?	?	?
Because	becaus	Because
men	men	men
can	can	can
t	t	t
condescend	condescend	condescend
to	to	to
women	women	woman
on	on	on
TV	tv	TV
,	,	,
and	and	and
that	that	that
s	s	s
just	just	just
not	not	not
fair	fair	fair
.	.	.
Wah	wah	Wah
wah	wah	wah
wah	wah	wah
someone	someon	someone
bring	bring	bring
the	the	the
guy	guy	guy
a	a	a
tissue	tissu	tissue
before	befor	before
he	he	he
blows	blow	blow
his	his	his
nose	nose	nose
all	all	all
over	over	over
the	the	the
women	women	woman
he	he	he
s	s	s
working	work	working
with	with	with
.	.	.

Bill	bill	Bill
Hemmer	hemmer	Hemmer
was	was	wa
speaking	speak	speaking
with	with	with
Jessica	jessica	Jessica
Tarlov	tarlov	Tarlov
about	about	about
the	the	the
debate	debat	debate
,	,	,
and	and	and
Tarlov	tarlov	Tarlov
said	said	said
she	she	she
feels	feel	feel
it	it	it
s	s	s
absolutely	absolut	absolutely
appropriate	appropri	appropriate
for	for	for
Hillary	hillari	Hillary
to	to	to
criticize	critic	criticize
Trump	trump	Trump
s	s	s
misogyny	misogyni	misogyny
and	and	and
racism	racism	racism
while	while	while
onstage	onstag	onstage
.	.	.

When	when	When
Tarlov	tarlov	Tarlov
began	began	began
listing	list	listing
specific	specif	specific
examples	exampl	example
of	of	of
Trump	trump	Trump
being	be	being
racist	racist	racist
and	and	and
misogynistic	misogynist	misogynistic
,	,	,
she	she	she
said	said	said
,	,	,
I	i	I
could	could	could
go	go	go
on	on	on
,	,	,
obviously	obvious	obviously
,	,	,
to	to	to
which	which	which
conservative	conserv	conservative
lobbyist	lobbyist	lobbyist
Matt	matt	Matt
Schlapp	schlapp	Schlapp
said	said	said
,	,	,
You	you	You
are	are	are
!	!	!

Hemmer	hemmer	Hemmer
cut	cut	cut
in	in	in
with	with	with
We	we	We
work	work	work
in	in	in
television	televis	television
.	.	.

And	and	And
I	i	I
ve	ve	ve
always	alway	always
thought	thought	thought
that	that	that
when	when	when
a	a	a
man	man	man
and	and	and
a	a	a
woman	woman	woman
is	is	is
on	on	on
television	televis	television
,	,	,
a	a	a
woman	woman	woman
can	can	can
be	be	be
sarcastic	sarcast	sarcastic
or	or	or
even	even	even
,	,	,
perhaps	perhap	perhaps
,	,	,
a	a	a
little	littl	little
condescending	condescend	condescending
toward	toward	toward
a	a	a
man	man	man
and	and	and
it	it	it
s	s	s
okay	okay	okay
.	.	.

But	but	But
a	a	a
