In	in	In
a	a	a
strong	strong	strong
southern	southern	southern
drawl	drawl	drawl
that	that	that
makes	make	make
his	his	his
bigotry	bigotri	bigotry
all	all	all
the	the	the
more	more	more
enraging	enrag	enraging
,	,	,
Mississippi	mississippi	Mississippi
Governor	governor	Governor
Phil	phil	Phil
Bryant	bryant	Bryant
attempted	attempt	attempted
to	to	to
defend	defend	defend
his	his	his
state	state	state
s	s	s
anti	anti	anti
-LGBT	-lgbt	-LGBT
law	law	law
by	by	by
whining	whine	whining
about	about	about
persecution	persecut	persecution
of	of	of
Christians	christian	Christians
,	,	,
which	which	which
is	is	is
something	someth	something
that	that	that
doesn	doesn	doesn
t	t	t
exist	exist	exist
.	.	.
When	when	When
Bryant	bryant	Bryant
signed	sign	signed
House	hous	House
Bill	bill	Bill
1523	1523	1523
into	into	into
law	law	law
last	last	last
month	month	month
,	,	,
Republicans	republican	Republicans
made	made	made
it	it	it
legal	legal	legal
for	for	for
Christian	christian	Christian
business	busi	business
owners	owner	owner
to	to	to
discriminate	discrimin	discriminate
against	against	against
LGBT	lgbt	LGBT
people	peopl	people
as	as	a
well	well	well
as	as	a
unmarried	unmarri	unmarried
people	peopl	people
who	who	who
have	have	have
premarital	premarit	premarital
sex	sex	sex
.	.	.
Basically	basic	Basically
,	,	,
as	as	a
long	long	long
as	as	a
these	these	these
bigoted	bigot	bigoted
business	busi	business
owners	owner	owner
use	use	use
religion	religion	religion
as	as	a
a	a	a
shield	shield	shield
they	they	they
can	can	can
discriminate	discrimin	discriminate
against	against	against
anyone	anyon	anyone
they	they	they
want	want	want
.	.	.
But	but	But
Bryant	bryant	Bryant
defended	defend	defended
the	the	the
law	law	law
during	dure	during
an	an	an
appearance	appear	appearance
on	on	on
a	a	a
religious	religi	religious
right	right	right
-wing	-wing	-wing
radio	radio	radio
show	show	show
by	by	by
openly	open	openly
whining	whine	whining
about	about	about
the	the	the
so	so	so
-called	-call	-called
persecution	persecut	persecution
of	of	of
Christians	christian	Christians
.	.	.
According	accord	According
to	to	to
Bryant	bryant	Bryant
,	,	,
Christian	christian	Christian
business	busi	business
owners	owner	owner
are	are	are
being	be	being
discriminated	discrimin	discriminated
against	against	against
when	when	when
they	they	they
are	are	are
asked	ask	asked
to	to	to
provide	provid	provide
service	servic	service
to	to	to
gay	gay	gay
people	peopl	people
or	or	or
atheists	atheist	atheist
or	or	or
anybody	anybodi	anybody
else	els	else
the	the	the
owner	owner	owner
hates	hate	hate
.	.	.
Of	of	Of
course	cours	course
,	,	,
that	that	that
s	s	s
NOT	not	NOT
discrimination	discrimin	discrimination
at	at	at
all	all	all
.	.	.
Discrimination	discrimin	Discrimination
against	against	against
a	a	a
Christian	christian	Christian
would	would	would
be	be	be
if	if	if
a	a	a
Muslim	muslim	Muslim
business	busi	business
owner	owner	owner
refused	refus	refused
to	to	to
do	do	do
business	busi	business
with	with	with
a	a	a
customer	custom	customer
simply	simpli	simply
because	becaus	because
of	of	of
their	their	their
religious	religi	religious
beliefs	belief	belief
.	.	.
Or	or	Or
if	if	if
a	a	a
gay	gay	gay
cake	cake	cake
baker	baker	baker
refused	refus	refused
to	to	to
make	make	make
a	a	a
cake	cake	cake
for	for	for
a	a	a
Christian	christian	Christian
heterosexual	heterosexu	heterosexual
couple	coupl	couple
.	.	.
If	if	If
a	a	a
customer	custom	customer
is	is	is
trying	tri	trying
to	to	to
do	do	do
business	busi	business
with	with	with
you	you	you
,	,	,
that	that	that
s	s	s
not	not	not
discrimination	discrimin	discrimination
at	at	at
all	all	all
.	.	.
It	it	It
s	s	s
a	a	a
customer	custom	customer
making	make	making
a	a	a
transaction	transact	transaction
in	in	in
good	good	good
faith	faith	faith
with	with	with
money	money	money
,	,	,
which	which	which
only	onli	only
helps	help	help
the	the	the
business	busi	business
.	.	.
Nevertheless	nevertheless	Nevertheless
,	,	,
Bryant	bryant	Bryant
thinks	think	think
the	the	the
ACLU	aclu	ACLU
is	is	is
unfairly	unfair	unfairly
suing	su	suing
the	the	the
state	state	state
because	becaus	because
he	he	he
claims	claim	claim
the	the	the
law	law	law
is	is	is
all	all	all
about	about	about
preventing	prevent	preventing
imaginary	imaginari	imaginary
discrimination	discrimin	discrimination
against	against	against
Christians	christian	Christians
and	and	and
is	is	is
not	not	not
about	about	about
discriminating	discrimin	discriminating
against	against	against
LGBT	lgbt	LGBT
people	peopl	people
at	at	at
all	all	all
.	.	.
I	i	I
mean	mean	mean
,	,	,
they	they	they
cherry	cherri	cherry
-pick	-pick	-pick
these	these	these
issues	issu	issue
.	.	.
If	if	If
they	they	they
had	had	had
any	ani	any
integrity	integr	integrity
at	at	at
all	all	all
,	,	,
they	they	they
would	would	would
say	say	say
,	,	,
We	we	We
understand	understand	understand
Mississippi	mississippi	Mississippi
is	is	is
actually	actual	actually
trying	tri	trying
to	to	to
make	make	make
sure	sure	sure
that	that	that
Christians	christian	Christians
and	and	and
people	peopl	people
of	of	of
other	other	other
faiths	faith	faith
are	are	are
not	not	not
discriminated	discrimin	discriminated
against	against	against
.	.	.
It	it	It
is	is	is
a	a	a
nondiscriminatory	nondiscriminatori	nondiscriminatory
law	law	law
.	.	.
It	it	It
prevents	prevent	prevents
discrimination	discrimin	discrimination
against	against	against
simply	simpli	simply
that	that	that
segment	segment	segment
of	of	of
the	the	the
population	popul	population
that	that	that
has	has	ha
a	a	a
deeply	deepli	deeply
held	held	held
religious	religi	religious
view	view	view
about	about	about
marriage	marriag	marriage
.	.	.
Nobody	nobodi	Nobody
is	is	is
saying	say	saying
that	that	that
bigoted	bigot	bigoted
Christians	christian	Christians
can	can	can
t	t	t
have	have	have
an	an	an
opinion	opinion	opinion
about	about	about
marriage	marriag	marriage
.	.	.
But	but	But
that	that	that
opinion	opinion	opinion
does	doe	doe
not	not	not
give	give	give
them	them	them
the	the	the
right	right	right
to	to	to
refuse	refus	refuse
service	servic	service
to	to	to
a	a	a
gay	gay	gay
couple	coupl	couple
.	.	.
Despite	despit	Despite
the	the	the
fact	fact	fact
that	that	that
Republicans	republican	Republicans
in	in	in
Mississippi	mississippi	Mississippi
and	and	and
North	north	North
Carolina	carolina	Carolina
have	have	have
given	given	given
business	busi	business
owners	owner	owner
a	a	a
license	licens	license
to	to	to
bully	bulli	bully
LGBT	lgbt	LGBT
people	peopl	people
,	,	,
Bryant	bryant	Bryant
complained	complain	complained
about	about	about
alleged	alleg	alleged
bullying	bulli	bullying
and	and	and
threats	threat	threat
from	from	from
corporations	corpor	corporation
and	and	and
repeated	repeat	repeated
the	the	the
conservative	conserv	conservative
myth	myth	myth
that	that	that
transgender	transgend	transgender
protections	protect	protection
will	will	will
allow	allow	allow
men	men	men
to	to	to
shower	shower	shower
in	in	in
women	women	woman
s	s	s
locker	locker	locker
rooms	room	room
and	and	and
use	use	use
women	women	woman
s	s	s
bathrooms	bathroom	bathroom
.	.	.
We	we	We
re	re	re
criticized	critic	criticized
,	,	,
we	we	we
re	re	re
threatened	threaten	threatened
,	,	,
we	we	we
re	re	re
bullied	bulli	bullied
,	,	,
we	we	we
re	re	re
told	told	told
by	by	by
corporations	corpor	corporation
that	that	that
we	we	we
re	re	re
doing	do	doing
the	the	the
wrong	wrong	wrong
thing	thing	thing
?	?	?
Bryant	bryant	Bryant
said	said	said
.	.	.
Where	where	Where
on	on	on
earth	earth	earth
have	have	have
we	we	we
come	come	come
to	to	to
simply	simpli	simply
say	say	say
,	,	,
I	i	I
do	do	do
not	not	not
wish	wish	wish
my	my	my
daughter	daughter	daughter
in	in	in
her	her	her
school	school	school
or	or	or
in	in	in
her	her	her
university	univers	university
to	to	to
have	have	have
to	to	to
have	have	have
a	a	a
male	male	male
in	in	in
the	the	the
shower	shower	shower
and	and	and
in	in	in
the	the	the
dressing	dress	dressing
room	room	room
and	and	and
in	in	in
the	the	the
restrooms	restroom	restroom
.	.	.
The	the	The
fact	fact	fact
is	is	is
that	that	that
in	in	in
17	17	17
states	state	state
and	and	and
over	over	over
200	200	200
cities	citi	city
that	that	that
have	have	have
passed	pass	passed
transgender	transgend	transgender
protections	protect	protection
there	there	there
has	has	ha
not	not	not
been	been	been
a	a	a
single	singl	single
instance	instanc	instance
of	of	of
a	a	a
predator	predat	predator
using	use	using
the	the	the
protections	protect	protection
as	as	a
a	a	a
defense	defens	defense
to	to	to
commit	commit	commit
sexual	sexual	sexual
assault	assault	assault
.	.	.
The	the	The
only	onli	only
men	men	men
who	who	who
gone	gone	gone
inside	insid	inside
women	women	woman
s	s	s
bathrooms	bathroom	bathroom
are	are	are
the	the	the
ones	one	one
the	the	the
conservative	conserv	conservative
Family	famili	Family
Research	research	Research
Council	council	Council
has	has	ha
sent	sent	sent
into	into	into
them	them	them
in	in	in
order	order	order
to	to	to
scare	scare	scare
people	peopl	people
into	into	into
supporting	support	supporting
the	the	the
bigoted	bigot	bigoted
laws	law	law
.	.	.
Bryant	bryant	Bryant
concluded	conclud	concluded
by	by	by
claiming	claim	claiming
that	that	that
Americans	american	Americans
support	support	support
the	the	the
laws	law	law
and	and	and
that	that	that
they	they	they
are	are	are
common	common	common
sense	sens	sense
laws	law	law
.	.	.
I	i	I
think	think	think
the	the	the
rest	rest	rest
of	of	of
the	the	the
nation	nation	nation
is	is	is
beginning	begin	beginning
to	to	to
wake	wake	wake
up	up	up
and	and	and
say	say	say
,	,	,
What	what	What
world	world	world
do	do	do
they	they	they
think	think	think
we	we	we
re	re	re
living	live	living
in	in	in
?	?	?
This	this	This
is	is	is
not	not	not
Hollywood	hollywood	Hollywood
,	,	,
this	this	this
is	is	is
not	not	not
more	more	more
liberal	liber	liberal
areas	area	area
,	,	,
this	this	this
is	is	is
America	america	America
,	,	,
where	where	where
common	common	common
sense	sens	sense
still	still	still
prevails	prevail	prevails
.	.	.
Here	here	Here
s	s	s
the	the	the
audio	audio	audio
via	via	via
Right	right	Right
Wing	wing	Wing
Watch	watch	Watch
.	.	.
True	true	True
common	common	common
sense	sens	sense
is	is	is
knowing	know	knowing
what	what	what
real	real	real
discrimination	discrimin	discrimination
and	and	and
persecution	persecut	persecution
looks	look	look
like	like	like
.	.	.
And	and	And
that	that	that
means	mean	mean
Bryant	bryant	Bryant
has	has	ha
no	no	no
clue	clue	clue
what	what	what
the	the	the
hell	hell	hell
he	he	he
is	is	is
talking	talk	talking
about	about	about
.	.	.
These	these	These
anti	anti	anti
-LGBT	-lgbt	-LGBT
laws	law	law
legalize	legal	legalize
bigotry	bigotri	bigotry
against	against	against
a	a	a
certain	certain	certain
group	group	group
of	of	of
people	peopl	people
under	under	under
the	the	the
guise	guis	guise
of	of	of
religious	religi	religious
freedom	freedom	freedom
,	,	,
a	a	a
freedom	freedom	freedom
that	that	that
conservatives	conserv	conservative
have	have	have
abused	abus	abused
for	for	for
too	too	too
long	long	long
.	.	.
And	and	And
considering	consid	considering
the	the	the
outrage	outrag	outrage
against	against	against
bigoted	bigot	bigoted
states	state	state
like	like	like
North	north	North
Carolina	carolina	Carolina
and	and	and
Mississippi	mississippi	Mississippi
since	sinc	since
they	they	they
passed	pass	passed
their	their	their
bigoted	bigot	bigoted
laws	law	law
,	,	,
it	it	it
looks	look	look
like	like	like
most	most	most
Americans	american	Americans
damn	damn	damn
well	well	well
have	have	have
common	common	common
sense	sens	sense
.	.	.
The	the	The
common	common	common
sense	sens	sense
to	to	to
know	know	know
what	what	what
hate	hate	hate
,	,	,
discrimination	discrimin	discrimination
,	,	,
and	and	and
bullshit	bullshit	bullshit
looks	look	look
like	like	like
when	when	when
they	they	they
see	see	see
it	it	it
,	,	,
or	or	or
in	in	in
this	this	this
case	case	case
,	,	,
hear	hear	hear
it	it	it
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Wikimedia	wikimedia	Wikimedia
