Forcing	forc	Forcing
employees	employe	employee
in	in	in
a	a	a
mostly	most	mostly
Hispanic	hispan	Hispanic
area	area	area
of	of	of
a	a	a
very	veri	very
liberal	liber	liberal
city	citi	city
to	to	to
speak	speak	speak
English	english	English
seems	seem	seems
like	like	like
a	a	a
bit	bit	bit
of	of	of
a	a	a
risk	risk	risk
.	.	.

It	it	It
appears	appear	appears
however	howev	however
,	,	,
that	that	that
Mr	mr	Mr
.	.	.
Schneider	schneider	Schneider
is	is	is
unconcerned	unconcern	unconcerned
about	about	about
the	the	the
spotlight	spotlight	spotlight
on	on	on
his	his	his
English	english	English
only	onli	only
policy	polici	policy
and	and	and
is	is	is
standing	stand	standing
firm	firm	firm
on	on	on
his	his	his
convictions	convict	conviction
.	.	.

It	it	It
s	s	s
going	go	going
to	to	to
get	get	get
disruptive	disrupt	disruptive
if	if	if
we	we	we
have	have	have
to	to	to
become	becom	become
bilingual	bilingu	bilingual
,	,	,
trilingual	trilingu	trilingual
or	or	or
anything	anyth	anything
else	els	else
.	.	.

Ron	ron	Ron
Schneider	schneider	Schneider
,	,	,
Leon	leon	Leon
s	s	s
Frozen	frozen	Frozen
Custard	custard	Custard
ownerMILWAUKEE	ownermilwauke	ownerMILWAUKEE
Leon	leon	Leon
s	s	s
Frozen	frozen	Frozen
Custard	custard	Custard
has	has	ha
an	an	an
English	english	English
-only	-on	-only
policy	polici	policy
a	a	a
policy	polici	policy
some	some	some
are	are	are
questioning	question	questioning
,	,	,
and	and	and
others	other	others
are	are	are
applauding	applaud	applauding
.	.	.
Ron	ron	Ron
Schneider	schneider	Schneider
,	,	,
the	the	the
owner	owner	owner
of	of	of
Leon	leon	Leon
s	s	s
,	,	,
says	say	say
there	there	there
s	s	s
nothing	noth	nothing
wrong	wrong	wrong
with	with	with
his	his	his
policy	polici	policy
,	,	,
and	and	and
that	that	that
it	it	it
doesn	doesn	doesn
t	t	t
appear	appear	appear
to	to	to
be	be	be
hurting	hurt	hurting
his	his	his
business	busi	business
.	.	.
Leon	leon	Leon
s	s	s
is	is	is
located	locat	located
near	near	near
27th	27th	27th
and	and	and
Oklahoma	oklahoma	Oklahoma
on	on	on
Milwaukee	milwauke	Milwaukee
s	s	s
south	south	south
side	side	side
.	.	.
Leon	leon	Leon
s	s	s
Frozen	frozen	Frozen
Custard	custard	Custard
is	is	is
a	a	a
Milwaukee	milwauke	Milwaukee
institution	institut	institution
but	but	but
the	the	the
custard	custard	custard
isn	isn	isn
t	t	t
good	good	good
enough	enough	enough
for	for	for
everyone	everyon	everyone
to	to	to
overlook	overlook	overlook
the	the	the
controversial	controversi	controversial
policy	polici	policy
.	.	.

Most	most	Most
people	peopl	people
that	that	that
live	live	live
here	here	here
are	are	are
Latino	latino	Latino
,	,	,
Jorge	jorg	Jorge
Maya	maya	Maya
said	said	said
.	.	.

I	i	I
don	don	don
t	t	t
think	think	think
I	i	I
m	m	m
going	go	going
to	to	to
be	be	be
back	back	back
anytime	anytim	anytime
soon	soon	soon
.	.	.

This	this	This
all	all	all
started	start	started
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
May	may	May
17th	17th	17th
,	,	,
when	when	when
Joey	joey	Joey
Sanchez	sanchez	Sanchez
overheard	overheard	overheard
one	one	one
of	of	of
Leon	leon	Leon
s	s	s
employees	employe	employee
interacting	interact	interacting
with	with	with
a	a	a
Spanish	spanish	Spanish
-speaking	-speak	-speaking
customer	custom	customer
.	.	.

She	she	She
whispered	whisper	whispered
to	to	to
him	him	him
in	in	in
Spanish	spanish	Spanish
I	i	I
m	m	m
not	not	not
allowed	allow	allowed
to	to	to
speak	speak	speak
Spanish	spanish	Spanish
to	to	to
you	you	you
,	,	,
'	'	'
Sanchez	sanchez	Sanchez
said	said	said
.	.	.
Sanchez	sanchez	Sanchez
was	was	wa
next	next	next
in	in	in
line	line	line
.	.	.

He	he	He
also	also	also
placed	place	placed
his	his	his
order	order	order
in	in	in
Spanish	spanish	Spanish
.	.	.

The	the	The
employee	employe	employee
gave	gave	gave
him	him	him
the	the	the
same	same	same
response	respons	response
.	.	.

I	i	I
m	m	m
trying	tri	trying
to	to	to
understand	understand	understand
or	or	or
find	find	find
the	the	the
why	whi	why
.	.	.

I	i	I
need	need	need
to	to	to
hear	hear	hear
from	from	from
him	him	him
,	,	,
to	to	to
hear	hear	hear
why	whi	why
he	he	he
has	has	ha
this	this	this
policy	polici	policy
,	,	,
Sanchez	sanchez	Sanchez
said	said	said
.	.	.
Schneider	schneider	Schneider
told	told	told
WITI	witi	WITI
his	his	his
employees	employe	employee
can	can	can
only	onli	only
speak	speak	speak
English	english	English
on	on	on
the	the	the
job	job	job
.	.	.

Hey	hey	Hey
,	,	,
c	c	c
mon	mon	mon
!	!	!

It	it	It
is	is	is
America	america	America
.	.	.

We	we	We
ve	ve	ve
spoken	spoken	spoken
English	english	English
for	for	for
a	a	a
long	long	long
,	,	,
long	long	long
time	time	time
,	,	,
Schneider	schneider	Schneider
said	said	said
.	.	.
Schneider	schneider	Schneider
says	say	say
the	the	the
policy	polici	policy
has	has	ha
been	been	been
in	in	in
place	place	place
for	for	for
a	a	a
decade	decad	decade
,	,	,
and	and	and
it	it	it
has	has	ha
never	never	never
been	been	been
an	an	an
issue	issu	issue
.	.	.

Any	ani	Any
foreign	foreign	foreign
language	languag	language
is	is	is
going	go	going
to	to	to
be	be	be
a	a	a
problem	problem	problem
.	.	.

What	what	What
I	i	I
m	m	m
trying	tri	trying
to	to	to
avoid	avoid	avoid
is	is	is
when	when	when
people	peopl	people
come	come	come
up	up	up
here	here	here
,	,	,
get	get	get
waited	wait	waited
on	on	on
in	in	in
a	a	a
different	differ	different
language	languag	language
because	becaus	because
there	there	there
happens	happen	happens
to	to	to
be	be	be
an	an	an
employee	employe	employee
who	who	who
speaks	speak	speaks
that	that	that
language	languag	language
,	,	,
Schneider	schneider	Schneider
said	said	said
.	.	.
Sanchez	sanchez	Sanchez
said	said	said
he	he	he
feels	feel	feel
Leon	leon	Leon
s	s	s
policy	polici	policy
is	is	is
just	just	just
bad	bad	bad
business	busi	business
.	.	.

If	if	If
they	they	they
have	have	have
the	the	the
people	peopl	people
who	who	who
can	can	can
speak	speak	speak
Spanish	spanish	Spanish
and	and	and
communicate	communic	communicate
with	with	with
the	the	the
customer	custom	customer
better	better	better
,	,	,
why	whi	why
not	not	not
?	?	?

Sanchez	sanchez	Sanchez
said	said	said
.	.	.
