During	dure	During
an	an	an
uncharacteristically	uncharacterist	uncharacteristically
blistering	blister	blistering
hot	hot	hot
day	day	day
,	,	,
San	san	San
Francisco	francisco	Francisco
residents	resid	resident
noticed	notic	noticed
a	a	a
surprising	surpris	surprising
sight	sight	sight
on	on	on
Friday	friday	Friday
morning	morn	morning
.	.	.

There	there	There
was	was	wa
smoke	smoke	smoke
spewing	spew	spewing
out	out	out
of	of	of
the	the	the
Russian	russian	Russian
Consulate	consul	Consulate
that	that	that
s	s	s
scheduled	schedul	scheduled
to	to	to
close	close	close
and	and	and
it	it	it
s	s	s
something	someth	something
Special	special	Special
Investigator	investig	Investigator
Robert	robert	Robert
Mueller	mueller	Mueller
might	might	might
want	want	want
to	to	to
look	look	look
into	into	into
.	.	.
Temperatures	temperatur	Temperatures
on	on	on
Friday	friday	Friday
barely	bare	barely
escaped	escap	escaped
triple	tripl	triple
digits	digit	digit
and	and	and
it	it	it
was	was	wa
a	a	a
Spare	spare	Spare
the	the	the
Air	air	Air
day	day	day
in	in	in
San	san	San
Francisco	francisco	Francisco
,	,	,
meaning	mean	meaning
that	that	that
residents	resid	resident
weren	weren	weren
t	t	t
allowed	allow	allowed
to	to	to
burn	burn	burn
their	their	their
fireplaces	fireplac	fireplace
as	as	a
if	if	if
they	they	they
d	d	d
want	want	want
to	to	to
.	.	.

Still	still	Still
,	,	,
neighbors	neighbor	neighbor
and	and	and
the	the	the
fire	fire	fire
department	depart	department
were	were	were
surprised	surpris	surprised
to	to	to
see	see	see
black	black	black
smoke	smoke	smoke
coming	come	coming
from	from	from
the	the	the
chimney	chimney	chimney
at	at	at
the	the	the
Russian	russian	Russian
Consulate	consul	Consulate
.	.	.
When	when	When
the	the	the
fire	fire	fire
department	depart	department
arrived	arriv	arrived
at	at	at
the	the	the
scene	scene	scene
,	,	,
they	they	they
were	were	were
turned	turn	turned
away	away	away
after	after	after
allegedly	alleg	allegedly
being	be	being
told	told	told
that	that	that
there	there	there
wasn	wasn	wasn
t	t	t
a	a	a
problem	problem	problem
and	and	and
that	that	that
they	they	they
were	were	were
burning	burn	burning
