Adding	ad	Adding
insult	insult	insult
to	to	to
injury	injuri	injury
,	,	,
not	not	not
only	onli	only
will	will	will
Donald	donald	Donald
Trump	trump	Trump
force	forc	force
U	u	U
.	.	.
S	s	S
.	.	.
taxpayers	taxpay	taxpayer
to	to	to
build	build	build
the	the	the
wall	wall	wall
along	along	along
the	the	the
southern	southern	southern
border	border	border
,	,	,
he	he	he
will	will	will
use	use	use
that	that	that
money	money	money
to	to	to
hire	hire	hire
Mexican	mexican	Mexican
companies	compani	company
to	to	to
build	build	build
it	it	it
.	.	.
During	dure	During
his	his	his
inaugural	inaugur	inaugural
address	address	address
,	,	,
Trump	trump	Trump
claimed	claim	claimed
America	america	America
would	would	would
follow	follow	follow
tow	tow	tow
rules	rule	rule
.	.	.
We	we	We
will	will	will
follow	follow	follow
two	two	two
simple	simpl	simple
rules	rule	rule
BUY	buy	BUY
AMERICAN	american	AMERICAN
HIRE	hire	HIRE
AMERICAN	american	AMERICAN
!	!	!
#InaugurationDay	#inaugurationday	#InaugurationDay
#MAGA??	#maga??	#MAGA??
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
January	januari	January
20	20	20
,	,	,
2017That	2017that	2017That
s	s	s
right	right	right
.	.	.
The	the	The
man	man	man
who	who	who
buys	buy	buy
materials	materi	material
for	for	for
his	his	his
hotels	hotel	hotel
from	from	from
overseas	oversea	overseas
and	and	and
has	has	ha
his	his	his
products	product	product
made	made	made
by	by	by
overseas	oversea	overseas
laborers	labor	laborer
literally	liter	literally
commanded	command	commanded
Americans	american	Americans
to	to	to
buy	buy	buy
American	american	American
made	made	made
goods	good	good
and	and	and
to	to	to
hire	hire	hire
American	american	American
workers	worker	worker
.	.	.
And	and	And
Trump	trump	Trump
is	is	is
already	alreadi	already
breaking	break	breaking
those	those	those
rules	rule	rule
as	as	a
president	presid	president
.	.	.
Trump	trump	Trump
repeatedly	repeat	repeatedly
promised	promis	promised
his	his	his
supporters	support	supporter
that	that	that
he	he	he
would	would	would
build	build	build
a	a	a
wall	wall	wall
alongside	alongsid	alongside
the	the	the
entirety	entireti	entirety
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-Mexican	-mexican	-Mexican
border	border	border
and	and	and
force	forc	force
Mexico	mexico	Mexico
to	to	to
pay	pay	pay
for	for	for
it	it	it
.	.	.
Trump	trump	Trump
then	then	then
said	said	said
that	that	that
American	american	American
taxpayers	taxpay	taxpayer
would	would	would
pay	pay	pay
for	for	for
it	it	it
and	and	and
Mexico	mexico	Mexico
will	will	will
simply	simpli	simply
reimburse	reimburs	reimburse
us	us	u
for	for	for
the	the	the
cost	cost	cost
.	.	.
Just	just	Just
before	befor	before
taking	take	taking
office	offic	office
,	,	,
Trump	trump	Trump
went	went	went
to	to	to
Congress	congress	Congress
to	to	to
ask	ask	ask
them	them	them
for	for	for
the	the	the
money	money	money
to	to	to
build	build	build
the	the	the
wall	wall	wall
.	.	.
Yesterday	yesterday	Yesterday
,	,	,
Trump	trump	Trump
declared	declar	declared
once	onc	once
again	again	again
on	on	on
Twitter	twitter	Twitter
that	that	that
he	he	he
is	is	is
following	follow	following
through	through	through
with	with	with
building	build	building
the	the	the
wall	wall	wall
.	.	.
Big	big	Big
day	day	day
planned	plan	planned
on	on	on
NATIONAL	nation	NATIONAL
SECURITY	secur	SECURITY
tomorrow	tomorrow	tomorrow
.	.	.
Among	among	Among
many	mani	many
other	other	other
things	thing	thing
,	,	,
we	we	we
will	will	will
build	build	build
the	the	the
wall	wall	wall
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
January	januari	January
25	25	25
,	,	,
2017But	2017but	2017But
now	now	now
it	it	it
appears	appear	appears
that	that	that
Trump	trump	Trump
is	is	is
getting	get	getting
ready	readi	ready
to	to	to
screw	screw	screw
over	over	over
American	american	American
taxpayers	taxpay	taxpayer
,	,	,
American	american	American
workers	worker	worker
,	,	,
and	and	and
American	american	American
companies	compani	company
because	becaus	because
he	he	he
intends	intend	intends
to	to	to
hire	hire	hire
Mexican	mexican	Mexican
companies	compani	company
to	to	to
build	build	build
the	the	the
wall	wall	wall
.	.	.
According	accord	According
to	to	to
The	the	The
Guardian	guardian	Guardian
,	,	,
The	the	The
construction	construct	construction
consultants	consult	consultant
Gleeds	gleed	Gleeds
Worldwide	worldwid	Worldwide
said	said	said
building	build	building
a	a	a
1	1	1
,	,	,
000	000	000
-mile	-mile	-mile
wall	wall	wall
the	the	the
border	border	border
is	is	is
1	1	1
,	,	,
889	889	889
miles	mile	mile
long	long	long
but	but	but
large	larg	large
parts	part	part
are	are	are
protected	protect	protected
by	by	by
natural	natur	natural
barriers	barrier	barrier
including	includ	including
mountains	mountain	mountain
and	and	and
the	the	the
Rio	rio	Rio
Grande	grand	Grande
would	would	would
cost	cost	cost
31bn	31bn	31bn
and	and	and
take	take	take
40	40	40
,	,	,
000	000	000
people	peopl	people
more	more	more
than	than	than
five	five	five
years	year	year
to	to	to
construct	construct	construct
.	.	.
And	and	And
because	becaus	because
Mexican	mexican	Mexican
laborers	labor	laborer
and	and	and
Mexican	mexican	Mexican
companies	compani	company
are	are	are
less	less	le
expensive	expens	expensive
,	,	,
Trump	trump	Trump
will	will	will
likely	like	likely
pay	pay	pay
them	them	them
to	to	to
build	build	build
it	it	it
,	,	,
thus	thus	thus
depriving	depriv	depriving
American	american	American
workers	worker	worker
and	and	and
companies	compani	company
from	from	from
benefiting	benefit	benefiting
.	.	.
The	the	The
idea	idea	idea
of	of	of
building	build	building
a	a	a
1	1	1
,	,	,
000	000	000
-mile	-mile	-mile
wall	wall	wall
which	which	which
is	is	is
designed	design	designed
to	to	to
be	be	be
impenetrable	impenetr	impenetrable
is	is	is
something	someth	something
that	that	that
may	may	may
well	well	well
come	come	come
back	back	back
to	to	to
haunt	haunt	haunt
the	the	the
president	presid	president
,	,	,
Gleeds	gleed	Gleeds
chairman	chairman	chairman
Richard	richard	Richard
Steer	steer	Steer
said	said	said
.	.	.
You	you	You
ve	ve	ve
got	got	got
to	to	to
build	build	build
roads	road	road
to	to	to
move	move	move
the	the	the
materials	materi	material
and	and	and
machinery	machineri	machinery
and	and	and
get	get	get
the	the	the
workforce	workforc	workforce
to	to	to
the	the	the
location	locat	location
as	as	a
the	the	the
wall	wall	wall
is	is	is
being	be	being
built	built	built
.	.	.
You	you	You
would	would	would
need	need	need
a	a	a
very	veri	very
big	big	big
labor	labor	labor
force	forc	force
to	to	to
build	build	build
it	it	it
some	some	some
40	40	40
,	,	,
000	000	000
people	peopl	people
working	work	working
over	over	over
five	five	five
years	year	year
.	.	.
Steer	steer	Steer
went	went	went
on	on	on
to	to	to
state	state	state
that	that	that
Mexican	mexican	Mexican
workers	worker	worker
would	would	would
benefit	benefit	benefit
the	the	the
most	most	most
from	from	from
the	the	the
massive	massiv	massive
project	project	project
because	becaus	because
they	they	they
are	are	are
closer	closer	closer
to	to	to
the	the	the
site	site	site
and	and	and
make	make	make
less	less	le
pay	pay	pay
.	.	.
Mexican	mexican	Mexican
companies	compani	company
are	are	are
also	also	also
poised	pois	poised
to	to	to
benefit	benefit	benefit
most	most	most
from	from	from
the	the	the
project	project	project
because	becaus	because
materials	materi	material
are	are	are
cheaper	cheaper	cheaper
.	.	.
Analysts	analyst	Analysts
at	at	at
Bernstein	bernstein	Bernstein
investment	invest	investment
bank	bank	bank
plotted	plot	plotted
the	the	the
location	locat	location
of	of	of
nearby	nearbi	nearby
plants	plant	plant
and	and	and
quarries	quarri	quarry
and	and	and
found	found	found
that	that	that
the	the	the
Mexican	mexican	Mexican
building	build	building
company	compani	company
Cemex	cemex	Cemex
was	was	wa
best	best	best
-positioned	-posit	-positioned
to	to	to
provide	provid	provide
materials	materi	material
on	on	on
both	both	both
sides	side	side
of	of	of
the	the	the
border	border	border
.	.	.
In	in	In
short	short	short
,	,	,
Trump	trump	Trump
is	is	is
going	go	going
to	to	to
do	do	do
the	the	the
same	same	same
thing	thing	thing
he	he	he
did	did	did
in	in	in
order	order	order
to	to	to
build	build	build
his	his	his
hotels	hotel	hotel
.	.	.
He	he	He
s	s	s
going	go	going
to	to	to
screw	screw	screw
over	over	over
American	american	American
companies	compani	company
and	and	and
American	american	American
workers	worker	worker
by	by	by
using	use	using
foreign	foreign	foreign
labor	labor	labor
and	and	and
buying	buy	buying
materials	materi	material
from	from	from
foreign	foreign	foreign
companies	compani	company
to	to	to
do	do	do
the	the	the
job	job	job
.	.	.
And	and	And
the	the	the
taxpayers	taxpay	taxpayer
are	are	are
going	go	going
to	to	to
fund	fund	fund
every	everi	every
last	last	last
wasteful	wast	wasteful
dime	dime	dime
of	of	of
the	the	the
cost	cost	cost
and	and	and
get	get	get
nothing	noth	nothing
in	in	in
return	return	return
except	except	except
a	a	a
useless	useless	useless
ugly	ugli	ugly
wall	wall	wall
that	that	that
will	will	will
do	do	do
nothing	noth	nothing
to	to	to
stop	stop	stop
immigration	immigr	immigration
and	and	and
will	will	will
draw	draw	draw
comparisons	comparison	comparison
to	to	to
walls	wall	wall
built	built	built
by	by	by
other	other	other
tyrannical	tyrann	tyrannical
regimes	regim	regime
such	such	such
as	as	a
the	the	the
Berlin	berlin	Berlin
Wall	wall	Wall
built	built	built
by	by	by
the	the	the
Soviet	soviet	Soviet
Union	union	Union
.	.	.
It	it	It
s	s	s
time	time	time
for	for	for
Trump	trump	Trump
supporters	support	supporter
to	to	to
wake	wake	wake
up	up	up
and	and	and
realize	realiz	realize
that	that	that
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
give	give	give
a	a	a
damn	damn	damn
about	about	about
them	them	them
at	at	at
all	all	all
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Drew	drew	Drew
Angerer	anger	Angerer
Getty	getti	Getty
Images	imag	Images
