The	the	The
debate	debat	debate
about	about	about
health	health	health
care	care	care
has	has	ha
lead	lead	lead
to	to	to
some	some	some
pretty	pretti	pretty
ugly	ugli	ugly
comments	comment	comment
from	from	from
the	the	the
right	right	right
,	,	,
but	but	but
without	without	without
a	a	a
doubt	doubt	doubt
,	,	,
this	this	this
one	one	one
is	is	is
among	among	among
the	the	the
most	most	most
disgusting	disgust	disgusting
.	.	.

Donald	donald	Donald
Trump	trump	Trump
s	s	s
Health	health	Health
and	and	and
Human	human	Human
Services	servic	Services
secretary	secretari	secretary
,	,	,
Tom	tom	Tom
Price	price	Price
,	,	,
recently	recent	recently
argued	argu	argued
that	that	that
insurance	insur	insurance
companies	compani	company
should	should	should
be	be	be
allowed	allow	allowed
to	to	to
charge	charg	charge
sick	sick	sick
and	and	and
elderly	elder	elderly
people	peopl	people
more	more	more
.	.	.
According	accord	According
to	to	to
Price	price	Price
,	,	,
if	if	if
we	we	we
don	don	don
t	t	t
let	let	let
insurance	insur	insurance
companies	compani	company
charge	charg	charge
older	older	older
,	,	,
sicker	sicker	sicker
people	peopl	people
so	so	so
much	much	much
money	money	money
for	for	for
coverage	coverag	coverage
that	that	that
they	they	they
can	can	can
t	t	t
afford	afford	afford
it	it	it
at	at	at
all	all	all
and	and	and
just	just	just
let	let	let
them	them	them
die	die	die
,	,	,
then	then	then
we	we	we
will	will	will
find	find	find
ourselves	ourselv	ourselves
with	with	with
any	ani	any
insurance	insur	insurance
companies	compani	company
period	period	period
.	.	.

Well	well	Well
,	,	,
the	the	the
fact	fact	fact
of	of	of
the	the	the
matter	matter	matter
is	is	is
that	that	that
if	if	if
we	we	we
re	re	re
gonna	gonna	gonna
have	have	have
any	ani	any
insurers	insur	insurer
,	,	,
and	and	and
the	the	the
ones	one	one
that	that	that
are	are	are
remaining	remain	remaining
are	are	are
saying	say	saying
,	,	,
if	if	if
you	you	you
con	con	con
t	t	t
change	chang	change
this	this	this
,	,	,
if	if	if
you	you	you
don	don	don
t	t	t
stabilize	stabil	stabilize
this	this	this
market	market	market
,	,	,
if	if	if
you	you	you
don	don	don
t	t	t
make	make	make
it	it	it
so	so	so
that	that	that
we	we	we
can	can	can
actually	actual	actually
price	price	price
to	to	to
the	the	the
risk	risk	risk
of	of	of
an	an	an
individual	individu	individual
,	,	,
then	then	then
we	we	we
re	re	re
not	not	not
gonna	gonna	gonna
be	be	be
able	abl	able
to	to	to
stay	stay	stay
here	here	here
at	at	at
all	all	all
.	.	.
'	'	'
And	and	And
his	his	his
answer	answer	answer
to	to	to
this	this	this
dilemma	dilemma	dilemma
?	?	?

To	to	To
go	go	go
ahead	ahead	ahead
and	and	and
allow	allow	allow
insurance	insur	insurance
companies	compani	company
to	to	to
price	price	price
sick	sick	sick
people	peopl	people
completely	complet	completely
out	out	out
of	of	of
insurance	insur	insurance
coverage	coverag	coverage
altogether	altogeth	altogether
.	.	.

Now	now	Now
,	,	,
this	this	this
may	may	may
sound	sound	sound
like	like	like
a	a	a
stupid	stupid	stupid
question	question	question
,	,	,
but	but	but
it	it	it
s	s	s
one	one	one
I	i	I
have	have	have
to	to	to
ask	ask	ask
nonetheless	nonetheless	nonetheless
.	.	.

WTF	wtf	WTF
is	is	is
the	the	the
point	point	point
of	of	of
having	have	having
insurance	insur	insurance
at	at	at
all	all	all
if	if	if
you	you	you
are	are	are
gonna	gonna	gonna
end	end	end
up	up	up
without	without	without
it	it	it
when	when	when
you	you	you
need	need	need
it	it	it
the	the	the
most	most	most
?	?	?

Isn	isn	Isn
t	t	t
having	have	having
insurance	insur	insurance
to	to	to
help	help	help
with	with	with
the	the	the
sky	sky	sky
-high	-high	-high
costs	cost	cost
of	of	of
medical	medic	medical
care	care	care
when	when	when
you	you	you
re	re	re
sick	sick	sick
kind	kind	kind
of	of	of
the	the	the
whole	whole	whole
point	point	point
?	?	?
Not	not	Not
to	to	to
mention	mention	mention
that	that	that
this	this	this
literally	liter	literally
means	mean	mean
he	he	he
would	would	would
rather	rather	rather
let	let	let
people	peopl	people
die	die	die
because	becaus	because
they	they	they
can	can	can
t	t	t
afford	afford	afford
to	to	to
see	see	see
doctors	doctor	doctor
,	,	,
treatments	treatment	treatment
,	,	,
and	and	and
medications	medic	medication
so	so	so
that	that	that
the	the	the
insurance	insur	insurance
companies	compani	company
can	can	can
save	save	save
a	a	a
dollar	dollar	dollar
?	?	?

It	it	It
s	s	s
absolutely	absolut	absolutely
disgusting	disgust	disgusting
and	and	and
infuriating	infuri	infuriating
.	.	.

Healthcare	healthcar	Healthcare
is	is	is
a	a	a
human	human	human
right	right	right
,	,	,
not	not	not
just	just	just
a	a	a
luxury	luxuri	luxury
for	for	for
the	the	the
rich	rich	rich
.	.	.
You	you	You
can	can	can
watch	watch	watch
Trump	trump	Trump
s	s	s
health	health	health
and	and	and
human	human	human
services	servic	service
secretary	secretari	secretary
condone	condon	condone
allowing	allow	allowing
insurance	insur	insurance
companies	compani	company
to	to	to
price	price	price
sick	sick	sick
people	peopl	people
out	out	out
of	of	of
health	health	health
care	care	care
here	here	here
Tom	tom	Tom
Price	price	Price
insurers	insur	insurer
should	should	should
be	be	be
able	abl	able
to	to	to
charge	charg	charge
sick	sick	sick
people	peopl	people
more	more	more
for	for	for
coverage	coverag	coverage
.	.	.

i	i	i
.	.	.
e	e	e
.	.	.
price	price	price
sick	sick	sick
people	peopl	people
out	out	out
of	of	of
insurance	insur	insurance
pic.twitter.com/V95SEOFZy4	pic.twitter.com/v95seofzy4	pic.twitter.com/V95SEOFZy4
CAP	cap	CAP
Action	action	Action
@CAPAction	@capact	@CAPAction
March	march	March
16	16	16
,	,	,
2017Featured	2017featur	2017Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

