Interesting	interest	Interesting
isn	isn	isn
t	t	t
it	it	it
?	?	?
It	it	It
s	s	s
Christmas	christma	Christmas
Eve	eve	Eve
and	and	and
16	16	16
pages	page	page
of	of	of
e	e	e
-mails	-mail	-mails
are	are	are
released	releas	released
.	.	.
These	these	These
are	are	are
not	not	not
just	just	just
any	ani	any
old	old	old
e	e	e
-mails	-mail	-mails
.	.	.
These	these	These
e	e	e
-mails	-mail	-mails
are	are	are
very	veri	very
important	import	important
to	to	to
finding	find	finding
out	out	out
what	what	what
happened	happen	happened
the	the	the
night	night	night
of	of	of
the	the	the
Benghazi	benghazi	Benghazi
attack	attack	attack
.	.	.
Here	here	Here
s	s	s
The	the	The
Hill	hill	Hill
s	s	s
take	take	take
on	on	on
why	whi	why
these	these	these
were	were	were
released	releas	released
today	today	today
The	the	The
documents	document	document
were	were	were
released	releas	released
as	as	a
part	part	part
of	of	of
a	a	a
proactive	proactiv	proactive
disclosure	disclosur	disclosure
under	under	under
the	the	the
Freedom	freedom	Freedom
of	of	of
Information	inform	Information
Act	act	Act
.	.	.
The	the	The
government	govern	government
and	and	and
public	public	public
relations	relat	relation
firms	firm	firm
have	have	have
been	been	been
known	known	known
to	to	to
release	releas	release
unflattering	unflatt	unflattering
information	inform	information
around	around	around
major	major	major
holidays	holiday	holiday
or	or	or
weekends	weekend	weekend
to	to	to
blunt	blunt	blunt
the	the	the
news	news	news
effect	effect	effect
.	.	.
The	the	The
Office	offic	Office
of	of	of
the	the	the
Director	director	Director
of	of	of
National	nation	National
Intelligence	intellig	Intelligence
DNI	dni	DNI
released	releas	released
a	a	a
handful	hand	handful
of	of	of
sensitive	sensit	sensitive
documents	document	document
Thursday	thursday	Thursday
morning	morn	morning
dealing	deal	dealing
with	with	with
terrorism	terror	terrorism
suspect	suspect	suspect
Anwar	anwar	Anwar
al	al	al
-Awlaki	-awlaki	-Awlaki
and	and	and
the	the	the
terrorist	terrorist	terrorist
attacks	attack	attack
in	in	in
Benghazi	benghazi	Benghazi
,	,	,
Libya	libya	Libya
.	.	.
The	the	The
Christmas	christma	Christmas
Eve	eve	Eve
document	document	document
dump	dump	dump
includes	includ	includes
16	16	16
pages	page	page
of	of	of
heavily	heavili	heavily
blacked	black	blacked
-out	-out	-out
emails	email	email
about	about	about
the	the	the
events	event	event
surrounding	surround	surrounding
the	the	the
2012	2012	2012
terrorist	terrorist	terrorist
attack	attack	attack
on	on	on
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
diplomatic	diplomat	diplomatic
compound	compound	compound
in	in	in
Benghazi	benghazi	Benghazi
that	that	that
killed	kill	killed
four	four	four
Americans	american	Americans
.	.	.
The	the	The
DNI	dni	DNI
emails	email	email
about	about	about
Benghazi	benghazi	Benghazi
are	are	are
heavily	heavili	heavily
redacted	redact	redacted
and	and	and
appear	appear	appear
to	to	to
contain	contain	contain
little	littl	little
new	new	new
information	inform	information
.	.	.
Several	sever	Several
of	of	of
the	the	the
emails	email	email
discuss	discuss	discus
the	the	the
drafting	draft	drafting
of	of	of
an	an	an
assessment	assess	assessment
of	of	of
the	the	the
threat	threat	threat
level	level	level
ahead	ahead	ahead
of	of	of
the	the	the
attack	attack	attack
,	,	,
which	which	which
was	was	wa
being	be	being
prepared	prepar	prepared
for	for	for
Congress	congress	Congress
in	in	in
the	the	the
months	month	month
after	after	after
four	four	four
Americans	american	Americans
were	were	were
killed	kill	killed
