Donald	donald	Donald
Trump	trump	Trump
spent	spent	spent
Wednesday	wednesday	Wednesday
morning	morn	morning
trying	tri	trying
to	to	to
convince	convinc	convince
the	the	the
American	american	American
media	media	medium
that	that	that
his	his	his
campaign	campaign	campaign
manager	manag	manager
,	,	,
Corey	corey	Corey
Lewandowski	lewandowski	Lewandowski
,	,	,
is	is	is
a	a	a
really	realli	really
good	good	good
guy	guy	guy
who	who	who
is	is	is
being	be	being
railroaded	railroad	railroaded
by	by	by
some	some	some
crazy	crazi	crazy
woman	woman	woman
.	.	.
During	dure	During
one	one	one
of	of	of
his	his	his
interviews	interview	interview
with	with	with
Good	good	Good
Morning	morn	Morning
America	america	America
,	,	,
though	though	though
,	,	,
he	he	he
took	took	took
it	it	it
a	a	a
step	step	step
further	further	further
and	and	and
threatened	threaten	threatened
to	to	to
file	file	file
charges	charg	charge
on	on	on
Michelle	michell	Michelle
Fields	field	Fields
,	,	,
the	the	the
reporter	report	reporter
Lewandowski	lewandowski	Lewandowski
is	is	is
charged	charg	charged
with	with	with
assaulting	assault	assaulting
,	,	,
because	becaus	because
she	she	she
touched	touch	touched
Trump	trump	Trump
s	s	s
arm	arm	arm
.	.	.
The	the	The
hosts	host	host
asked	ask	asked
Trump	trump	Trump
if	if	if
it	it	it
was	was	wa
clear	clear	clear
to	to	to
him	him	him
,	,	,
after	after	after
watching	watch	watching
the	the	the
video	video	video
,	,	,
that	that	that
his	his	his
campaign	campaign	campaign
manager	manag	manager
did	did	did
touch	touch	touch
Fields	field	Fields
,	,	,
even	even	even
though	though	though
he	he	he
has	has	ha
insisted	insist	insisted
that	that	that
he	he	he
didn	didn	didn
t	t	t
.	.	.
Trump	trump	Trump
responded	respond	responded
Well	well	Well
,	,	,
what	what	what
s	s	s
clear	clear	clear
is	is	is
that	that	that
she	she	she
was	was	wa
touching	touch	touching
me	me	me
and	and	and
she	she	she
broke	broke	broke
through	through	through
the	the	the
Secret	secret	Secret
Service	servic	Service
.	.	.
And	and	And
she	she	she
was	was	wa
asking	ask	asking
me	me	me
questions	question	question
when	when	when
there	there	there
were	were	were
no	no	no
questions	question	question
we	we	we
were	were	were
leaving	leav	leaving
,	,	,
the	the	the
press	press	press
conference	confer	conference
was	was	wa
over	over	over
.	.	.
She	she	She
broke	broke	broke
through	through	through
,	,	,
she	she	she
grabbed	grab	grabbed
my	my	my
arm	arm	arm
,	,	,
I	i	I
think	think	think
a	a	a
couple	coupl	couple
of	of	of
times	time	time
.	.	.
You	you	You
see	see	see
me	me	me
trying	tri	trying
to	to	to
get	get	get
her	her	her
hand	hand	hand
off	off	off
my	my	my
arm	arm	arm
and	and	and
he	he	he
saw	saw	saw
something	someth	something
and	and	and
did	did	did
very	veri	very
minor	minor	minor
.	.	.
.	.	.
Her	her	Her
face	face	face
wasn	wasn	wasn
t	t	t
