Yesterday	yesterday	Yesterday
,	,	,
Beverly	bever	Beverly
Young	young	Young
Nelson	nelson	Nelson
sat	sat	sat
with	with	with
the	the	the
same	same	same
leftist	leftist	leftist
lawyer	lawyer	lawyer
,	,	,
Gloria	gloria	Gloria
Allred	allr	Allred
,	,	,
who	who	who
came	came	came
out	out	out
after	after	after
Donald	donald	Donald
Trump	trump	Trump
with	with	with
false	fals	false
allegations	alleg	allegation
of	of	of
sexual	sexual	sexual
harassment	harass	harassment
against	against	against
Donald	donald	Donald
Trump	trump	Trump
before	befor	before
the	the	the
election	elect	election
and	and	and
made	made	made
a	a	a
public	public	public
statement	statement	statement
,	,	,
claiming	claim	claiming
she	she	she
was	was	wa
sexually	sexual	sexually
assaulted	assault	assaulted
by	by	by
Judge	judg	Judge
Roy	roy	Roy
Moore	moor	Moore
when	when	when
she	she	she
was	was	wa
a	a	a
teenager	teenag	teenager
.	.	.

Today	today	Today
,	,	,
Beverly	bever	Beverly
Young	young	Young
Nelson	nelson	Nelson
s	s	s
son	son	son
Darrel	darrel	Darrel
Nelson	nelson	Nelson
made	made	made
a	a	a
public	public	public
Facebook	facebook	Facebook
video	video	video
to	to	to
let	let	let
America	america	America
know	know	know
he	he	he
s	s	s
behind	behind	behind
Judge	judg	Judge
Roy	roy	Roy
Moore	moor	Moore
and	and	and
that	that	that
believes	believ	belief
his	his	his
stepmother	stepmoth	stepmother
is	is	is
not	not	not
telling	tell	telling
the	the	the
truth	truth	truth
about	about	about
Judge	judg	Judge
Moore	moor	Moore
sexually	sexual	sexually
assaulting	assault	assaulting
her	her	her
when	when	when
she	she	she
was	was	wa
a	a	a
teen	teen	teen
.	.	.
Here	here	Here
is	is	is
part	part	part
of	of	of
his	his	his
transcript	transcript	transcript
Good	good	Good
evening	even	evening
.	.	.

As	as	As
I	i	I
said	said	said
today	today	today
,	,	,
I	i	I
found	found	found
out	out	out
today	today	today
,	,	,
that	that	that
my	my	my
stepmother	stepmoth	stepmother
is	is	is
one	one	one
of	of	of
the	the	the
ladies	ladi	lady
that	that	that
s	s	s
accusing	accus	accusing
Judge	judg	Judge
Moore	moor	Moore
of	of	of
an	an	an
act	act	act
that	that	that
supposedly	suppos	supposedly
happened	happen	happened
when	when	when
she	she	she
was	was	wa
a	a	a
teenager	teenag	teenager
.	.	.

My	my	My
father	father	father
s	s	s
name	name	name
is	is	is
John	john	John
Allen	allen	Allen
Nelson	nelson	Nelson
.	.	.

The	the	The
woman	woman	woman
that	that	that
s	s	s
committed	commit	committed
this	this	this
act	act	act
against	against	against
Mr	mr	Mr
.	.	.
Moore	moor	Moore
,	,	,
is	is	is
Beverly	bever	Beverly
Young	young	Young
Nelson	nelson	Nelson
.	.	.

It	it	It
s	s	s
hard	hard	hard
for	for	for
me	me	me
to	to	to
actually	actual	actually
have	have	have
this	this	this
conversation	convers	conversation
,	,	,
but	but	but
it	it	it
must	must	must
be	be	be
done	done	done
.	.	.

Mr	mr	Mr
.	.	.
Moore	moor	Moore
,	,	,
I	i	I
support	support	support
you	you	you
.	.	.

I	i	I
don	don	don
t	t	t
believe	believ	believe
the	the	the
acts	act	act
that	that	that
she	she	she
s	s	s
claimed	claim	claimed
you	you	you
ve	ve	ve
done	done	done
.	.	.

I	i	I
don	don	don
t	t	t
believe	believ	believe
it	it	it
.	.	.

I	i	I
ve	ve	ve
known	known	known
the	the	the
woman	woman	woman
,	,	,
she	she	she
married	marri	married
my	my	my
father	father	father
