Wednesday	wednesday	Wednesday
evening	even	evening
,	,	,
Trump	trump	Trump
surrogate	surrog	surrogate
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
showed	show	showed
up	up	up
on	on	on
CNN	cnn	CNN
to	to	to
do	do	do
her	her	her
favorite	favorit	favorite
thing	thing	thing
in	in	in
the	the	the
world	world	world
spew	spew	spew
utter	utter	utter
nonsense	nonsens	nonsense
.	.	.
Accusing	accus	Accusing
CNN	cnn	CNN
of	of	of
peddling	peddl	peddling
fake	fake	fake
news	news	news
and	and	and
covering	cover	covering
unsubstantiated	unsubstanti	unsubstantiated
claims	claim	claim
about	about	about
her	her	her
lord	lord	lord
and	and	and
master	master	master
and	and	and
Russian	russian	Russian
hooker	hooker	hooker
pee	pee	pee
unlike	unlik	unlike
Buzzfeed	buzzfe	Buzzfeed
,	,	,
CNN	cnn	CNN
withheld	withheld	withheld
information	inform	information
that	that	that
was	was	wa
not	not	not
100	100	100
definitively	definit	definitively
proven	proven	proven
,	,	,
Conway	conway	Conway
went	went	went
on	on	on
the	the	the
attack	attack	attack
but	but	but
Anderson	anderson	Anderson
Cooper	cooper	Cooper
just	just	just
wasn	wasn	wasn
t	t	t
going	go	going
to	to	to
tolerate	toler	tolerate
any	ani	any
of	of	of
her	her	her
bullshit	bullshit	bullshit
.	.	.

Cooper	cooper	Cooper
asked	ask	asked
Conway	conway	Conway
if	if	if
she	she	she
would	would	would
be	be	be
willing	will	willing
to	to	to
state	state	state
here	here	here
and	and	and
now	now	now
that	that	that
the	the	the
Trump	trump	Trump
camp	camp	camp
s	s	s
press	press	press
secretary	secretari	secretary
Sean	sean	Sean
Spicer	spicer	Spicer
had	had	had
lied	lie	lied
when	when	when
he	he	he
falsely	fals	falsely
claimed	claim	claimed
that	that	that
CNN	cnn	CNN
had	had	had
also	also	also
reported	report	reported
the	the	the
hooker	hooker	hooker
pee	pee	pee
story	stori	story
.	.	.

Our	our	Our
press	press	press
secretary	secretari	secretary
Sean	sean	Sean
Spicer	spicer	Spicer
was	was	wa
absolutely	absolut	absolutely
correct	correct	correct
and	and	and
so	so	so
was	was	wa
our	our	our
president	presid	president
-elect	-elect	-elect
,	,	,
Conway	conway	Conway
said	said	said
.	.	.

Trump	trump	Trump
himself	himself	himself
had	had	had
refused	refus	refused
a	a	a
question	question	question
from	from	from
CNN	cnn	CNN
earlier	earlier	earlier
in	in	in
the	the	the
evening	even	evening
,	,	,
childishly	childish	childishly
calling	call	calling
them	them	them
fake	fake	fake
news	news	news
.	.	.

You	you	You
can	can	can
t	t	t
say	say	say
you	you	you
re	re	re
not	not	not
reporting	report	reporting
it	it	it
if	if	if
it	it	it
s	s	s
on	on	on
your	your	your
website	websit	website
!	!	!

Conway	conway	Conway
screeched	screech	screeched
at	at	at
Cooper	cooper	Cooper
,	,	,
who	who	who
demanded	demand	demanded
to	to	to
know	know	know
what	what	what
was	was	wa
inaccurate	inaccur	inaccurate
about	about	about
CNN	cnn	CNN
s	s	s
report	report	report
.	.	.

Conway	conway	Conway
,	,	,
of	of	of
course	cours	course
,	,	,
responded	respond	responded
by	by	by
attacking	attack	attacking
President	presid	President
Obama	obama	Obama
for	for	for
allegedly	alleg	allegedly
failing	fail	failing
to	to	to
do	do	do
enough	enough	enough
to	to	to
stop	stop	stop
hacking	hack	hacking
.	.	.

I	i	I
know	know	know
you	you	you
like	like	like
to	to	to
pivot	pivot	pivot
,	,	,
Cooper	cooper	Cooper
said	said	said
as	as	a
Conway	conway	Conway
melted	melt	melted
down	down	down
.	.	.

That	that	That
s	s	s
actually	actual	actually
real	real	real
news	news	news
!	!	!

That	that	That
actually	actual	actually
happened	happen	happened
!	!	!

Conway	conway	Conway
sputtered	sputter	sputtered
.	.	.

I	i	I
guess	guess	guess
what	what	what
you	you	you
still	still	still
have	have	have
not	not	not
answered	answer	answered
,	,	,
Cooper	cooper	Cooper
said	said	said
,	,	,
trying	tri	trying
get	get	get
a	a	a
word	word	word
in	in	in
edgewise	edgewis	edgewise
as	as	a
Trump	trump	Trump
s	s	s
bleached	bleach	bleached
moron	moron	moron
continued	continu	continued
babbling	babbl	babbling
that	that	that
if	if	if
CNN	cnn	CNN
links	link	link
to	to	to
the	the	the
Buzzfeed	buzzfe	Buzzfeed
report	report	report
which	which	which
did	did	did
happen	happen	happen
and	and	and
is	is	is
news	news	news
,	,	,
contrary	contrari	contrary
to	to	to
her	her	her
belief	belief	belief
they	they	they
are	are	are
reporting	report	reporting
it	it	it
100	100	100
as	as	a
fact	fact	fact
,	,	,
something	someth	something
Buzzfeed	buzzfe	Buzzfeed
did	did	did
not	not	not
even	even	even
do	do	do
,	,	,
as	as	a
is	is	is
evidenced	evidenc	evidenced
by	by	by
their	their	their
multiple	multipl	multiple
statements	statement	statement
that	that	that
not	not	not
everything	everyth	everything
in	in	in
the	the	the
report	report	report
CNN	cnn	CNN
chose	chose	chose
to	to	to
withhold	withhold	withhold
parts	part	part
of	of	of
is	is	is
verified	verifi	verified
yet	yet	yet
.	.	.
Cooper	cooper	Cooper
asks	ask	asks
again	again	again
What	what	What
is	is	is
inaccurate	inaccur	inaccurate
in	in	in
our	our	our
reporting	report	reporting
?	?	?

Because	becaus	Because
you	you	you
said	said	said
,	,	,
you	you	you
weren	weren	weren
t	t	t
in	in	in
the	the	the
briefing	brief	briefing
.	.	.

You	you	You
don	don	don
t	t	t
know	know	know
if	if	if
what	what	what
we	we	we
re	re	re
reporting	report	reporting
is	is	is
true	true	true
or	or	or
not	not	not
.	.	.

You	you	You
weren	weren	weren
t	t	t
in	in	in
the	the	the
briefing	brief	briefing
and	and	and
I	i	I
guess	guess	guess
you	you	you
haven	haven	haven
t	t	t
heard	heard	heard
anything	anyth	anything
about	about	about
what	what	what
was	was	wa
in	in	in
the	the	the
briefing	brief	briefing
from	from	from
anyone	anyon	anyone
who	who	who
was	was	wa
there	there	there
How	how	How
can	can	can
you	you	you
say	say	say
it	it	it
s	s	s
not	not	not
true	true	true
?	?	?

Conway	conway	Conway
spent	spent	spent
the	the	the
rest	rest	rest
of	of	of
the	the	the
interview	interview	interview
screaming	scream	screaming
that	that	that
the	the	the
media	media	medium
especially	especi	especially
CNN	cnn	CNN
,	,	,
is	is	is
completely	complet	completely
unfair	unfair	unfair
to	to	to
Trump	trump	Trump
because	becaus	because
they	they	they
won	won	won
t	t	t
ignore	ignor	ignore
everything	everyth	everything
else	els	else
that	that	that
is	is	is
going	go	going
on	on	on
to	to	to
do	do	do
fluff	fluff	fluff
pieces	piec	piece
about	about	about
what	what	what
is	is	is
going	go	going
to	to	to
be	be	be
in	in	in
Trump	trump	Trump
s	s	s
inaugural	inaugur	inaugural
address	address	address
and	and	and
generally	general	generally
going	go	going
the	the	the
one	one	one
thing	thing	thing
she	she	she
does	doe	doe
best	best	best
looking	look	looking
like	like	like
an	an	an
imbecile	imbecil	imbecile
.	.	.

All	all	All
the	the	the
while	while	while
,	,	,
Cooper	cooper	Cooper
was	was	wa
clearly	clear	clearly
doing	do	doing
his	his	his
best	best	best
not	not	not
to	to	to
inform	inform	inform
her	her	her
that	that	that
she	she	she
needs	need	need
to	to	to
check	check	check
her	her	her
battery	batteri	battery
levels	level	level
because	becaus	because
she	she	she
appears	appear	appears
to	to	to
be	be	be
malfunctioning	malfunct	malfunctioning
.	.	.
Watching	watch	Watching
Cooper	cooper	Cooper
somehow	somehow	somehow
make	make	make
it	it	it
through	through	through
this	this	this
interview	interview	interview
without	without	without
screaming	scream	screaming
a	a	a
string	string	string
of	of	of
profanities	profan	profanity
at	at	at
a	a	a
person	person	person
who	who	who
is	is	is
clearly	clear	clearly
too	too	too
stupid	stupid	stupid
to	to	to
be	be	be
around	around	around
bubble	bubbl	bubble
wrap	wrap	wrap
unsupervised	unsupervis	unsupervised
Anderson	anderson	Anderson
Cooper	cooper	Cooper
,	,	,
you	you	you
re	re	re
a	a	a
true	true	true
hero	hero	hero
.	.	.

Watch	watch	Watch
the	the	the
interview	interview	interview
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab

