There	there	There
is	is	is
no	no	no
question	question	question
that	that	that
Whoopi	whoopi	Whoopi
Goldberg	goldberg	Goldberg
is	is	is
a	a	a
talented	talent	talented
actress	actress	actress
and	and	and
has	has	ha
the	the	the
ability	abil	ability
to	to	to
make	make	make
people	peopl	people
laugh	laugh	laugh
,	,	,
but	but	but
the	the	the
gift	gift	gift
of	of	of
comedy	comedi	comedy
that	that	that
Whoopi	whoopi	Whoopi
used	use	used
to	to	to
make	make	make
herself	herself	herself
so	so	so
popular	popular	popular
with	with	with
her	her	her
fans	fan	fan
has	has	ha
mostly	most	mostly
disappeared	disappear	disappeared
,	,	,
and	and	and
has	has	ha
been	been	been
replaced	replac	replaced
with	with	with
a	a	a
hostility	hostil	hostility
that	that	that
is	is	is
anything	anyth	anything
but	but	but
funny	funni	funny
.	.	.

The	the	The
most	most	most
painfully	pain	painfully
ignorant	ignor	ignorant
co	co	co
-host	-host	-host
on	on	on
the	the	the
show	show	show
however	howev	however
,	,	,
is	is	is
comedian	comedian	comedian
Joy	joy	Joy
Behar	behar	Behar
.	.	.

It	it	It
s	s	s
been	been	been
hilarious	hilari	hilarious
watching	watch	watching
her	her	her
now	now	now
admit	admit	admit
that	that	that
she	she	she
actually	actual	actually
misses	miss	miss
George	georg	George
W	w	W
.	.	.

Bush	bush	Bush
.	.	.

Behar	behar	Behar
has	has	ha
made	made	made
some	some	some
embarrassing	embarrass	embarrassing
attempts	attempt	attempt
lately	late	lately
to	to	to
bond	bond	bond
with	with	with
guests	guest	guest
from	from	from
former	former	former
members	member	member
of	of	of
George	georg	George
W	w	W
.	.	.

Bush	bush	Bush
s	s	s
cabinet	cabinet	cabinet
who	who	who
ve	ve	ve
appeared	appear	appeared
as	as	a
guests	guest	guest
on	on	on
The	the	The
View	view	View
.	.	.

Bear	bear	Bear
is	is	is
so	so	so
completely	complet	completely
enveloped	envelop	enveloped
with	with	with
hate	hate	hate
for	for	for
President	presid	President
Trump	trump	Trump
,	,	,
that	that	that
she	she	she
s	s	s
actually	actual	actually
convinced	convinc	convinced
herself	herself	herself
that	that	that
the	the	the
whole	whole	whole
world	world	world
hates	hate	hate
Trump	trump	Trump
as	as	a
much	much	much
as	as	a
she	she	she
does	doe	doe
.	.	.

She	she	She
s	s	s
gone	gone	gone
so	so	so
far	far	far
off	off	off
the	the	the
deep	deep	deep
end	end	end
,	,	,
that	that	that
she	she	she
truly	truli	truly
believes	believ	belief
she	she	she
can	can	can
convince	convinc	convince
conservatives	conserv	conservative
like	like	like
Bush	bush	Bush
s	s	s
former	former	former
secretary	secretari	secretary
of	of	of
state	state	state
Condoleezza	condoleezza	Condoleezza
Rice	rice	Rice
,	,	,
who	who	who
appeared	appear	appeared
on	on	on
The	the	The
View	view	View
last	last	last
month	month	month
Watch	watch	Watch
HERE	here	HERE
to	to	to
join	join	join
her	her	her
in	in	in
her	her	her
never	never	never
