Just	just	Just
as	as	a
her	her	her
new	new	new
book	book	book
praising	prais	praising
Donald	donald	Donald
Trump	trump	Trump
,	,	,
In	in	In
Trump	trump	Trump
We	we	We
Must	must	Must
,	,	,
hits	hit	hit
the	the	the
shelves	shelv	shelf
,	,	,
Ann	ann	Ann
Coulter	coulter	Coulter
appears	appear	appears
to	to	to
now	now	now
be	be	be
souring	sour	souring
on	on	on
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
she	she	she
calls	call	call
our	our	our
only	onli	only
hope	hope	hope
.	.	.
After	after	After
Trump	trump	Trump
appeared	appear	appeared
to	to	to
flip	flip	flip
flop	flop	flop
on	on	on
one	one	one
of	of	of
his	his	his
biggest	biggest	biggest
campaign	campaign	campaign
promises	promis	promise
deporting	deport	deporting
11	11	11
million	million	million
undocumented	undocu	undocumented
immigrants	immigr	immigrant
Coulter	coulter	Coulter
,	,	,
who	who	who
has	has	ha
made	made	made
immigration	immigr	immigration
her	her	her
number	number	number
one	one	one
issue	issu	issue
,	,	,
sent	sent	sent
out	out	out
a	a	a
frenzy	frenzi	frenzy
of	of	of
tweets	tweet	tweet
mocking	mock	mocking
Trump	trump	Trump
for	for	for
his	his	his
perceived	perceiv	perceived
weakness	weak	weakness
on	on	on
the	the	the
issue	issu	issue
Only	onli	Only
part	part	part
he	he	he
left	left	left
out	out	out
was	was	wa
the	the	the
hoops	hoop	hoop
they	they	they
ll	ll	ll
have	have	have
to	to	to
jump	jump	jump
through	through	through
!	!	!
Trump	trump	Trump
No	no	No
citizenship	citizenship	citizenship
.	.	.
Let	let	Let
me	me	me
go	go	go
a	a	a
step	step	step
further	further	further
they	they	they
ll	ll	ll
pay	pay	pay
back	back	back
-taxes	-tax	-taxes
Ann	ann	Ann
Coulter	coulter	Coulter
@AnnCoulter	@anncoult	@AnnCoulter
August	august	August
25	25	25
,	,	,
2016	2016	2016
Trump	trump	Trump
they	they	they
have	have	have
to	to	to
pay	pay	pay
taxes	tax	tax
,	,	,
there	there	there
s	s	s
no	no	no
amnesty	amnesti	amnesty
Pro	pro	Pro
Tip	tip	Tip
Back	back	Back
taxes	tax	tax
means	mean	mean
we	we	we
pay	pay	pay
illegals	illeg	illegals
30k	30k	30k
apiece	apiec	apiece
in	in	in
EITC	eitc	EITC
.	.	.
Ann	ann	Ann
Coulter	coulter	Coulter
@AnnCoulter	@anncoult	@AnnCoulter
August	august	August
25	25	25
,	,	,
2016It	2016it	2016It
s	s	s
not	not	not
amnesty	amnesti	amnesty
.	.	.
It	it	It
s	s	s
comprehensive	comprehens	comprehensive
immigration	immigr	immigration
reform	reform	reform
!	!	!
!	!	!
!	!	!
!	!	!
Trump	trump	Trump
they	they	they
have	have	have
to	to	to
pay	pay	pay
taxes	tax	tax
,	,	,
there	there	there
s	s	s
no	no	no
amnesty	amnesti	amnesty
.	.	.
Ann	ann	Ann
Coulter	coulter	Coulter
@AnnCoulter	@anncoult	@AnnCoulter
August	august	August
25	25	25
,	,	,
2016	2016	2016
Well	well	Well
,	,	,
if	if	if
it	it	it
s	s	s
hard	hard	hard
,	,	,
then	then	then
nevermind	nevermind	nevermind
.	.	.
Trump	trump	Trump
to	to	to
take	take	take
a	a	a
person	person	person
who	who	who
s	s	s
been	been	been
here	here	here
for	for	for
