Barack	barack	Barack
Hussein	hussein	Hussein
Obama	obama	Obama
the	the	the
most	most	most
anti	anti	anti
-American	-american	-American
President	presid	President
to	to	to
ever	ever	ever
occupy	occupi	occupy
the	the	the
White	white	White
House	hous	House
This	this	This
isn	isn	isn
t	t	t
an	an	an
article	articl	article
from	from	from
The	the	The
Onion	onion	Onion
.	.	.
Obama	obama	Obama
s	s	s
Department	depart	Department
of	of	of
Education	educ	Education
is	is	is
proposing	propos	proposing
that	that	that
schools	school	school
spend	spend	spend
a	a	a
week	week	week
celebrating	celebr	celebrating
illegal	illeg	illegal
aliens	alien	alien
,	,	,
including	includ	including
an	an	an
undocumented	undocu	undocumented
immigrant	immigr	immigrant
awareness	awar	awareness
day	day	day
.	.	.
Can	can	Can
Celebrate	celebr	Celebrate
Destruction	destruct	Destruction
of	of	of
America	america	America
Day	day	Day
be	be	be
far	far	far
behind	behind	behind
?	?	?
The	the	The
document	document	document
,	,	,
which	which	which
was	was	wa
released	releas	released
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
also	also	also
urges	urg	urge
schools	school	school
to	to	to
provide	provid	provide
welcoming	welcom	welcoming
environments	environ	environment
for	for	for
illegal	illeg	illegal
alien	alien	alien
students	student	student
by	by	by
hosting	host	hosting
events	event	event
such	such	such
as	as	a
Undocumented	undocu	Undocumented
Week	week	Week
.	.	.
The	the	The
guide	guid	guide
also	also	also
provides	provid	provides
tips	tip	tip
for	for	for
schools	school	school
and	and	and
educators	educ	educator
on	on	on
how	how	how
to	to	to
support	support	support
illegal	illeg	illegal
alien	alien	alien
youth	youth	youth
who	who	who
are	are	are
in	in	in
high	high	high
school	school	school
and	and	and
college	colleg	college
.	.	.
It	it	It
also	also	also
provides	provid	provides
information	inform	information
for	for	for
non	non	non
-citizens	-citizen	-citizens
on	on	on
how	how	how
to	to	to
access	access	access
federal	feder	federal
financial	financi	financial
aid	aid	aid
.	.	.
The	the	The
guide	guid	guide
also	also	also
urges	urg	urge
schools	school	school
to	to	to
create	creat	create
welcoming	welcom	welcoming
environments	environ	environment
for	for	for
such	such	such
students	student	student
.	.	.
Suggestions	suggest	Suggestions
for	for	for
how	how	how
to	to	to
support	support	support
the	the	the
students	student	student
including	includ	including
hosting	host	hosting
an	an	an
undocumented	undocu	undocumented
immigrant	immigr	immigrant
awareness	awar	awareness
day	day	day
.	.	.
You	you	You
know	know	know
,	,	,
my	my	my
idea	idea	idea
of	of	of
an	an	an
undocumented	undocu	undocumented
immigrant	immigr	immigrant
awareness	awar	awareness
day	day	day
is	is	is
being	be	being
educated	educ	educated
what	what	what
an	an	an
illegal	illeg	illegal
alien	alien	alien
looks	look	look
like	like	like
and	and	and
how	how	how
to	to	to
report	report	report
them	them	them
to	to	to
the	the	the
police	polic	police
.	.	.
But	but	But
in	in	in
Obama	obama	Obama
s	s	s
America	america	America
,	,	,
it	it	it
s	s	s
all	all	all
about	about	about
throwing	throw	throwing
them	them	them
a	a	a
big	big	big
party	parti	party
,	,	,
complete	complet	complete
with	with	with
a	a	a
Donald	donald	Donald
Trump	trump	Trump
pi	pi	pi
ata	ata	ata
.	.	.
Consider	consid	Consider
partnering	partner	partnering
with	with	with
community	communiti	community
and	and	and
stakeholder	stakehold	stakeholder
groups	group	group
to	to	to
amplify	amplifi	amplify
the	the	the
event	event	event
,	,	,
the	the	the
guide	guid	guide
suggests	suggest	suggests
.	.	.
A	a	A
stakeholder	stakehold	stakeholder
group	group	group
?	?	?
Are	are	Are
they	they	they
talking	talk	talking
about	about	about
taxpayers	taxpay	taxpayer
or	or	or
citizens	citizen	citizen
?	?	?
Other	other	Other
proposals	propos	proposal
include	includ	include
Publicly	public	Publicly
demonstrate	demonstr	demonstrate
support	support	support
for	for	for
undocumented	undocu	undocumented
students	student	student
How	how	How
do	do	do
you	you	you
think	think	think
schools	school	school
will	will	will
demonstrate	demonstr	demonstrate
support	support	support
for	for	for
undocumented	undocu	undocumented
students	student	student
?	?	?
Student	student	Student
Hey	hey	Hey
,	,	,
Pedro	pedro	Pedro
,	,	,
I	i	I
know	know	know
you	you	you
re	re	re
in	in	in
the	the	the
country	countri	country
illegally	illeg	illegally
,	,	,
but	but	but
we	we	we
re	re	re
cool	cool	cool
with	with	with
that	that	that
.	.	.
We	we	We
think	think	think
all	all	all
laws	law	law
should	should	should
be	be	be
enforced	enforc	enforced
,	,	,
except	except	except
ones	one	one
that	that	that
inconvenience	inconveni	inconvenience
you	you	you
.	.	.
and	and	and
educate	educ	educate
all	all	all
students	student	student
about	about	about
the	the	the
challenges	challeng	challenge
and	and	and
strengths	strength	strength
of	of	of
undocumented	undocu	undocumented
students	student	student
,	,	,
such	such	such
as	as	a
by	by	by
hosting	host	hosting
an	an	an
Undocumented	undocu	Undocumented
Week	week	Week
.	.	.
Challenges	challeng	Challenges
are	are	are
easy	easi	easy
.	.	.
Figuring	figur	Figuring
out	out	out
how	how	how
to	to	to
sign	sign	sign
up	up	up
for	for	for
welfare	welfar	welfare
.	.	.
Filling	fill	Filling
out	out	out
the	the	the
paperwork	paperwork	paperwork
to	to	to
register	regist	register
to	to	to
vote	vote	vote
.	.	.
Each	each	Each
day	day	day
,	,	,
highlight	highlight	highlight
an	an	an
issue	issu	issue
faced	face	faced
by	by	by
undocumented	undocu	undocumented
students	student	student
or	or	or
celebrate	celebr	celebrate
an	an	an
accomplishment	accomplish	accomplishment
of	of	of
the	the	the
undocumented	undocu	undocumented
immigrant	immigr	immigrant
community	communiti	community
,	,	,
it	it	it
continues	continu	continues
.	.	.
What	what	What
accomplishments	accomplish	accomplishment
?	?	?
Living	live	Living
off	off	off
the	the	the
American	american	American
taxpayer	taxpay	taxpayer
?	?	?
Continuing	continu	Continuing
to	to	to
resist	resist	resist
learning	learn	learning
our	our	our
language	languag	language
?	?	?
Our	our	Our
nation	nation	nation
s	s	s
public	public	public
schools	school	school
should	should	should
be	be	be
welcoming	welcom	welcoming
,	,	,
safe	safe	safe
,	,	,
and	and	and
supportive	support	supportive
places	place	place
where	where	where
all	all	all
students	student	student
,	,	,
regardless	regardless	regardless
of	of	of
their	their	their
zip	zip	zip
code	code	code
or	or	or
where	where	where
they	they	they
were	were	were
born	born	born
,	,	,
are	are	are
given	given	given
the	the	the
opportunity	opportun	opportunity
to	to	to
succeed	succeed	succeed
,	,	,
John	john	John
King	king	King
,	,	,
a	a	a
senior	senior	senior
adviser	advis	adviser
at	at	at
the	the	the
Department	depart	Department
of	of	of
Education	educ	Education
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
regardless	regardless	regardless
of	of	of
what	what	what
ZIP	zip	ZIP
code	code	code
they	they	they
were	were	were
born	born	born
in	in	in
?	?	?
King	king	King
is	is	is
making	make	making
it	it	it
sound	sound	sound
as	as	a
though	though	though
we	we	we
re	re	re
discriminating	discrimin	discriminating
against	against	against
people	peopl	people
born	born	born
in	in	in
a	a	a
different	differ	different
part	part	part
of	of	of
Nebraska	nebraska	Nebraska
.	.	.
These	these	These
are	are	are
people	peopl	people
from	from	from
other	other	other
countries	countri	country
who	who	who
came	came	came
here	here	here
illegally	illeg	illegally
.	.	.
Why	whi	Why
should	should	should
we	we	we
be	be	be
welcoming	welcom	welcoming
people	peopl	people
who	who	who
invaded	invad	invaded
our	our	our
borders	border	border
illegally	illeg	illegally
?	?	?
Via	via	Via
American	american	American
Thinker	thinker	Thinker
