If	if	If
you	you	you
are	are	are
a	a	a
low	low	low
-income	-incom	-income
earner	earner	earner
and	and	and
over	over	over
64	64	64
years	year	year
of	of	of
age	age	age
,	,	,
just	just	just
be	be	be
warned	warn	warned
You	you	You
will	will	will
be	be	be
paying	pay	paying
more	more	more
than	than	than
half	half	half
of	of	of
your	your	your
annual	annual	annual
income	incom	income
on	on	on
health	health	health
insurance	insur	insurance
in	in	in
the	the	the
individual	individu	individual
market	market	market
under	under	under
the	the	the
Republican	republican	Republican
Party	parti	Party
s	s	s
new	new	new
health	health	health
care	care	care
bill	bill	bill
set	set	set
to	to	to
replace	replac	replace
Obamacare	obamacar	Obamacare
,	,	,
the	the	the
American	american	American
Health	health	Health
Care	care	Care
Act	act	Act
.	.	.
The	the	The
Congressional	congression	Congressional
Budget	budget	Budget
Office	offic	Office
found	found	found
that	that	that
the	the	the
revised	revis	revised
bill	bill	bill
does	doe	doe
,	,	,
in	in	in
fact	fact	fact
,	,	,
bring	bring	bring
down	down	down
overall	overal	overall
premiums	premium	premium
in	in	in
the	the	the
individual	individu	individual
market	market	market
at	at	at
a	a	a
rate	rate	rate
of	of	of
between	between	between
four	four	four
to	to	to
twenty	twenti	twenty
percent	percent	percent
by	by	by
2026	2026	2026
when	when	when
compared	compar	compared
to	to	to
the	the	the
current	current	current
law	law	law
.	.	.
The	the	The
variation	variat	variation
in	in	in
percentage	percentag	percentage
differs	differ	differs
state	state	state
-by-state	-by-stat	-by-state
,	,	,
depending	depend	depending
on	on	on
whether	whether	whether
the	the	the
state	state	state
accepts	accept	accepts
regulatory	regulatori	regulatory
waivers	waiver	waiver
under	under	under
the	the	the
American	american	American
Health	health	Health
Care	care	Care
Act	act	Act
,	,	,
which	which	which
would	would	would
allow	allow	allow
insurers	insur	insurer
to	to	to
offer	offer	offer
much	much	much
skimpier	skimpier	skimpier
health	health	health
plans	plan	plan
at	at	at
lower	lower	lower
premiums	premium	premium
.	.	.
What	what	What
this	this	this
means	mean	mean
is	is	is
that	that	that
states	state	state
that	that	that
allow	allow	allow
the	the	the
waivers	waiver	waiver
would	would	would
have	have	have
far	far	far
lower	lower	lower
