21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
says	say	say
A	a	A
request	request	request
by	by	by
Native	nativ	Native
American	american	American
tribes	tribe	tribe
seeking	seek	seeking
to	to	to
halt	halt	halt
the	the	the
construction	construct	construction
of	of	of
the	the	the
final	final	final
link	link	link
in	in	in
the	the	the
highly	high	highly
politicized	politic	politicized
and	and	and
controversial	controversi	controversial
Dakota	dakota	Dakota
Access	access	Access
Pipeline	pipelin	Pipeline
has	has	ha
been	been	been
declined	declin	declined
by	by	by
a	a	a
federal	feder	federal
judge	judg	judge
in	in	in
Washington	washington	Washington
DC	dc	DC
.	.	.
The	the	The
tribes	tribe	tribe
at	at	at
Standing	stand	Standing
Rock	rock	Rock
and	and	and
Cheyenne	cheyenn	Cheyenne
River	river	River
Sioux	sioux	Sioux
were	were	were
not	not	not
successful	success	successful
in	in	in
claiming	claim	claiming
that	that	that
the	the	the
project	project	project
will	will	will
prevent	prevent	prevent
them	them	them
from	from	from
conducting	conduct	conducting
religious	religi	religious
ceremonies	ceremoni	ceremony
at	at	at
Oahe	oah	Oahe
Lake	lake	Lake
but	but	but
District	district	District
Court	court	Court
Judge	judg	Judge
James	jame	James
Boasberg	boasberg	Boasberg
declined	declin	declined
their	their	their
request	request	request
citing	cite	citing
no	no	no
imminent	immin	imminent
harm	harm	harm
to	to	to
the	the	the
tribes	tribe	tribe
practices	practic	practice
could	could	could
be	be	be
shown	shown	shown
.	.	.
As	as	As
noted	note	noted
by	by	by
RT	rt	RT
and	and	and
AP	ap	AP
below	below	below
,	,	,
the	the	the
project	project	project
is	is	is
headed	head	headed
up	up	up
by	by	by
Energy	energi	Energy
Transfer	transfer	Transfer
Partners	partner	Partners
,	,	,
who	who	who
s	s	s
representatives	repres	representative
argued	argu	argued
that	that	that
this	this	this
halt	halt	halt
in	in	in
construction	construct	construction
request	request	request
over	over	over
the	the	the
issue	issu	issue
of	of	of
preventing	prevent	preventing
tribes	tribe	tribe
religious	religi	religious
ceremonies	ceremoni	ceremony
was	was	wa
exceedingly	exceed	exceedingly
tardy	tardi	tardy
and	and	and
not	not	not
construction	construct	construction
related	relat	related
.	.	.

The	the	The
denial	denial	denial
of	of	of
this	this	this
request	request	request
is	is	is
not	not	not
coming	come	coming
as	as	a
a	a	a
surprise	surpris	surprise
to	to	to
many	mani	many
who	who	who
are	are	are
well	well	well
aware	awar	aware
that	that	that
the	the	the
DAPL	dapl	DAPL
project	project	project
was	was	wa
more	more	more
than	than	than
90	90	90
complete	complet	complete
back	back	back
when	when	when
Obama	obama	Obama
signed	sign	signed
a	a	a
temporary	temporari	temporary
hold	hold	hold
on	on	on
the	the	the
project	project	project
,	,	,
which	which	which
could	could	could
have	have	have
been	been	been
largely	larg	largely
a	a	a
political	polit	political
move	move	move
,	,	,
leaving	leav	leaving
this	this	this
issue	issu	issue
for	for	for
the	the	the
Trump	trump	Trump
administration	administr	administration
to	to	to
handle	handl	handle
.	.	.

RTA	rta	RTA
federal	feder	federal
judge	judg	judge
in	in	in
Washington	washington	Washington
,	,	,
DC	dc	DC
has	has	ha
dismissed	dismiss	dismissed
a	a	a
request	request	request
by	by	by
a	a	a
group	group	group
of	of	of
Native	nativ	Native
American	american	American
tribes	tribe	tribe
seeking	seek	seeking
to	to	to
stop	stop	stop
construction	construct	construction
of	of	of
the	the	the
final	final	final
link	link	link
of	of	of
the	the	the
controversial	controversi	controversial
Dakota	dakota	Dakota
Access	access	Access
Pipeline	pipelin	Pipeline
.	.	.
Standing	stand	Standing
Rock	rock	Rock
Sioux	sioux	Sioux
and	and	and
Cheyenne	cheyenn	Cheyenne
River	river	River
Sioux	sioux	Sioux
tribes	tribe	tribe
claimed	claim	claimed
the	the	the
project	project	project
will	will	will
prevent	prevent	prevent
them	them	them
from	from	from
practicing	practic	practicing
religious	religi	religious
ceremonies	ceremoni	ceremony
at	at	at
Oahe	oah	Oahe
Lake	lake	Lake
which	which	which
they	they	they
say	say	say
is	is	is
surrounded	surround	surrounded
by	by	by
sacred	sacr	sacred
ground	ground	ground
.	.	.

District	district	District
Court	court	Court
Judge	judg	Judge
James	jame	James
Boasberg	boasberg	Boasberg
stated	state	stated
there	there	there
was	was	wa
no	no	no
imminent	immin	imminent
harm	harm	harm
to	to	to
the	the	the
tribes	tribe	tribe
religious	religi	religious
practices	practic	practice
as	as	a
oil	oil	oil
is	is	is
not	not	not
flowing	flow	flowing
through	through	through
the	the	the
pipeline	pipelin	pipeline
yet	yet	yet
.	.	.
The	the	The
ruling	rule	ruling
will	will	will
allow	allow	allow
Energy	energi	Energy
Transfer	transfer	Transfer
Partners	partner	Partners
,	,	,
the	the	the
company	compani	company
building	build	building
the	the	the
3	3	3
.	.	.
8	8	8
billion	billion	billion
,	,	,
1	1	1
,	,	,
170	170	170
mile	mile	mile
pipeline	pipelin	pipeline
,	,	,
to	to	to
finish	finish	finish
the	the	the
final	final	final
1	1	1
,	,	,
100ft	100ft	100ft
335m	335m	335m
connection	connect	connection
under	under	under
Lake	lake	Lake
Oahe	oah	Oahe
in	in	in
North	north	North
Dakota	dakota	Dakota
,	,	,
completing	complet	completing
the	the	the
project	project	project
.	.	.
The	the	The
company	compani	company
s	s	s
stock	stock	stock
rose	rose	rose
0	0	0
.	.	.
3	3	3
percent	percent	percent
after	after	after
the	the	the
announcement	announc	announcement
,	,	,
according	accord	according
to	to	to
Seeking	seek	Seeking
Alpha	alpha	Alpha
.	.	.
Boasberg	boasberg	Boasberg
will	will	will
more	more	more
thoroughly	thorough	thoroughly
consider	consid	consider
the	the	the
request	request	request
at	at	at
a	a	a
February	februari	February
27	27	27
hearing	hear	hearing
,	,	,
AP	ap	AP
reported	report	reported
.	.	.
The	the	The
US	us	US
Army	armi	Army
Corp	corp	Corp
of	of	of
Engineers	engin	Engineers
filed	file	filed
documents	document	document
favoring	favor	favoring
Energy	energi	Energy
Transfer	transfer	Transfer
Partners	partner	Partners
,	,	,
having	have	having
granted	grant	granted
the	the	the
final	final	final
easement	easement	easement
for	for	for
DAPL	dapl	DAPL
last	last	last
Tuesday	tuesday	Tuesday
.	.	.

The	the	The
Corps	corp	Corps
said	said	said
that	that	that
the	the	the
tribes	tribe	tribe
will	will	will
have	have	have
plenty	plenti	plenty
of	of	of
time	time	time
to	to	to
argue	argu	argue
their	their	their
case	case	case
before	befor	before
the	the	the
pipeline	pipelin	pipeline
begins	begin	begin
working	work	working
,	,	,
thus	thus	thus
a	a	a
work	work	work
stoppage	stoppag	stoppage
wasn	wasn	wasn
t	t	t
warranted	warrant	warranted
.	.	.
Energy	energi	Energy
Transfer	transfer	Transfer
Partners	partner	Partners
had	had	had
argued	argu	argued
that	that	that
the	the	the
tribes	tribe	tribe
argument	argument	argument
that	that	that
the	the	the
work	work	work
threatened	threaten	threatened
their	their	their
religion	religion	religion
was	was	wa
exceedingly	exceed	exceedingly
tardy	tardi	tardy
and	and	and
not	not	not
construction	construct	construction
-related	-relat	-related
,	,	,
AP	ap	AP
reported	report	reported
.	.	.
The	the	The
decision	decis	decision
allows	allow	allows
construction	construct	construction
on	on	on
DAPL	dapl	DAPL
to	to	to
continue	continu	continue
while	while	while
the	the	the
lawsuits	lawsuit	lawsuit
against	against	against
the	the	the
project	project	project
to	to	to
proceed	proceed	proceed
.	.	.
Boasberg	boasberg	Boasberg
previously	previous	previously
rejected	reject	rejected
a	a	a
request	request	request
by	by	by
tribes	tribe	tribe
to	to	to
block	block	block
the	the	the
project	project	project
in	in	in
September	septemb	September
.	.	.

However	howev	However
,	,	,
that	that	that
ruling	rule	ruling
was	was	wa
superseded	supersed	superseded
by	by	by
the	the	the
Obama	obama	Obama
administration	administr	administration
s	s	s
decision	decis	decision
in	in	in
December	decemb	December
to	to	to
delay	delay	delay
construction	construct	construction
,	,	,
pending	pend	pending
an	an	an
environmental	environment	environmental
review	review	review
.	.	.
However	howev	However
,	,	,
one	one	one
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
first	first	first
acts	act	act
in	in	in
office	offic	office
was	was	wa
to	to	to
sign	sign	sign
a	a	a
presidential	presidenti	presidential
memoranda	memoranda	memoranda
ordering	order	ordering
the	the	the
removal	remov	removal
of	of	of
obstacles	obstacl	obstacle
to	to	to
the	the	the
construction	construct	construction
of	of	of
both	both	both
the	the	the
Dakota	dakota	Dakota
Access	access	Access
Pipeline	pipelin	Pipeline
and	and	and
the	the	the
Keystone	keyston	Keystone
XL	xl	XL
Continue	continu	Continue
this	this	this
report	report	report
at	at	at
RTREAD	rtread	RTREAD
MORE	more	MORE
DAPL	dapl	DAPL
NEWS	news	NEWS
AT	at	AT
21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
DAPL	dapl	DAPL
FilesSUPPORT	filessupport	FilesSUPPORT
OUR	our	OUR
WORK	work	WORK
BY	by	BY
SUBSCRIBING	subscrib	SUBSCRIBING
BECOMING	becom	BECOMING
A	a	A
MEMBER	member	MEMBER
@21WIRE	@21wire	@21WIRE
.	.	.
TV	tv	TV

