When	when	When
Devin	devin	Devin
Nunes	nune	Nunes
went	went	went
running	run	running
to	to	to
Trump	trump	Trump
with	with	with
information	inform	information
that	that	that
Trump	trump	Trump
s	s	s
transition	transit	transition
team	team	team
was	was	wa
caught	caught	caught
up	up	up
in	in	in
surveillance	surveil	surveillance
,	,	,
he	he	he
probably	probabl	probably
didn	didn	didn
t	t	t
think	think	think
he	he	he
d	d	d
get	get	get
caught	caught	caught
in	in	in
his	his	his
lies	lie	lie
.	.	.

He	he	He
probably	probabl	probably
didn	didn	didn
t	t	t
think	think	think
that	that	that
anybody	anybodi	anybody
would	would	would
look	look	look
into	into	into
his	his	his
claim	claim	claim
that	that	that
,	,	,
while	while	while
yes	yes	yes
,	,	,
he	he	he
visited	visit	visited
the	the	the
White	white	White
House	hous	House
,	,	,
he	he	he
absolutely	absolut	absolutely
did	did	did
not	not	not
get	get	get
his	his	his
info	info	info
from	from	from
White	white	White
House	hous	House
staffers	staffer	staffer
.	.	.

The	the	The
New	new	New
York	york	York
Times	time	Times
did	did	did
,	,	,
and	and	and
now	now	now
Nunes	nune	Nunes
entire	entir	entire
world	world	world
is	is	is
cracking	crack	cracking
around	around	around
him	him	him
.	.	.
Two	two	Two
of	of	of
his	his	his
sources	sourc	source
were	were	were
,	,	,
in	in	in
fact	fact	fact
,	,	,
White	white	White
House	hous	House
staffers	staffer	staffer
with	with	with
not	not	not
-insignificant	-insignific	-insignificant
positions	posit	position
.	.	.

One	one	One
was	was	wa
Ezra	ezra	Ezra
Cohen	cohen	Cohen
-Watnick	-watnick	-Watnick
,	,	,
the	the	the
senior	senior	senior
director	director	director
of	of	of
intelligence	intellig	intelligence
for	for	for
the	the	the
National	nation	National
Security	secur	Security
Council	council	Council
who	who	who
was	was	wa
brought	brought	brought
on	on	on
board	board	board
by	by	by
the	the	the
one	one	one
and	and	and
only	onli	only
disgraced	disgrac	disgraced
Michael	michael	Michael
Flynn	flynn	Flynn
.	.	.
The	the	The
other	other	other
was	was	wa
Michael	michael	Michael
Ellis	elli	Ellis
,	,	,
a	a	a
national	nation	national
security	secur	security
lawyer	lawyer	lawyer
working	work	working
in	in	in
the	the	the
White	white	White
House	hous	House
Counsel	counsel	Counsel
s	s	s
office	offic	office
.	.	.

Ellis	elli	Ellis
once	onc	once
served	serv	served
as	as	a
a	a	a
staffer	staffer	staffer
for	for	for
the	the	the
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
.	.	.
So	so	So
it	it	it
s	s	s
not	not	not
like	like	like
Nunes	nune	Nunes
got	got	got
his	his	his
info	info	info
from	from	from
two	two	two
low	low	low
-level	-level	-level
,	,	,
no	no	no
-name	-name	-name
staffers	staffer	staffer
who	who	who
may	may	may
or	or	or
may	may	may
not	not	not
know	know	know
anything	anyth	anything
real	real	real
.	.	.

He	he	He
got	got	got
it	it	it
from	from	from
high	high	high
-level	-level	-level
security	secur	security
officials	offici	official
within	within	within
the	the	the
White	white	White
House	hous	House
,	,	,
and	and	and
now	now	now
his	his	his
credibility	credibl	credibility
is	is	is
shot	shot	shot
to	to	to
hell	hell	hell
.	.	.
The	the	The
sources	sourc	source
who	who	who
spoke	spoke	spoke
to	to	to
The	the	The
New	new	New
York	york	York
Times	time	Times
did	did	did
so	so	so
on	on	on
the	the	the
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
,	,	,
but	but	but
they	they	they
did	did	did
say	say	say
that	that	that
the	the	the
reports	report	report
that	that	that
Ellis	elli	Ellis
and	and	and
Cohen	cohen	Cohen
-Watnick	-watnick	-Watnick
were	were	were
looking	look	looking
at	at	at
pretty	pretti	pretty
much	much	much
matched	match	matched
what	what	what
Nunes	nune	Nunes
said	said	said
they	they	they
were	were	were
.	.	.

Nunes	nune	Nunes
has	has	ha
insisted	insist	insisted
from	from	from
the	the	the
beginning	begin	beginning
of	of	of
the	the	the
House	hous	House
s	s	s
Russia	russia	Russia
investigation	investig	investigation
that	that	that
the	the	the
real	real	real
problem	problem	problem
is	is	is
who	who	who
s	s	s
leaking	leak	leaking
information	inform	information
,	,	,
and	and	and
why	whi	why
he	he	he
could	could	could
identify	identifi	identify
some	some	some
of	of	of
the	the	the
people	peopl	people
in	in	in
the	the	the
intelligence	intellig	intelligence
reports	report	report
,	,	,
and	and	and
not	not	not
the	the	the
possibility	possibl	possibility
of	of	of
high	high	high
treason	treason	treason
.	.	.
But	but	But
now	now	now
that	that	that
we	we	we
know	know	know
he	he	he
lied	lie	lied
about	about	about
where	where	where
his	his	his
sources	sourc	source
came	came	came
from	from	from
,	,	,
we	we	we
have	have	have
to	to	to
wonder	wonder	wonder
where	where	where
his	his	his
loyalties	loyalti	loyalty
lie	lie	lie
and	and	and
whether	whether	whether
he	he	he
himself	himself	himself
is	is	is
guilty	guilti	guilty
of	of	of
treason	treason	treason
.	.	.
While	while	While
the	the	the
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
remains	remain	remains
stalled	stall	stalled
due	due	due
to	to	to
Nunes	nune	Nunes
feeling	feel	feeling
more	more	more
obligated	oblig	obligated
to	to	to
Trump	trump	Trump
than	than	than
he	he	he
does	doe	doe
to	to	to
conducting	conduct	conducting
a	a	a
thorough	thorough	thorough
and	and	and
impartial	imparti	impartial
investigation	investig	investigation
,	,	,
the	the	the
Senate	senat	Senate
Intelligence	intellig	Intelligence
Committee	committe	Committee
is	is	is
plugging	plug	plugging
smoothly	smooth	smoothly
on	on	on
with	with	with
theirs	their	theirs
.	.	.

At	at	At
the	the	the
bare	bare	bare
minimum	minimum	minimum
,	,	,
Nunes	nune	Nunes
needs	need	need
to	to	to
recuse	recus	recuse
himself	himself	himself
from	from	from
this	this	this
investigation	investig	investigation
.	.	.

He	he	He
really	realli	really
ought	ought	ought
to	to	to
resign	resign	resign
his	his	his
post	post	post
entirely	entir	entirely
,	,	,
though	though	though
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
via	via	via
Getty	getti	Getty
Images	imag	Images

