We	we	We
assume	assum	assume
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
talking	talk	talking
about	about	about
illegal	illeg	illegal
aliens	alien	alien
like	like	like
Horacio	horacio	Horacio
Alvarado	alvarado	Alvarado
who	who	who
repeatedly	repeat	repeatedly
raped	rape	raped
his	his	his
14	14	14
-year-old	-year-old	-year-old
step	step	step
-daughter	-daughter	-daughter
and	and	and
eventually	eventu	eventually
impregnated	impregn	impregnated
her	her	her
in	in	in
hopes	hope	hope
that	that	that
it	it	it
would	would	would
be	be	be
his	his	his
ticket	ticket	ticket
to	to	to
citizenship	citizenship	citizenship
.	.	.
Daily	daili	Daily
Mail	mail	Mail
-An	-an	-An
illegal	illeg	illegal
immigrant	immigr	immigrant
in	in	in
Milwaukee	milwauke	Milwaukee
is	is	is
accused	accus	accused
of	of	of
fathering	father	fathering
his	his	his
teenage	teenag	teenage
stepdaughter	stepdaught	stepdaughter
s	s	s
child	child	child
in	in	in
a	a	a
misguided	misguid	misguided
attempt	attempt	attempt
to	to	to
remain	remain	remain
in	in	in
the	the	the
US	us	US
.	.	.
Horacio	horacio	Horacio
Alvarado	alvarado	Alvarado
,	,	,
32	32	32
,	,	,
allegedly	alleg	allegedly
impregnated	impregn	impregnated
the	the	the
girl	girl	girl
when	when	when
she	she	she
was	was	wa
15	15	15
and	and	and
then	then	then
sought	sought	sought
a	a	a
paternity	patern	paternity
test	test	test
,	,	,
believing	believ	believing
it	it	it
would	would	would
keep	keep	keep
him	him	him
in	in	in
the	the	the
country	countri	country
.	.	.

The	the	The
girl	girl	girl
gave	gave	gave
birth	birth	birth
to	to	to
the	the	the
child	child	child
back	back	back
in	in	in
2012	2012	2012
but	but	but
police	polic	police
only	onli	only
uncovered	uncov	uncovered
a	a	a
lengthy	lengthi	lengthy
history	histori	history
of	of	of
alleged	alleg	alleged
assaults	assault	assault
last	last	last
month	month	month
when	when	when
they	they	they
started	start	started
investigating	investig	investigating
a	a	a
new	new	new
sexual	sexual	sexual
assault	assault	assault
claim	claim	claim
made	made	made
by	by	by
the	the	the
victim	victim	victim
.	.	.
The	the	The
step	step	step
-daughter	-daughter	-daughter
,	,	,
now	now	now
aged	age	aged
22	22	22
,	,	,
was	was	wa
being	be	being
interviewed	interview	interviewed
over	over	over
the	the	the
recent	recent	recent
sex	sex	sex
assault	assault	assault
allegation	alleg	allegation
when	when	when
she	she	she
told	told	told
police	polic	police
Alvarado	alvarado	Alvarado
had	had	had
repeatedly	repeat	repeatedly
abused	abus	abused
her	her	her
as	as	a
a	a	a
teenager	teenag	teenager
,	,	,
according	accord	according
to	to	to
a	a	a
criminal	crimin	criminal
complaint	complaint	complaint
obtained	obtain	obtained
by	by	by
the	the	the
Milwaukee	milwauke	Milwaukee
