Will	will	Will
the	the	the
mainstream	mainstream	mainstream
media	media	medium
report	report	report
about	about	about
this	this	this
?	?	?
Contradicting	contradict	Contradicting
statements	statement	statement
by	by	by
Virginia	virginia	Virginia
Gov	gov	Gov
.	.	.

Terry	terri	Terry
McAuliffe	mcauliff	McAuliffe
,	,	,
the	the	the
Virginia	virginia	Virginia
State	state	State
Police	polic	Police
say	say	say
they	they	they
did	did	did
not	not	not
find	find	find
caches	cach	cache
of	of	of
weapons	weapon	weapon
stashed	stash	stashed
around	around	around
Charlottesville	charlottesvill	Charlottesville
in	in	in
advance	advanc	advance
of	of	of
last	last	last
Saturday	saturday	Saturday
s	s	s
deadly	dead	deadly
white	white	white
nationalist	nationalist	nationalist
rally	ralli	rally
.	.	.
In	in	In
an	an	an
interview	interview	interview
Monday	monday	Monday
on	on	on
the	the	the
Pod	pod	Pod
Save	save	Save
the	the	the
People	peopl	People
podcast	podcast	podcast
,	,	,
hosted	host	hosted
by	by	by
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
activist	activist	activist
DeRay	deray	DeRay
Mckesson	mckesson	Mckesson
,	,	,
McAuliffe	mcauliff	McAuliffe
claimed	claim	claimed
the	the	the
white	white	white
nationalists	nationalist	nationalist
who	who	who
streamed	stream	streamed
into	into	into
Charlottesville	charlottesvill	Charlottesville
that	that	that
weekend	weekend	weekend
hid	hid	hid
weapons	weapon	weapon
throughout	throughout	throughout
the	the	the
town	town	town
.	.	.

They	they	They
had	had	had
battering	batter	battering
rams	ram	ram
and	and	and
we	we	we
had	had	had
picked	pick	picked
up	up	up
different	differ	different
weapons	weapon	weapon
that	that	that
they	they	they
had	had	had
stashed	stash	stashed
around	around	around
the	the	the
city	citi	city
,	,	,
McAuliffe	mcauliff	McAuliffe
told	told	told
Mckesson	mckesson	Mckesson
.	.	.
McAuliffe	mcauliff	McAuliffe
s	s	s
comments	comment	comment
were	were	were
picked	pick	picked
up	up	up
by	by	by
other	other	other
news	news	news
outlets	outlet	outlet
and	and	and
spread	spread	spread
through	through	through
