There	there	There
are	are	are
numerous	numer	numerous
crimes	crime	crime
we	we	we
report	report	report
on	on	on
every	everi	every
day	day	day
that	that	that
do	do	do
not	not	not
tell	tell	tell
if	if	if
the	the	the
criminal	crimin	criminal
is	is	is
in	in	in
America	america	America
legally	legal	legally
.	.	.
When	when	When
we	we	we
find	find	find
a	a	a
news	news	news
source	sourc	source
that	that	that
actually	actual	actually
tells	tell	tell
you	you	you
we	we	we
re	re	re
shocked	shock	shocked
!	!	!
The	the	The
main	main	main
stream	stream	stream
media	media	medium
is	is	is
really	realli	really
good	good	good
at	at	at
hiding	hide	hiding
the	the	the
details	detail	detail
of	of	of
criminals	crimin	criminal
like	like	like
the	the	the
ones	one	one
who	who	who
committed	commit	committed
the	the	the
crime	crime	crime
below	below	below
.	.	.
The	the	The
Boston	boston	Boston
Herald	herald	Herald
reported	report	reported
when	when	when
it	it	it
came	came	came
to	to	to
light	light	light
that	that	that
the	the	the
accused	accus	accused
are	are	are
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
illegally	illeg	illegally
.	.	.
Federal	feder	Federal
immigration	immigr	immigration
officials	offici	official
are	are	are
requesting	request	requesting
detainers	detain	detainers
on	on	on
four	four	four
illegal	illeg	illegal
aliens	alien	alien
accused	accus	accused
of	of	of
a	a	a
heinous	heinous	heinous
attack	attack	attack
on	on	on
a	a	a
Framingham	framingham	Framingham
couple	coupl	couple
in	in	in
which	which	which
the	the	the
woman	woman	woman
was	was	wa
raped	rape	raped
and	and	and
her	her	her
boyfriend	boyfriend	boyfriend
was	was	wa
beaten	beaten	beaten
and	and	and
threatened	threaten	threatened
with	with	with
death	death	death
,	,	,
the	the	the
Herald	herald	Herald
has	has	ha
learned	learn	learned
.	.	.
Two	two	Two
of	of	of
the	the	the
illegals	illeg	illegals
had	had	had
previously	previous	previously
been	been	been
deported	deport	deported
to	to	to
Guatemala	guatemala	Guatemala
,	,	,
said	said	said
Immigration	immigr	Immigration
and	and	and
Customs	custom	Customs
Enforcement	enforc	Enforcement
spokesman	spokesman	spokesman
Shawn	shawn	Shawn
Neudauer	neudauer	Neudauer
.	.	.
Elmer	elmer	Elmer
Diaz	diaz	Diaz
,	,	,
19	19	19
,	,	,
is	is	is
charged	charg	charged
with	with	with
rape	rape	rape
,	,	,
assault	assault	assault
with	with	with
a	a	a
dangerous	danger	dangerous
weapon	weapon	weapon
,	,	,
kidnapping	kidnap	kidnapping
and	and	and
threatening	threaten	threatening
to	to	to
commit	commit	commit
a	a	a
crime	crime	crime
.	.	.
His	his	His
brother	brother	brother
,	,	,
Ariel	ariel	Ariel
Diaz	diaz	Diaz
,	,	,
24	24	24
,	,	,
was	was	wa
charged	charg	charged
with	with	with
