Token	Stem	Lemma
It	it	It
is	is	is
becoming	becom	becoming
clearer	clearer	clearer
and	and	and
clearer	clearer	clearer
that	that	that
Donald	donald	Donald
Trump	trump	Trump
and	and	and
the	the	the
people	peopl	people
around	around	around
him	him	him
have	have	have
serious	serious	serious
ties	tie	tie
to	to	to
Vladimir	vladimir	Vladimir
Putin	putin	Putin
and	and	and
Russian	russian	Russian
operatives	oper	operative
On	on	On
top	top	top
of	of	of
that	that	that
the	the	the
story	stori	story
regarding	regard	regarding
Trump	trump	Trump
s	s	s
Attorney	attorney	Attorney
General	general	General
Jeff	jeff	Jeff
Sessions	session	Sessions
meeting	meet	meeting
with	with	with
the	the	the
Russian	russian	Russian
Ambassador	ambassador	Ambassador
and	and	and
lying	lie	lying
about	about	about
it	it	it
under	under	under
oath	oath	oath
completely	complet	completely
stepped	step	stepped
on	on	on
what	what	what
could	could	could
have	have	have
been	been	been
a	a	a
good	good	good
news	news	news
cycle	cycl	cycle
after	after	after
a	a	a
surprisingly	surpris	surprisingly
semi	semi	semi
-normal	-normal	-normal
speech	speech	speech
delivered	deliv	delivered
to	to	to
a	a	a
joint	joint	joint
session	session	session
of	of	of
Congress	congress	Congress
So	so	So
what	what	what
does	doe	doe
Trump	trump	Trump
do	do	do
in	in	in
retaliation	retali	retaliation
Why	whi	Why
he	he	he
takes	take	take
to	to	to
Twitter	twitter	Twitter
of	of	of
course	cours	course
First	first	First
Trump	trump	Trump
insisted	insist	insisted
that	that	that
it	it	it
was	was	wa
illegal	illeg	illegal
leaks	leak	leak
and	and	and
fake	fake	fake
news	news	news
that	that	that
was	was	wa
the	the	the
REAL	real	REAL
story	stori	story
not	not	not
Sessions	session	Sessions
s	s	s
shading	shade	shading
dealings	deal	dealing
with	with	with
the	the	the
Russian	russian	Russian
Ambassador	ambassador	Ambassador
and	and	and
his	his	his
lies	lie	lie
regarding	regard	regarding
said	said	said
dealings	deal	dealing
When	when	When
that	that	that
tactic	tactic	tactic
didn	didn	didn
t	t	t
kill	kill	kill
the	the	the
story	stori	story
Trump	trump	Trump
tried	tri	tried
an	an	an
even	even	even
more	more	more
insane	insan	insane
approach	approach	approach
and	and	and
tweeted	tweet	tweeted
a	a	a
13	13	13
-year	-year	-year
-old	-old	-old
photo	photo	photo
of	of	of
Senate	senat	Senate
Minority	minor	Minority
Leader	leader	Leader
Chuck	chuck	Chuck
Schumer	schumer	Schumer
D	d	D
-NY	-ni	-NY
with	with	with
Vladimir	vladimir	Vladimir
Putin	putin	Putin
This	this	This
approach	approach	approach
makes	make	make
no	no	no
sense	sens	sense
at	at	at
all	all	all
considering	consid	considering
that	that	that
Team	team	Team
Trump	trump	Trump
keeps	keep	keep
saying	say	saying
that	that	that
there	there	there
s	s	s
absolutely	absolut	absolutely
nothing	noth	nothing
wrong	wrong	wrong
with	with	with
people	peopl	people
in	in	in
Congress	congress	Congress
meeting	meet	meeting
with	with	with
foreign	foreign	foreign
diplomats	diplomat	diplomat
and	and	and
leaders	leader	leader
be	be	be
they	they	they
adversaries	adversari	adversary
or	or	or
otherwise	otherwis	otherwise
However	howev	However
Trump	trump	Trump
plowed	plow	plowed
on	on	on
and	and	and
tweeted	tweet	tweeted
the	the	the
following	follow	following
So	so	So
let	let	let
me	me	me
get	get	get
this	this	this
straight	straight	straight
Trump	trump	Trump
s	s	s
people	peopl	people
and	and	and
let	let	let
s	s	s
face	face	face
it	it	it
likely	like	likely
Trump	trump	Trump
himself	himself	himself
wants	want	want
a	a	a
decade	decad	decade
plus	plus	plus
old	old	old
photo	photo	photo
of	of	of
Chuck	chuck	Chuck
Schumer	schumer	Schumer
with	with	with
Vladimir	vladimir	Vladimir
Putin	putin	Putin
investigated	investig	investigated
but	but	but
wants	want	want
the	the	the
investigation	investig	investigation
into	into	into
his	his	his
people	peopl	people
s	s	s
dealings	deal	dealing
with	with	with
Russian	russian	Russian
operatives	oper	operative
during	dure	during
a	a	a
presidential	presidenti	presidential
campaign	campaign	campaign
that	that	that
everyone	everyon	everyone
knows	know	know
was	was	wa
compromised	compromis	compromised
by	by	by
Russia	russia	Russia
dropped	drop	dropped
That	that	That
s	s	s
rich	rich	rich
Don	don	Don
t	t	t
fall	fall	fall
for	for	for
it	it	it
folks	folk	folk
This	this	This
is	is	is
nothing	noth	nothing
but	but	but
a	a	a
ridiculous	ridicul	ridiculous
distraction	distract	distraction
Where	where	Where
there	there	there
s	s	s
smoke	smoke	smoke
there	there	there
s	s	s
fire	fire	fire
There	there	There
s	s	s
no	no	no
smoke	smoke	smoke
with	with	with
Schumer	schumer	Schumer
but	but	but
there	there	there
sure	sure	sure
as	as	a
hell	hell	hell
is	is	is
plenty	plenti	plenty
of	of	of
smoke	smoke	smoke
with	with	with
Trump	trump	Trump
and	and	and
Co	co	Co
Let	let	Let
s	s	s
keep	keep	keep
our	our	our
eye	eye	eye
on	on	on
the	the	the
ball	ball	ball
here	here	here
and	and	and
root	root	root
these	these	these
treasonous	treason	treasonous
squatters	squatter	squatter
out	out	out
of	of	of
our	our	our
White	white	White
House	hous	House
Featured	featur	Featured
image	imag	image
via	via	via
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
