How	how	How
this	this	this
is	is	is
even	even	even
possible	possibl	possible
?	?	?

This	this	This
man	man	man
is	is	is
obviously	obvious	obviously
the	the	the
victim	victim	victim
of	of	of
an	an	an
insane	insan	insane
law	law	law
that	that	that
was	was	wa
somehow	somehow	somehow
allowed	allow	allowed
to	to	to
pass	pass	pas
without	without	without
even	even	even
considering	consid	considering
the	the	the
consequences	consequ	consequence
A	a	A
Texas	texa	Texas
man	man	man
is	is	is
battling	battl	battling
a	a	a
court	court	court
order	order	order
that	that	that
mandates	mandat	mandate
he	he	he
must	must	must
pay	pay	pay
tens	ten	ten
of	of	of
thousands	thousand	thousand
in	in	in
child	child	child
support	support	support
for	for	for
a	a	a
child	child	child
whom	whom	whom
he	he	he
did	did	did
not	not	not
biologically	biolog	biologically
father	father	father
and	and	and
whom	whom	whom
he	he	he
met	met	met
only	onli	only
once	onc	once
.	.	.
In	in	In
2003	2003	2003
,	,	,
a	a	a
child	child	child
support	support	support
court	court	court
in	in	in
Texas	texa	Texas
ruled	rule	ruled
that	that	that
Gabriel	gabriel	Gabriel
Cornejo	cornejo	Cornejo
,	,	,
45	45	45
,	,	,
had	had	had
to	to	to
pay	pay	pay
child	child	child
support	support	support
to	to	to
his	his	his
ex	ex	ex
-girlfriend	-girlfriend	-girlfriend
,	,	,
who	who	who
had	had	had
recently	recent	recently
given	given	given
birth	birth	birth
,	,	,
because	becaus	because
she	she	she
vowed	vow	vowed
there	there	there
was	was	wa
no	no	no
way	way	way
he	he	he
wasn	wasn	wasn
t	t	t
the	the	the
rightful	right	rightful
dad	dad	dad
.	.	.
Cornejo	cornejo	Cornejo
,	,	,
who	who	who
is	is	is
currently	current	currently
raising	rais	raising
three	three	three
children	children	child
of	of	of
his	his	his
own	own	own
and	and	and
two	two	two
nephews	nephew	nephew
,	,	,
claimed	claim	claimed
he	he	he
was	was	wa
not	not	not
made	made	made
aware	awar	aware
of	of	of
this	this	this
and	and	and
only	onli	only
found	found	found
out	out	out
about	about	about
the	the	the
child	child	child
support	support	support
payments	payment	payment
last	last	last
year	year	year
when	when	when
a	a	a
deputy	deputi	deputy
served	serv	served
him	him	him
with	with	with
court	court	court
papers	paper	paper
claiming	claim	claiming
that	that	that
the	the	the
state	state	state
of	of	of
Texas	texa	Texas
lists	list	list
him	him	him
as	as	a
having	have	having
another	anoth	another
child	child	child
.	.	.

He	he	He
soon	soon	soon
met	met	met
the	the	the
minor	minor	minor
for	for	for
the	the	the
first	first	first
and	and	and
only	onli	only
time	time	time
describing	describ	describing
her	her	her
as	as	a
a	a	a
wonderful	wonder	wonderful
girl	girl	girl
but	but	but
after	after	after
taking	take	taking
a	a	a
DNA	dna	DNA
test	test	test
,	,	,
learned	learn	learned
she	she	she
was	was	wa
not	not	not
his	his	his
after	after	after
all	all	all
.	.	.
He	he	He
soon	soon	soon
met	met	met
the	the	the
minor	minor	minor
for	for	for
the	the	the
first	first	first
and	and	and
only	onli	only
time	time	time
describing	describ	describing
her	her	her
as	as	a
a	a	a
wonderful	wonder	wonderful
girl	girl	girl
but	but	but
after	after	after
taking	take	taking
a	a	a
DNA	dna	DNA
test	test	test
,	,	,
learned	learn	learned
she	she	she
was	was	wa
not	not	not
his	his	his
after	after	after
all	all	all
.	.	.
Only	onli	Only
Cornejo	cornejo	Cornejo
s	s	s
ex	ex	ex
-girlfriend	-girlfriend	-girlfriend
and	and	and
the	the	the
state	state	state
still	still	still
want	want	want
the	the	the
65	65	65
,	,	,
000	000	000
in	in	in
back	back	back
payments	payment	payment
.	.	.
Texas	texa	Texas
family	famili	family
code	code	code
,	,	,
chapter	chapter	chapter
161	161	161
,	,	,
states	state	state
that	that	that
even	even	even
if	if	if
one	one	one
is	is	is
not	not	not
the	the	the
biological	biolog	biological
father	father	father
,	,	,
they	they	they
still	still	still
owe	owe	owe
support	support	support
payments	payment	payment
that	that	that
accrued	accru	accrued
before	befor	before
the	the	the
paternity	patern	paternity
test	test	test
proved	prove	proved
otherwise	otherwis	otherwise
.	.	.

In	in	In
Cornejo	cornejo	Cornejo
s	s	s
case	case	case
,	,	,
that	that	that
amounts	amount	amount
to	to	to
some	some	some
65	65	65
,	,	,
000	000	000
.	.	.

NYP	nyp	NYP

