One	one	One
of	of	of
the	the	the
craziest	craziest	craziest
things	thing	thing
about	about	about
Trump	trump	Trump
s	s	s
Russia	russia	Russia
fiasco	fiasco	fiasco
is	is	is
the	the	the
fact	fact	fact
that	that	that
to	to	to
defend	defend	defend
his	his	his
role	role	role
model	model	model
,	,	,
Russian	russian	Russian
president	presid	president
Vladimir	vladimir	Vladimir
Putin	putin	Putin
,	,	,
Trump	trump	Trump
has	has	ha
gone	gone	gone
against	against	against
multiple	multipl	multiple
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
agencies	agenc	agency
and	and	and
all	all	all
mounting	mount	mounting
evidence	evid	evidence
that	that	that
Russia	russia	Russia
did	did	did
in	in	in
fact	fact	fact
meddle	meddl	meddle
in	in	in
the	the	the
2016	2016	2016
election	elect	election
.	.	.
Trump	trump	Trump
has	has	ha
continued	continu	continued
to	to	to
deny	deni	deny
what	what	what
has	has	ha
been	been	been
widely	wide	widely
accepted	accept	accepted
as	as	a
facts	fact	fact
by	by	by
not	not	not
only	onli	only
intelligence	intellig	intelligence
experts	expert	expert
but	but	but
members	member	member
of	of	of
his	his	his
own	own	own
Republican	republican	Republican
Party	parti	Party
.	.	.
Even	even	Even
his	his	his
own	own	own
administration	administr	administration
is	is	is
publicly	public	publicly
disagreeing	disagre	disagreeing
with	with	with
Trump	trump	Trump
and	and	and
stating	state	stating
that	that	that
Russia	russia	Russia
interfered	interf	interfered
with	with	with
the	the	the
election	elect	election
and	and	and
today	today	today
,	,	,
Trump	trump	Trump
s	s	s
UN	un	UN
Ambassador	ambassador	Ambassador
humiliated	humili	humiliated
him	him	him
on	on	on
national	nation	national
television	televis	television
over	over	over
his	his	his
infamous	infam	infamous
denial	denial	denial
.	.	.
In	in	In
an	an	an
interview	interview	interview
with	with	with
CNN	cnn	CNN
,	,	,
UN	un	UN
Ambassador	ambassador	Ambassador
Nikki	nikki	Nikki
Haley	haley	Haley
stated	state	stated
that	that	that
everybody	everybodi	everybody
knows	know	know
that	that	that
Russia	russia	Russia
messed	mess	messed
around	around	around
with	with	with
the	the	the
election	elect	election
.	.	.
What	what	What
she	she	she
really	realli	really
should	should	should
have	have	have
said	said	said
was	was	wa
,	,	,
everyone	everyon	everyone
but	but	but
Trump	trump	Trump
.	.	.
Haley	haley	Haley
said	said	said
Everybody	everybodi	Everybody
knows	know	know
that	that	that
Russia	russia	Russia
meddled	meddl	meddled
in	in	in
our	our	our
elections	elect	election
.	.	.
Everybody	everybodi	Everybody
knows	know	know
that	that	that
they	they	they
re	re	re
not	not	not
just	just	just
meddling	meddl	meddling
in	in	in
the	the	the
United	unit	United
States	state	States
election	elect	election
.	.	.
They	they	They
re	re	re
doing	do	doing
this	this	this
across	across	across
multiple	multipl	multiple
continents	contin	continent
,	,	,
and	and	and
they	they	they
re	re	re
doing	do	doing
this	this	this
in	in	in
a	a	a
way	way	way
that	that	that
they	they	they
re	re	re
trying	tri	trying
to	to	to
cause	caus	cause
chaos	chao	chaos
within	within	within
the	the	the
countries	countri	country
.	.	.
And	and	And
it	it	it
s	s	s
not	not	not
just	just	just
going	go	going
to	to	to
be	be	be
us	us	u
saying	say	saying
this	this	this
.	.	.
I	i	I
think	think	think
you	you	you
re	re	re
going	go	going
to	to	to
hear	hear	hear
other	other	other
leaders	leader	leader
come	come	come
out	out	out
and	and	and
say	say	say
,	,	,
cut	cut	cut
it	it	it
out	out	out
,	,	,
we	we	we
re	re	re
not	not	not
going	go	going
