Conservatives	conserv	Conservatives
cheered	cheer	cheered
when	when	when
Pittsburgh	pittsburgh	Pittsburgh
Steeler	steeler	Steeler
Alejandro	alejandro	Alejandro
Villanueva	villanueva	Villanueva
,	,	,
who	who	who
s	s	s
also	also	also
a	a	a
combat	combat	combat
veteran	veteran	veteran
,	,	,
came	came	came
out	out	out
and	and	and
stood	stood	stood
for	for	for
the	the	the
national	nation	national
anthem	anthem	anthem
while	while	while
the	the	the
rest	rest	rest
of	of	of
the	the	the
team	team	team
stayed	stay	stayed
in	in	in
the	the	the
locker	locker	locker
room	room	room
.	.	.
They	they	They
won	won	won
t	t	t
be	be	be
happy	happi	happy
with	with	with
what	what	what
Villanueva	villanueva	Villanueva
has	has	ha
said	said	said
about	about	about
it	it	it
since	sinc	since
,	,	,
though	though	though
.	.	.
They	they	They
think	think	think
he	he	he
s	s	s
just	just	just
like	like	like
them	them	them
,	,	,
a	a	a
jingoist	jingoist	jingoist
among	among	among
a	a	a
sport	sport	sport
full	full	full
of	of	of
traitors	traitor	traitor
to	to	to
America	america	America
,	,	,
and	and	and
this	this	this
is	is	is
really	realli	really
going	go	going
to	to	to
ruin	ruin	ruin
that	that	that
.	.	.
First	first	First
off	off	off
,	,	,
it	it	it
doesn	doesn	doesn
t	t	t
look	look	look
like	like	like
Villanueva	villanueva	Villanueva
intended	intend	intended
to	to	to
be	be	be
defiant	defiant	defiant
this	this	this
way	way	way
Villenueva	villenueva	Villenueva
asked	ask	asked
Ben	ben	Ben
after	after	after
Sat	sat	Sat
night	night	night
meeting	meet	meeting
if	if	if
he	he	he
could	could	could
be	be	be
out	out	out
in	in	in
front	front	front
with	with	with
captains	captain	captain
.	.	.
Agreed	agre	Agreed
to	to	to
.	.	.
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017Villenueva	2017villenueva	2017Villenueva
turned	turn	turned
around	around	around
when	when	when
the	the	the
Bears	bear	Bears
fan	fan	fan
flag	flag	flag
came	came	came
in	in	in
,	,	,
he	he	he
looked	look	looked
back	back	back
to	to	to
his	his	his
teammates	teammat	teammate
,	,	,
then	then	then
the	the	the
anthem	anthem	anthem
started	start	started
.	.	.
He	he	He
couldn	couldn	couldn
t	t	t
walk	walk	walk
out	out	out
then	then	then
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017So	2017so	2017So
it	it	it
looks	look	look
like	like	like
there	there	there
might	might	might
have	have	have
been	been	been
some	some	some
miscommunication	miscommun	miscommunication
about	about	about
what	what	what
they	they	they
were	were	were
doing	do	doing
,	,	,
or	or	or
maybe	mayb	maybe
that	that	that
Villanueva	villanueva	Villanueva
wasn	wasn	wasn
t	t	t
totally	total	totally
sure	sure	sure
what	what	what
the	the	the
team	team	team
had	had	had
agreed	agre	agreed
to	to	to
do	do	do
.	.	.
He	he	He
also	also	also
said	said	said
he	he	he
knew	knew	knew
,	,	,
every	everi	every
time	time	time
he	he	he
saw	saw	saw
the	the	the
flag	flag	flag
on	on	on
a	a	a
fellow	fellow	fellow
soldier	soldier	soldier
s	s	s
shoulder	shoulder	shoulder
during	dure	during
a	a	a
mission	mission	mission
,	,	,
that	that	that
they	they	they
were	were	were
fighting	fight	fighting
for	for	for
each	each	each
other	other	other
.	.	.
He	he	He
also	also	also
did	did	did
say	say	say
,	,	,
People	peopl	People
die	die	die
for	for	for
the	the	the
flag	flag	flag
;	;	;
there	there	there
s	s	s
no	no	no
way	way	way
else	els	else
to	to	to
put	put	put
it	it	it
There	there	There
s	s	s
nothing	noth	nothing
else	els	else
that	that	that
would	would	would
justify	justifi	justify
dying	die	dying
for	for	for
that	that	that
mission	mission	mission
.	.	.
It	it	It
s	s	s
likely	like	likely
the	the	the
mission	mission	mission
he	he	he
meant	meant	meant
was	was	wa
whatever	whatev	whatever
mission	mission	mission
he	he	he
and	and	and
his	his	his
fellow	fellow	fellow
soldiers	soldier	soldier
were	were	were
on	on	on
,	,	,
rather	rather	rather
than	than	than
the	the	the
mission	mission	mission
of	of	of
fighting	fight	fighting
for	for	for
the	the	the
flag	flag	flag
that	that	that
Trump	trump	Trump
fans	fan	fan
are	are	are
glomming	glom	glomming
onto	onto	onto
.	.	.
But	but	But
it	it	it
s	s	s
what	what	what
he	he	he
says	say	say
about	about	about
how	how	how
he	he	he
feels	feel	feel
about	about	about
what	what	what
happened	happen	happened
that	that	that
will	will	will
have	have	have
Trump	trump	Trump
fans	fan	fan
seething	seeth	seething
.	.	.
Seriously	serious	Seriously
Alejandro	alejandro	Alejandro
Villanueva	villanueva	Villanueva
This	this	This
national	nation	national
anthem	anthem	anthem
ordeal	ordeal	ordeal
has	has	ha
sort	sort	sort
of	of	of
been	been	been
out	out	out
of	of	of
control	control	control
,	,	,
and	and	and
there	there	there
s	s	s
a	a	a
lot	lot	lot
of	of	of
blame	blame	blame
on	on	on
myself	myself	myself
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017Villenueva	2017villenueva	2017Villenueva
I	i	I
made	made	made
coach	coach	coach
Tomlin	tomlin	Tomlin
look	look	look
bad	bad	bad
,	,	,
and	and	and
that	that	that
is	is	is
my	my	my
fault	fault	fault
and	and	and
my	my	my
fault	fault	fault
only	onli	only
.	.	.
I	i	I
made	made	made
my	my	my
teammates	teammat	teammate
look	look	look
bad	bad	bad
,	,	,
and	and	and
that	that	that
is	is	is
my	my	my
fault	fault	fault
only	onli	only
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017Alejandro	2017alejandro	2017Alejandro
Villanueva	villanueva	Villanueva
Unfortunately	unfortun	Unfortunately
,	,	,
I	i	I
threw	threw	threw
my	my	my
teammates	teammat	teammate
under	under	under
the	the	the
bus	bus	bus
,	,	,
unintentionally	unintent	unintentionally
.	.	.
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017Alejandro	2017alejandro	2017Alejandro
Villaneuva	villaneuva	Villaneuva
Every	everi	Every
single	singl	single
time	time	time
I	i	I
see	see	see
that	that	that
picture	pictur	picture
of	of	of
me	me	me
standing	stand	standing
by	by	by
myself	myself	myself
,	,	,
I	i	I
feel	feel	feel
embarrassed	embarrass	embarrassed
.	.	.
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017Al	2017al	2017Al
Villanueva	villanueva	Villanueva
For	for	For
anybody	anybodi	anybody
who	who	who
thinks	think	think
that	that	that
Coach	coach	Coach
Tomlin	tomlin	Tomlin
is	is	is
not	not	not
as	as	a
patriotic	patriot	patriotic
as	as	a
you	you	you
can	can	can
get	get	get
in	in	in
America	america	America
I	i	I
m	m	m
offended	offend	offended
by	by	by
that	that	that
.	.	.
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017Villanueva	2017villanueva	2017Villanueva
We	we	We
as	as	a
a	a	a
team	team	team
tried	tri	tried
to	to	to
figure	figur	figure
it	it	it
out	out	out
,	,	,
obviously	obvious	obviously
we	we	we
butchered	butcher	butchered
it	it	it
.	.	.
I	i	I
m	m	m
not	not	not
gonna	gonna	gonna
pretend	pretend	pretend
