Senator	senat	Senator
Kelly	kelli	Kelly
Ayotte	ayott	Ayotte
R	r	R
-NH	-nh	-NH
is	is	is
fighting	fight	fighting
hard	hard	hard
to	to	to
keep	keep	keep
her	her	her
seat	seat	seat
,	,	,
but	but	but
now	now	now
it	it	it
seems	seem	seems
that	that	that
Donald	donald	Donald
Trump	trump	Trump
is	is	is
busy	busi	busy
destroying	destroy	destroying
her	her	her
chances	chanc	chance
.	.	.
Her	her	Her
opponent	oppon	opponent
,	,	,
Democratic	democrat	Democratic
Gov	gov	Gov
.	.	.
Maggie	maggi	Maggie
Hassan	hassan	Hassan
,	,	,
is	is	is
leading	lead	leading
her	her	her
by	by	by
a	a	a
full	full	full
ten	ten	ten
points	point	point
now	now	now
,	,	,
when	when	when
before	befor	before
the	the	the
two	two	two
were	were	were
virtually	virtual	virtually
deadlocked	deadlock	deadlocked
.	.	.
Ayotte	ayott	Ayotte
was	was	wa
swept	swept	swept
to	to	to
power	power	power
in	in	in
the	the	the
disastrous	disastr	disastrous
Tea	tea	Tea
Party	parti	Party
wave	wave	wave
of	of	of
2010	2010	2010
,	,	,
but	but	but
her	her	her
support	support	support
for	for	for
Trump	trump	Trump
has	has	ha
now	now	now
made	made	made
her	her	her
look	look	look
like	like	like
a	a	a
fool	fool	fool
.	.	.
To	to	To
be	be	be
sure	sure	sure
,	,	,
Ayotte	ayott	Ayotte
is	is	is
no	no	no
fan	fan	fan
of	of	of
Trump	trump	Trump
.	.	.
She	she	She
supports	support	support
him	him	him
in	in	in
the	the	the
name	name	name
of	of	of
party	parti	party
unity	uniti	unity
,	,	,
though	though	though
.	.	.
Her	her	Her
lack	lack	lack
of	of	of
a	a	a
formal	formal	formal
endorsement	endors	endorsement
doesn	doesn	doesn
t	t	t
seem	seem	seem
to	to	to
sway	sway	sway
the	the	the
voters	voter	voter
,	,	,
who	who	who
increasingly	increas	increasingly
view	view	view
Trump	trump	Trump
and	and	and
his	his	his
supporters	support	supporter
as	as	a
,	,	,
well	well	well
,	,	,
really	realli	really
horribly	horribl	horribly
bad	bad	bad
people	peopl	people
.	.	.
That	that	That
includes	includ	includes
Ayotte	ayott	Ayotte
.	.	.
As	as	As
one	one	one
of	of	of
the	the	the
pollsters	pollster	pollster
involved	involv	involved
in	in	in
this	this	this
particular	particular	particular
poll	poll	poll
says	say	say
There	there	There
s	s	s
a	a	a
very	veri	very
close	close	close
relationship	relationship	relationship
between	between	between
the	the	the
votes	vote	vote
for	for	for
Kelly	kelli	Kelly
Ayotte	ayott	Ayotte
and	and	and
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Their	their	Their
support	support	support
is	is	is
sort	sort	sort
of	of	of
locked	lock	locked
together	togeth	together
.	.	.
And	and	And
with	with	with
the	the	the
direction	direct	direction
that	that	that
Donald	donald	Donald
Trump	trump	Trump
seems	seem	seems
to	to	to
be	be	be
heading	head	heading
in	in	in
,	,	,
Kelly	kelli	Kelly
Ayotte	ayott	Ayotte
s	s	s
task	task	task
is	is	is
to	to	to
somehow	somehow	somehow
decouple	decoupl	decouple
those	those	those
two	two	two
.	.	.
Trump	trump	Trump
s	s	s
stock	stock	stock
has	has	ha
plummeted	plummet	plummeted
in	in	in
New	new	New
Hampshire	hampshir	Hampshire
,	,	,
where	where	where
Hillary	hillari	Hillary
now	now	now
commands	command	command
a	a	a
17	17	17
-point	-point	-point
lead	lead	lead
.	.	.
She	she	She
has	has	ha
also	also	also
gained	gain	gained
solid	solid	solid
leads	lead	lead
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
and	and	and
Michigan	michigan	Michigan
two	two	two
other	other	other
crucial	crucial	crucial
battleground	battleground	battleground
states	state	state
.	.	.
If	if	If
Trump	trump	Trump
s	s	s
support	support	support
is	is	is
locked	lock	locked
together	togeth	together
with	with	with
Ayotte	ayott	Ayotte
s	s	s
,	,	,
then	then	then
as	as	a
he	he	he
falters	falter	falter
,	,	,
so	so	so
does	doe	doe
she	she	she
.	.	.
Democrats	democrat	Democrats
said	said	said
just	just	just
three	three	three
days	day	day
ago	ago	ago
that	that	that
Ayotte	ayott	Ayotte
is	is	is
too	too	too
much	much	much
of	of	of
a	a	a
coward	coward	coward
to	to	to
stand	stand	stand
up	up	up
to	to	to
Trump	trump	Trump
,	,	,
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
she	she	she
defended	defend	defended
the	the	the
