There	there	There
s	s	s
so	so	so
much	much	much
to	to	to
know	know	know
in	in	in
order	order	order
to	to	to
understand	understand	understand
just	just	just
how	how	how
bad	bad	bad
the	the	the
Uranium	uranium	Uranium
One	one	One
scandal	scandal	scandal
is	is	is
to	to	to
what	what	what
s	s	s
happening	happen	happening
now	now	now
with	with	with
the	the	the
Fake	fake	Fake
Russia	russia	Russia
probe	probe	probe
by	by	by
Comey	comey	Comey
.	.	.

Once	onc	Once
you	you	you
understand	understand	understand
the	the	the
connections	connect	connection
and	and	and
the	the	the
details	detail	detail
of	of	of
it	it	it
,	,	,
you	you	you
realize	realiz	realize
it	it	it
s	s	s
HUGE	huge	HUGE
!	!	!
It	it	It
s	s	s
not	not	not
just	just	just
the	the	the
Clinton	clinton	Clinton
grifters	grifter	grifter
but	but	but
Obama	obama	Obama
,	,	,
the	the	the
FBI	fbi	FBI
and	and	and
the	the	the
DOJ	doj	DOJ
!	!	!
And	and	And
at	at	at
the	the	the
heart	heart	heart
of	of	of
it	it	it
is	is	is
not	not	not
just	just	just
the	the	the
greedy	greedi	greedy
,	,	,
grasping	grasp	grasping
Clintons	clinton	Clintons
,	,	,
but	but	but
the	the	the
Obama	obama	Obama
Administration	administr	Administration
,	,	,
the	the	the
FBI	fbi	FBI
and	and	and
the	the	the
DOJ	doj	DOJ
.	.	.
Andrew	andrew	Andrew
McCarthy	mccarthi	McCarthy
does	doe	doe
a	a	a
masterful	master	masterful
job	job	job
of	of	of
breaking	break	breaking
down	down	down
the	the	the
entire	entir	entire
scandal	scandal	scandal
from	from	from
beginning	begin	beginning
until	until	until
now	now	now
.	.	.
McCarthy	mccarthi	McCarthy
breaks	break	break
it	it	it
all	all	all
down	down	down
for	for	for
you	you	you
.	.	.
You	you	You
ll	ll	ll
be	be	be
shocked	shock	shocked
to	to	to
know	know	know
that	that	that
the	the	the
same	same	same
people	peopl	people
investigating	investig	investigating
the	the	the
phony	phoni	phony
Trump	trump	Trump
Russia	russia	Russia
collusion	collus	collusion
were	were	were
aware	awar	aware
of	of	of
the	the	the
Uranium	uranium	Uranium
One	one	One
scam	scam	scam
AND	and	AND
even	even	even
helped	help	helped
to	to	to
cover	cover	cover
it	it	it
up	up	up
!	!	!

Here	here	Here
s	s	s
just	just	just
a	a	a
little	littl	little
of	of	of
what	what	what
Andy	andi	Andy
McCarthy	mccarthi	McCarthy
explains	explain	explains
to	to	to
us	us	u
in	in	in
his	his	his
summary	summari	summary
Here	here	Here
s	s	s
the	the	the
kicker	kicker	kicker
The	the	The
Uranium	uranium	Uranium
One	one	One
scandal	scandal	scandal
is	is	is
not	not	not
only	onli	only
,	,	,
or	or	or
even	even	even
principally	princip	principally
,	,	,
a	a	a
Clinton	clinton	Clinton
scandal	scandal	scandal
.	.	.

It	it	It
is	is	is
an	an	an
Obama	obama	Obama
-administration	-administr	-administration
scandal	scandal	scandal
.	.	.
The	the	The
Clintons	clinton	Clintons
were	were	were
just	just	just
doing	do	doing
what	what	what
the	the	the
Clintons	clinton	Clintons
do	do	do
cashing	cash	cashing
in	in	in
on	on	on
their	their	their
public	public	public
service	servic	service
.	.	.

The	the	The
Obama	obama	Obama
administration	administr	administration
,	,	,
with	with	with
Secretary	secretari	Secretary
Clinton	clinton	Clinton
at	at	at
the	the	the
forefront	forefront	forefront
but	but	but
hardly	hard	hardly
alone	alon	alone
,	,	,
was	was	wa
knowingly	know	knowingly
compromising	compromis	compromising
American	american	American
national	nation	national
-security	-secur	-security
interests	interest	interest
.	.	.

The	the	The
administration	administr	administration
green	green	green
-lighted	-light	-lighted
the	the	the
transfer	transfer	transfer
of	of	of
control	control	control
over	over	over
one	one	one
-fifth	-fifth	-fifth
of	of	of
American	american	American
uranium	uranium	uranium
-mining	-mine	-mining
capacity	capac	capacity
to	to	to
Russia	russia	Russia
,	,	,
a	a	a
hostile	hostil	hostile
regime	regim	regime
and	and	and
specifically	specif	specifically
to	to	to
Russia	russia	Russia
s	s	s
state	state	state
-controlled	-control	-controlled
nuclear	nuclear	nuclear
-energy	-energi	-energy
conglomerate	conglomer	conglomerate
,	,	,
Rosatom	rosatom	Rosatom
.	.	.

Worse	wors	Worse
,	,	,
at	at	at
the	the	the
time	time	time
the	the	the
administration	administr	administration
approved	approv	approved
the	the	the
transfer	transfer	transfer
,	,	,
it	it	it
knew	knew	knew
that	that	that
Rosatom	rosatom	Rosatom
s	s	s
American	american	American
subsidiary	subsidiari	subsidiary
was	was	wa
engaged	engag	engaged
in	in	in
a	a	a
lucrative	lucrat	lucrative
racketeering	racket	racketeering
enterprise	enterpris	enterprise
that	that	that
had	had	had
already	alreadi	already
committed	commit	committed
felony	feloni	felony
extortion	extort	extortion
,	,	,
fraud	fraud	fraud
,	,	,
and	and	and
money	money	money
-laundering	-launder	-laundering
offenses	offens	offense
.	.	.
This	this	This
next	next	next
part	part	part
is	is	is
even	even	even
worse	wors	worse
The	the	The
Obama	obama	Obama
administration	administr	administration
also	also	also
knew	knew	knew
that	that	that
congressional	congression	congressional
Republicans	republican	Republicans
were	were	were
trying	tri	trying
to	to	to
stop	stop	stop
the	the	the
transfer	transfer	transfer
.	.	.

Consequently	consequ	Consequently
,	,	,
the	the	the
Justice	justic	Justice
Department	depart	Department
concealed	conceal	concealed
what	what	what
it	it	it
knew	knew	knew
.	.	.

DOJ	doj	DOJ
allowed	allow	allowed
the	the	the
racketeering	racket	racketeering
enterprise	enterpris	enterprise
to	to	to
continue	continu	continue
compromising	compromis	compromising
the	the	the
American	american	American
uranium	uranium	uranium
industry	industri	industry
rather	rather	rather
than	than	than
commencing	commenc	commencing
a	a	a
prosecution	prosecut	prosecution
that	that	that
would	would	would
have	have	have
scotched	scotch	scotched
the	the	the
transfer	transfer	transfer
.	.	.

Prosecutors	prosecutor	Prosecutors
waited	wait	waited
four	four	four
years	year	year
before	befor	before
quietly	quiet	quietly
pleading	plead	pleading
the	the	the
case	case	case
out	out	out
for	for	for
a	a	a
song	song	song
,	,	,
in	in	in
violation	violat	violation
of	of	of
