Republican	republican	Republican
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
s	s	s
outreach	outreach	outreach
to	to	to
win	win	win
over	over	over
minorities	minor	minority
has	has	ha
been	been	been
a	a	a
disaster	disast	disaster
,	,	,
and	and	and
what	what	what
he	he	he
just	just	just
said	said	said
about	about	about
a	a	a
group	group	group
of	of	of
exonerated	exoner	exonerated
men	men	men
is	is	is
probably	probabl	probably
going	go	going
to	to	to
end	end	end
whatever	whatev	whatever
support	support	support
he	he	he
had	had	had
.	.	.
Trump	trump	Trump
had	had	had
been	been	been
big	big	big
on	on	on
accusing	accus	accusing
the	the	the
Central	central	Central
Park	park	Park
Five	five	Five
the	the	the
five	five	five
teens	teen	teen
wrongfully	wrong	wrongfully
accused	accus	accused
of	of	of
raping	rape	raping
a	a	a
woman	woman	woman
in	in	in
Central	central	Central
Park	park	Park
ever	ever	ever
since	sinc	since
the	the	the
case	case	case
blew	blew	blew
up	up	up
in	in	in
1989	1989	1989
.	.	.
During	dure	During
that	that	that
time	time	time
,	,	,
Trump	trump	Trump
had	had	had
taken	taken	taken
out	out	out
a	a	a
full	full	full
-page	-page	-page
ad	ad	ad
in	in	in
the	the	the
New	new	New
York	york	York
Times	time	Times
blaming	blame	blaming
the	the	the
teens	teen	teen
,	,	,
and	and	and
using	use	using
them	them	them
as	as	a
the	the	the
reason	reason	reason
why	whi	why
New	new	New
York	york	York
State	state	State
should	should	should
bring	bring	bring
back	back	back
the	the	the
death	death	death
penalty	penalti	penalty
ironic	iron	ironic
,	,	,
because	becaus	because
Trump	trump	Trump
himself	himself	himself
has	has	ha
been	been	been
accused	accus	accused
of	of	of
rape	rape	rape
several	sever	several
times	time	time
.	.	.
The	the	The
ad	ad	ad
,	,	,
which	which	which
was	was	wa
signed	sign	signed
by	by	by
Trump	trump	Trump
himself	himself	himself
,	,	,
said	said	said
They	they	They
should	should	should
be	be	be
forced	forc	forced
to	to	to
suffer	suffer	suffer
and	and	and
,	,	,
when	when	when
they	they	they
kill	kill	kill
,	,	,
they	they	they
should	should	should
be	be	be
executed	execut	executed
for	for	for
their	their	their
crimes	crime	crime
.	.	.
Just	just	Just
to	to	to
be	be	be
clear	clear	clear
,	,	,
these	these	these
were	were	were
minority	minor	minority
TEENAGERS	teenag	TEENAGERS
one	one	one
was	was	wa
Latino	latino	Latino
and	and	and
four	four	four
were	were	were
black	black	black
and	and	and
Trump	trump	Trump
called	call	called
for	for	for
their	their	their
death	death	death
.	.	.
Decades	decad	Decades
later	later	later
,	,	,
Trump	trump	Trump
continues	continu	continues
to	to	to
double	doubl	double
down	down	down
on	on	on
those	those	those
comments	comment	comment
.	.	.
According	accord	According
to	to	to
a	a	a
CNN	cnn	CNN
report	report	report
,	,	,
Trump	trump	Trump
revealed	reveal	revealed
that	that	that
he	he	he
still	still	still
thinks	think	think
these	these	these
five	five	five
men	men	men
are	are	are
guilty	guilti	guilty
,	,	,
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
they	they	they
were	were	were
exonerated	exoner	exonerated
and	and	and
awarded	award	awarded
41	41	41
million	million	million
for	for	for
wrongful	wrong	wrongful
imprisonment	imprison	imprisonment
in	in	in
2002	2002	2002
.	.	.
Trump	trump	Trump
said	said	said
They	they	They
admitted	admit	admitted
they	they	they
were	were	were
guilty	guilti	guilty
.	.	.
The	the	The
police	polic	police
doing	do	doing
the	the	the
original	origin	original
investigation	investig	investigation
say	say	say
they	they	they
were	were	were
guilty	guilti	guilty
.	.	.
The	the	The
fact	fact	fact
that	that	that
that	that	that
case	case	case
was	was	wa
settled	settl	settled
with	with	with
so	so	so
much	much	much
evidence	evid	evidence
against	against	against
them	them	them
is	is	is
outrageous	outrag	outrageous
.	.	.
And	and	And
the	the	the
woman	woman	woman
,	,	,
so	so	so
badly	bad	badly
injured	injur	injured
,	,	,
will	will	will
never	never	never
be	be	be
the	the	the
same	same	same
.	.	.
Yes	yes	Yes
,	,	,
Trump	trump	Trump
still	still	still
believes	believ	belief
these	these	these
men	men	men
are	are	are
responsible	respons	responsible
for	for	for
what	what	what
happened	happen	happened
to	to	to
Trisha	trisha	Trisha
Meili	meili	Meili
,	,	,
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
DNA	dna	DNA
evidence	evid	evidence
pointed	point	pointed
to	to	to
Matias	matia	Matias
Reyes	rey	Reyes
,	,	,
who	who	who
confessed	confess	confessed
to	to	to
the	the	the
crime	crime	crime
.	.	.
Trump	trump	Trump
has	has	ha
questioned	question	questioned
the	the	the
release	releas	release
of	of	of
the	the	the
Central	central	Central
Park	park	Park
Five	five	Five
before	befor	before
.	.	.
After	after	After
the	the	the
men	men	men
were	were	were
released	releas	released
and	and	and
received	receiv	received
their	their	their
settlement	settlement	settlement
in	in	in
2014	2014	2014
,	,	,
Trump	trump	Trump
said	said	said
,	,	,
Settling	settl	Settling
doesn	doesn	doesn
t	t	t
mean	mean	mean
innocence	innoc	innocence
.	.	.
Fortunately	fortun	Fortunately
,	,	,
no	no	no
one	one	one
has	has	ha
forgotten	forgotten	forgotten
Trump	trump	Trump
s	s	s
racist	racist	racist
past	past	past
with	with	with
the	the	the
Central	central	Central
Park	park	Park
Five	five	Five
,	,	,
and	and	and
are	are	are
spreading	spread	spreading
this	this	this
information	inform	information
far	far	far
and	and	and
wide	wide	wide
just	just	just
weeks	week	week
ahead	ahead	ahead
of	of	of
the	the	the
election	elect	election
.	.	.
This	this	This
is	is	is
certainly	certain	certainly
a	a	a
bad	bad	bad
time	time	time
for	for	for
Trump	trump	Trump
to	to	to
be	be	be
reminding	remind	reminding
everyone	everyon	everyone
how	how	how
racist	racist	racist
he	he	he
is	is	is
TwitterTwitterTwitterTwitterTwitterIt	twittertwittertwittertwittertwitterit	TwitterTwitterTwitterTwitterTwitterIt
s	s	s
mind	mind	mind
-boggling	-boggl	-boggling
that	that	that
Trump	trump	Trump
still	still	still
cannot	cannot	cannot
accept	accept	accept
their	their	their
innocence	innoc	innocence
,	,	,
despite	despit	despite
the	the	the
evidence	evid	evidence
.	.	.
But	but	But
perhaps	perhap	perhaps
this	this	this
explanation	explan	explanation
by	by	by
Michael	michael	Michael
D	d	D
Antonio	antonio	Antonio
,	,	,
the	the	the
author	author	author
of	of	of
The	the	The
Truth	truth	Truth
About	about	About
Trump	trump	Trump
,	,	,
will	will	will
shed	shed	shed
some	some	some
light	light	light
onto	onto	onto
it	it	it
He	he	He
s	s	s
not	not	not
a	a	a
person	person	person
who	who	who
takes	take	take
in	in	in
new	new	new
information	inform	information
and	and	and
then	then	then
adjusts	adjust	adjusts
and	and	and
accepts	accept	accepts
reality	realiti	reality
.	.	.
The	the	The
only	onli	only
reality	realiti	reality
that	that	that
matters	matter	matter
to	to	to
him	him	him
is	is	is
his	his	his
judgment	judgment	judgment
,	,	,
which	which	which
was	was	wa
rendered	render	rendered
many	mani	many
years	year	year
prior	prior	prior
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Win	win	Win
McNamee	mcname	McNamee
Getty	getti	Getty
Images	imag	Images
