These	these	These
creeps	creep	creep
will	will	will
be	be	be
out	out	out
of	of	of
jail	jail	jail
and	and	and
occupying	occupi	occupying
another	anoth	another
taxpaying	taxpay	taxpaying
American	american	American
citizens	citizen	citizen
home	home	home
faster	faster	faster
than	than	than
you	you	you
can	can	can
say	say	say
amnesty	amnesti	amnesty
!	!	!
Five	five	Five
illegal	illeg	illegal
immigrants	immigr	immigrant
have	have	have
been	been	been
arrested	arrest	arrested
for	for	for
squatting	squat	squatting
in	in	in
a	a	a
deployed	deploy	deployed
soldier	soldier	soldier
s	s	s
home	home	home
leaving	leav	leaving
it	it	it
covered	cover	covered
in	in	in
feces	fece	feces
and	and	and
urine	urin	urine
.	.	.
The	the	The
men	men	men
have	have	have
occupied	occupi	occupied
the	the	the
three	three	three
-story	-stori	-story
home	home	home
in	in	in
Englewood	englewood	Englewood
,	,	,
New	new	New
Jersey	jersey	Jersey
,	,	,
for	for	for
at	at	at
least	least	least
a	a	a
few	few	few
weeks	week	week
as	as	a
its	it	it
owner	owner	owner
,	,	,
a	a	a
female	femal	female
soldier	soldier	soldier
,	,	,
is	is	is
stationed	station	stationed
out	out	out
of	of	of
the	the	the
city	citi	city
.	.	.
According	accord	According
to	to	to
police	polic	police
,	,	,
the	the	the
conditions	condit	condition
in	in	in
the	the	the
home	home	home
were	were	were
deplorable	deplor	deplorable
throughout	throughout	throughout
,	,	,
with	with	with
evidence	evid	evidence
of	of	of
partying	parti	partying
and	and	and
squalor	squalor	squalor
.	.	.
They	they	They
discovered	discov	discovered
the	the	the
disgusting	disgust	disgusting
scene	scene	scene
after	after	after
one	one	one
of	of	of
the	the	the
men	men	men
,	,	,
18	18	18
-year-old	-year-old	-year-old
Carlos	carlo	Carlos
Rosales	rosal	Rosales
-Campos	-campo	-Campos
,	,	,
was	was	wa
arrested	arrest	arrested
on	on	on
Sunday	sunday	Sunday
following	follow	following
a	a	a
theft	theft	theft
at	at	at
a	a	a
nearby	nearbi	nearby
restaurant	restaur	restaurant
.	.	.
Police	polic	Police
determined	determin	determined
he	he	he
was	was	wa
squatting	squat	squatting
at	at	at
the	the	the
property	properti	property
on	on	on
Lafayette	lafayett	Lafayette
Avenue	avenu	Avenue
,	,	,
and	and	and
when	when	when
they	they	they
went	went	went
to	to	to
inspect	inspect	inspect
they	they	they
found	found	found
four	four	four
more	more	more
men	men	men
living	live	living
there	there	there
.	.	.
Rosales	rosal	Rosales
-Campos	-campo	-Campos
is	is	is
in	in	in
the	the	the
country	countri	country
illegally	illeg	illegally
from	from	from
El	el	El
Salvador	salvador	Salvador
,	,	,
according	accord	according
to	to	to
police	polic	police
.	.	.
One	one	One
of	of	of
the	the	the
men	men	men
,	,	,
47	47	47
