Here	here	Here
s	s	s
how	how	how
fake	fake	fake
news	news	news
works	work	work
In	in	In
an	an	an
effort	effort	effort
to	to	to
cast	cast	cast
President	presid	President
Trump	trump	Trump
s	s	s
eldest	eldest	eldest
son	son	son
,	,	,
Donald	donald	Donald
Jr	jr	Jr
.	.	.
as	as	a
a	a	a
liar	liar	liar
,	,	,
The	the	The
New	new	New
York	york	York
Times	time	Times
boldly	bold	boldly
accused	accus	accused
him	him	him
of	of	of
giving	give	giving
two	two	two
different	differ	different
accounts	account	account
of	of	of
his	his	his
meeting	meet	meeting
with	with	with
a	a	a
Russian	russian	Russian
lawyers	lawyer	lawyer
.	.	.
On	on	On
July	juli	July
9	9	9
,	,	,
2017	2017	2017
,	,	,
The	the	The
New	new	New
York	york	York
Times	time	Times
headline	headlin	headline
read	read	read
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
s	s	s
Two	two	Two
Different	differ	Different
Explanations	explan	Explanations
for	for	for
Russian	russian	Russian
MeetingThe	meetingth	MeetingThe
NYT	nyt	NYT
s	s	s
article	articl	article
attempts	attempt	attempt
to	to	to
paint	paint	paint
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
as	as	a
a	a	a
liar	liar	liar
.	.	.
Ironically	iron	Ironically
,	,	,
it	it	it
was	was	wa
The	the	The
New	new	New
York	york	York
Times	time	Times
who	who	who
was	was	wa
lying	lie	lying
In	in	In
less	less	le
than	than	than
24	24	24
hours	hour	hour
,	,	,
President	presid	President
Trump	trump	Trump
s	s	s
eldest	eldest	eldest
son	son	son
,	,	,
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
,	,	,
has	has	ha
given	given	given
two	two	two
different	differ	different
explanations	explan	explanation
for	for	for
a	a	a
meeting	meet	meeting
he	he	he
held	held	held
during	dure	during
the	the	the
2016	2016	2016
campaign	campaign	campaign
with	with	with
a	a	a
Kremlin	kremlin	Kremlin
-connected	-connect	-connected
Russian	russian	Russian
lawyer	lawyer	lawyer
who	who	who
promised	promis	promised
to	to	to
provide	provid	provide
damaging	damag	damaging
information	inform	information
about	about	about
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Mr	mr	Mr
.	.	.
Trump	trump	Trump
s	s	s
meeting	meet	meeting
with	with	with
that	that	that
lawyer	lawyer	lawyer
,	,	,
Natalia	natalia	Natalia
Veselnitskaya	veselnitskaya	Veselnitskaya
,	,	,
was	was	wa
first	first	first
reported	report	reported
by	by	by
The	the	The
New	new	New
York	york	York
Times	time	Times
on	on	on
Saturday	saturday	Saturday
.	.	.
In	in	In
response	respons	response
,	,	,
Mr	mr	Mr
.	.	.
Trump	trump	Trump
said	said	said
the	the	the
meeting	meet	meeting
was	was	wa
brief	brief	brief
and	and	and
focused	focus	focused
mostly	most	mostly
on	on	on
the	the	the
issue	issu	issue
of	of	of
adoption	adopt	adoption
.	.	.
This	this	This
was	was	wa
Mr	mr	Mr
.	.	.
Trump	trump	Trump
s	s	s
statement	statement	statement
to	to	to
the	the	the
news	news	news
media	media	medium
on	on	on
Saturday	saturday	Saturday
It	it	It
was	was	wa
a	a	a
short	short	short
introductory	introductori	introductory
meeting	meet	meeting
.	.	.
I	i	I
asked	ask	asked
Jared	jare	Jared
and	and	and
Paul	paul	Paul
to	to	to
stop	stop	stop
by	by	by
.	.	.
We	we	We
primarily	primarili	primarily
discussed	discuss	discussed
a	a	a
program	program	program
about	about	about
the	the	the
adoption	adopt	adoption
of	of	of
Russian	russian	Russian
children	children	child
that	that	that
was	was	wa
active	activ	active
and	and	and
popular	popular	popular
with	with	with
American	american	American
families	famili	family
years	year	year
ago	ago	ago
and	and	and
was	was	wa
since	sinc	since
ended	end	ended
by	by	by
the	the	the
Russian	russian	Russian
government	govern	government
,	,	,
but	but	but
it	it	it
was	was	wa
not	not	not
a	a	a
campaign	campaign	campaign
issue	issu	issue
at	at	at
the	the	the
time	time	time
