Every	everi	Every
year	year	year
GLAAD	glaad	GLAAD
holds	hold	hold
their	their	their
media	media	medium
awards	award	award
ceremony	ceremoni	ceremony
to	to	to
recognize	recogn	recognize
and	and	and
honor	honor	honor
media	media	medium
for	for	for
their	their	their
fair	fair	fair
,	,	,
accurate	accur	accurate
and	and	and
inclusive	inclus	inclusive
representations	represent	representation
of	of	of
the	the	the
lesbian	lesbian	lesbian
,	,	,
gay	gay	gay
,	,	,
bisexual	bisexu	bisexual
and	and	and
transgender	transgend	transgender
community	communiti	community
and	and	and
the	the	the
issues	issu	issue
that	that	that
affect	affect	affect
their	their	their
lives	live	life
.	.	.

This	this	This
year	year	year
,	,	,
GLAAD	glaad	GLAAD
honored	honor	honored
Robert	robert	Robert
De	de	De
Niro	niro	Niro
with	with	with
the	the	the
Excellence	excel	Excellence
in	in	in
Media	media	Media
Award	award	Award
.	.	.
It	it	It
was	was	wa
during	dure	during
his	his	his
speech	speech	speech
,	,	,
however	howev	however
,	,	,
that	that	that
De	de	De
Niro	niro	Niro
took	took	took
a	a	a
moment	moment	moment
to	to	to
take	take	take
a	a	a
sarcastic	sarcast	sarcastic
jab	jab	jab
at	at	at
those	those	those
who	who	who
think	think	think
middle	middl	middle
-aged	-age	-aged
white	white	white
men	men	men
have	have	have
it	it	it
bad	bad	bad
,	,	,
and	and	and
of	of	of
course	cours	course
,	,	,
make	make	make
fun	fun	fun
of	of	of
Donald	donald	Donald
Trump	trump	Trump
while	while	while
he	he	he
was	was	wa
at	at	at
it	it	it
.	.	.

He	he	He
said	said	said
You	you	You
think	think	think
you	you	you
ve	ve	ve
got	got	got
it	it	it
bad	bad	bad
,	,	,
LBGT	lbgt	LBGT
community	communiti	community
?	?	?

I	i	I
don	don	don
t	t	t
think	think	think
you	you	you
know	know	know
what	what	what
it	it	it
s	s	s
like	like	like
to	to	to
be	be	be
really	realli	really
discriminated	discrimin	discriminated
against	against	against
I	i	I
recently	recent	recently
turned	turn	turned
on	on	on
the	the	the
television	televis	television
news	news	news
and	and	and
saw	saw	saw
this	this	this
odd	odd	odd
guy	guy	guy
with	with	with
little	littl	little
hands	hand	hand
,	,	,
and	and	and
he	he	he
was	was	wa
raving	rave	raving
.	.	.

Turns	turn	Turns
out	out	out
,	,	,
the	the	the
ones	one	one
being	be	being
discriminated	discrimin	discriminated
against	against	against
are	are	are
straight	straight	straight
,	,	,
middle	middl	middle
-aged	-age	-aged
white	white	white
men	men	men
It	it	It
makes	make	make
sense	sens	sense
.	.	.

I	i	I
ve	ve	ve
been	been	been
losing	lose	losing
parts	part	part
right	right	right
and	and	and
left	left	left
to	to	to
what	what	what
used	use	used
to	to	to
be	be	be
called	call	called
diversity	divers	diversity
actors	actor	actor
.	.	.

One	one	One
that	that	that
really	realli	really
hurts	hurt	hurt
,	,	,
seeing	see	seeing
the	the	the
role	role	role
of	of	of
Dr	dr	Dr
.	.	.
Dre	dre	Dre
in	in	in
Straight	straight	Straight
Outta	outta	Outta
Compton	compton	Compton
going	go	going
to	to	to
Corey	corey	Corey
Hawkins	hawkin	Hawkins
.	.	.

And	and	And
I	i	I
can	can	can
t	t	t
remember	rememb	remember
the	the	the
last	last	last
time	time	time
I	i	I
got	got	got
a	a	a
Teen	teen	Teen
Choice	choic	Choice
Award	award	Award
.	.	.

It	it	It
s	s	s
not	not	not
easy	easi	easy
being	be	being
a	a	a
straight	straight	straight
,	,	,
white	white	white
man	man	man
.	.	.

Of	of	Of
course	cours	course
,	,	,
he	he	he
s	s	s
joking	joke	joking
.	.	.

Being	be	Being
a	a	a
straight	straight	straight
,	,	,
white	white	white
man	man	man
is	is	is
pretty	pretti	pretty
much	much	much
winning	win	winning
the	the	the
lottery	lotteri	lottery
when	when	when
it	it	it
comes	come	come
to	to	to
genetics	genet	genetics
.	.	.

Straight	straight	Straight
,	,	,
white	white	white
men	men	men
start	start	start
from	from	from
a	a	a
point	point	point
of	of	of
being	be	being
respected	respect	respected
where	where	where
most	most	most
others	other	others
seem	seem	seem
to	to	to
need	need	need
to	to	to
prove	prove	prove
themselves	themselv	themselves
.	.	.

And	and	And
,	,	,
of	of	of
course	cours	course
,	,	,
he	he	he
s	s	s
clearly	clear	clearly
referencing	referenc	referencing
Donald	donald	Donald
Trump	trump	Trump
with	with	with
his	his	his
odd	odd	odd
guy	guy	guy
with	with	with
little	littl	little
hands	hand	hand
who	who	who
was	was	wa
raving	rave	raving
and	and	and
claiming	claim	claiming
he	he	he
s	s	s
being	be	being
discriminated	discrimin	discriminated
against	against	against
.	.	.

It	it	It
s	s	s
funny	funni	funny
because	becaus	because
it	it	it
s	s	s
true	true	true
,	,	,
and	and	and
it	it	it
s	s	s
also	also	also
funny	funni	funny
because	becaus	because
he	he	he
just	just	just
got	got	got
his	his	his
ass	ass	as
handed	hand	handed
to	to	to
him	him	him
by	by	by
Robert	robert	Robert
De	de	De
Niro	niro	Niro
.	.	.
Watch	watch	Watch
the	the	the
whole	whole	whole
speech	speech	speech
here	here	here
VIDEO	video	VIDEO
Robert	robert	Robert
De	de	De
Niro	niro	Niro
accepts	accept	accepts
the	the	the
Excellence	excel	Excellence
In	in	In
Media	media	Media
Award	award	Award
at	at	at
the	the	the
#glaadawards	#glaadaward	#glaadawards
https://t.co/FMBl01Q1VY	https://t.co/fmbl01q1vi	https://t.co/FMBl01Q1VY
GLAAD	glaad	GLAAD
@glaad	@glaad	@glaad
May	may	May
15	15	15
,	,	,
2016Featured	2016featur	2016Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

