During	dure	During
a	a	a
panel	panel	panel
segment	segment	segment
on	on	on
Real	real	Real
Time	time	Time
with	with	with
Bill	bill	Bill
Maher	maher	Maher
on	on	on
Friday	friday	Friday
night	night	night
,	,	,
former	former	former
Republican	republican	Republican
National	nation	National
Committee	committe	Committee
chairman	chairman	chairman
Michael	michael	Michael
Steele	steel	Steele
tried	tri	tried
to	to	to
make	make	make
a	a	a
half	half	half
-hearted	-heart	-hearted
case	case	case
for	for	for
a	a	a
Donald	donald	Donald
Trump	trump	Trump
administration	administr	administration
.	.	.
The	the	The
case	case	case
was	was	wa
shut	shut	shut
down	down	down
instantly	instant	instantly
by	by	by
Maher	maher	Maher
,	,	,
who	who	who
had	had	had
initially	initi	initially
asked	ask	asked
Steele	steel	Steele
,	,	,
What	what	What
is	is	is
the	the	the
bridge	bridg	bridge
too	too	too
far	far	far
?	?	?
What	what	What
is	is	is
the	the	the
point	point	point
at	at	at
which	which	which
you	you	you
say	say	say
my	my	my
country	countri	country
before	befor	before
my	my	my
nominee	nomine	nominee
?	?	?
Steele	steel	Steele
responded	respond	responded
by	by	by
stating	state	stating
clearly	clear	clearly
that	that	that
he	he	he
is	is	is
a	a	a
Party	parti	Party
man	man	man
by	by	by
any	ani	any
measure	measur	measure
.	.	.
He	he	He
has	has	ha
served	serv	served
as	as	a
not	not	not
only	onli	only
the	the	the
RNC	rnc	RNC
chairman	chairman	chairman
but	but	but
also	also	also
as	as	a
the	the	the
chairman	chairman	chairman
of	of	of
Republican	republican	Republican
committees	committe	committee
at	at	at
every	everi	every
level	level	level
of	of	of
politics	polit	politics
.	.	.
Maher	maher	Maher
jumps	jump	jump
in	in	in
asking	ask	asking
Steele	steel	Steele
if	if	if
that	that	that
s	s	s
the	the	the
case	case	case
,	,	,
then	then	then
is	is	is
there	there	there
really	realli	really
a	a	a
bridge	bridg	bridge
too	too	too
far	far	far
for	for	for
him	him	him
.	.	.
Steele	steel	Steele
insists	insist	insists
that	that	that
there	there	there
is	is	is
and	and	and
offers	offer	offer
this	this	this
argument	argument	argument
There	there	There
is	is	is
a	a	a
bridge	bridg	bridge
too	too	too
far	far	far
.	.	.
I	i	I
want	want	want
to	to	to
see	see	see
and	and	and
I	i	I
ve	ve	ve
been	been	been
very	veri	very
clear	clear	clear
about	about	about
this	this	this
since	sinc	since
the	the	the
beginning	begin	beginning
,	,	,
I	i	I
want	want	want
to	to	to
see	see	see
Donald	donald	Donald
Trump	trump	Trump
make	make	make
the	the	the
kinds	kind	kind
of	of	of
steps	step	step
I	i	I
know	know	know
he	he	he
is	is	is
a	a	a
70	70	70
-year-old-man	-year-old-man	-year-old-man
I	i	I
know	know	know
he	he	he
isn	isn	isn
t	t	t
going	go	going
to	to	to
change	chang	change
.	.	.
It	it	It
s	s	s
just	just	just
not	not	not
in	in	in
the	the	the
cards	card	card
.	.	.
Here	here	Here
s	s	s
the	the	the
rub	rub	rub
.	.	.
I	i	I
philosophically	philosoph	philosophically
cannot	cannot	cannot
sit	sit	sit
there	there	there
and	and	and
go	go	go
Oh	oh	Oh
well	well	well
,	,	,
because	becaus	because
I	i	I
m	m	m
so	so	so
pissed	piss	pissed
off	off	off
and	and	and
cannot	cannot	cannot
stand	stand	stand
Donald	donald	Donald
Trump	trump	Trump
that	that	that
I	i	I
am	am	am
going	go	going
to	to	to
fall	fall	fall
in	in	in
love	love	love
with	with	with
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
That	that	That
s	s	s
just	just	just
not	not	not
where	where	where
I	i	I
am	am	am
.	.	.
Maher	maher	Maher
counters	counter	counter
,	,	,
saying	say	saying
,	,	,
It	it	It
s	s	s
not	not	not
about	about	about
Donald	donald	Donald
Trump	trump	Trump
,	,	,
it	it	it
s	s	s
about	about	about
the	the	the
policies	polici	policy
he	he	he
supports	support	support
.	.	.
Maher	maher	Maher
then	then	then
goes	goe	go
on	on	on
to	to	to
say	say	say
that	that	that
he	he	he
views	view	view
this	this	this
election	elect	election
as	as	a
a	a	a
referendum	referendum	referendum
on	on	on
decency	decenc	decency
,	,	,
and	and	and
calls	call	call
Trump	trump	Trump
an	an	an
indecent	indec	indecent
man	man	man
.	.	.
You	you	You
can	can	can
watch	watch	watch
the	the	the
segment	segment	segment
below	below	below
.	.	.
https://youtu.be/3HWAil2XKoY?t=5sMaher	https://youtu.be/3hwail2xkoy?t=5smah	https://youtu.be/3HWAil2XKoY?t=5sMaher
is	is	is
right	right	right
there	there	there
is	is	is
nothing	noth	nothing
decent	decent	decent
about	about	about
Donald	donald	Donald
Trump	trump	Trump
,	,	,
and	and	and
by	by	by
extension	extens	extension
,	,	,
the	the	the
decency	decenc	decency
of	of	of
those	those	those
who	who	who
support	support	support
him	him	him
is	is	is
definitely	definit	definitely
called	call	called
into	into	into
question	question	question
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
video	video	video
screenshot	screenshot	screenshot
